Rank,Dutch,Frequency,CUMSUM,CUM%,GTInfo,Translation
53,ga,579630,96027687,58.877594224277296,"Translated(src=nl, dest=en, text=go, pronunciation=go, extra_data=""{'translat..."")","verb: go, proceed.  "
54,haar,573366,96601053,59.22914294678268,"Translated(src=nl, dest=en, text=hair, pronunciation=hair, extra_data=""{'translat..."")","pronoun: its, her.  noun: hair, wool.  "
55,uit,562873,97163926,59.57425808106475,"Translated(src=nl, dest=en, text=from, pronunciation=from, extra_data=""{'translat..."")","preposition: from, out.  adverb: out, off.  "
56,doen,557710,97721636,59.91620761771059,"Translated(src=nl, dest=en, text=to do, pronunciation=to do, extra_data=""{'translat..."")","verb: do, make.  noun: doing.  "
57,ook,555481,98277117,60.2567904843717,"Translated(src=nl, dest=en, text=also, pronunciation=also, extra_data=""{'translat..."")","adverb: also, too.  conjunction: either.  adjective: prolonged.  "
58,over,555424,98832541,60.5973384025406,"Translated(src=nl, dest=en, text=about, pronunciation=about, extra_data=""{'translat..."")","preposition: about, on.  adverb: over, across.  "
59,bent,551495,99384036,60.935477327272984,"Translated(src=nl, dest=en, text=are, pronunciation=are, extra_data=""{'translat..."")",verb: be.  
60,mij,549004,99933040,61.27208894158277,"Translated(src=nl, dest=en, text=me, pronunciation=me, extra_data=""{'translat..."")","pronoun: me, I.  "
61,gaan,545717,100478757,61.60668519284195,"Translated(src=nl, dest=en, text=to go, pronunciation=to go, extra_data=""{'translat..."")","verb: go, proceed.  auxiliary verb: shall.  "
62,of,506118,100984875,61.91700205212028,"Translated(src=nl, dest=en, text=or, pronunciation=or, extra_data=""{'translat..."")","conjunction: or, either.  "
63,kom,502576,101487451,62.22514719983024,"Translated(src=nl, dest=en, text=come, pronunciation=come, extra_data=""{'translat..."")","noun: bowl, basin.  "
64,zou,501036,101988487,62.532348125119164,"Translated(src=nl, dest=en, text=would, pronunciation=would, extra_data=""{'translat..."")","verb: will, shall.  "
65,al,493269,102481756,62.83478685849629,"Translated(src=nl, dest=en, text=already, pronunciation=already, extra_data=""{'translat..."")","adjective: all, every.  noun: all.  adverb: already, long since.  conjunction: though, if only.  pronoun: each, everyone.  "
66,bij,490366,102972122,63.13544567129662,"Translated(src=nl, dest=en, text=Bee, pronunciation=Bee, extra_data=""{'translat..."")","preposition: at, in.  noun: bee, apis.  adjective: up to date.  adverb: up to date.  "
67,daar,482796,103454918,63.43146307907927,"Translated(src=nl, dest=en, text=over there, pronunciation=over there, extra_data=""{'translat..."")","adverb: there, yonder.  conjunction: as, because.  "
68,ons,473851,103928769,63.721996026111185,"Translated(src=nl, dest=en, text=U.S, pronunciation=U.S, extra_data=""{'translat..."")","pronoun: us, our.  noun: ounce.  abbreviation: oz.  "
69,jullie,472767,104401536,64.01186433865972,"Translated(src=nl, dest=en, text=you, pronunciation=you, extra_data=""{'translat..."")","pronoun: you, you all.  "
70,hebt,460950,104862486,64.29448727695544,"Translated(src=nl, dest=en, text=have, pronunciation=have, extra_data=""{'translat..."")","verb: have, possess.  "
71,gaat,454817,105317303,64.57334988011594,"Translated(src=nl, dest=en, text=go, pronunciation=go, extra_data=""{'translat..."")",noun: perforation.  
72,iets,442933,105760236,64.844926029217,"Translated(src=nl, dest=en, text=something, pronunciation=something, extra_data=""{'translat..."")","pronoun: something, anything.  adverb: some.  noun: aught.  "
73,zal,441963,106202199,65.1159074408191,"Translated(src=nl, dest=en, text=shall, pronunciation=shall, extra_data=""{'translat..."")",auxiliary verb: shall.  
74,meer,430364,106632563,65.37977714082278,"Translated(src=nl, dest=en, text=Lake, pronunciation=Lake, extra_data=""{'translat..."")","adverb: more.  pronoun: more.  noun: lake, mere.  "
75,waarom,426031,107058594,65.64099014228727,"Translated(src=nl, dest=en, text=Why, pronunciation=Why, extra_data=""{'translat..."")","adverb: why, wherefore.  conjunction: why.  "
76,had,404241,107462835,65.88884300962559,"Translated(src=nl, dest=en, text=had, pronunciation=had, extra_data=""{'translat..."")","verb: have, possess.  "
77,deze,401349,107864184,66.13492270083297,"Translated(src=nl, dest=en, text=this one, pronunciation=this one, extra_data=""{'translat..."")","pronoun: this, these.  "
78,laat,396728,108260912,66.37816911164582,"Translated(src=nl, dest=en, text=leave, pronunciation=leave, extra_data=""{'translat..."")","adjective: late, tardy.  adverb: late.  "
79,moeten,370913,108631825,66.6055875342775,"Translated(src=nl, dest=en, text=should, pronunciation=should, extra_data=""{'translat..."")","verb: must, need.  auxiliary verb: should.  "
80,m'n,363630,108995455,66.82854052061543,"Translated(src=nl, dest=en, text=my, pronunciation=my, extra_data=""{'translat..."")",pronoun: my.  
81,jou,362713,109358168,67.05093126542083,"Translated(src=nl, dest=en, text=you, pronunciation=you, extra_data=""{'translat..."")","pronoun: you, thou.  "
82,doe,358703,109716871,67.2708633531429,"Translated(src=nl, dest=en, text=do, pronunciation=do, extra_data=""{'translat..."")","verb: do, make.  "
83,wie,354534,110071405,67.48823929588231,"Translated(src=nl, dest=en, text=Who, pronunciation=Who, extra_data=""{'translat..."")","conjunction: who.  pronoun: who, whom.  "
84,kunnen,352929,110424334,67.70463116265694,"Translated(src=nl, dest=en, text=be able to, pronunciation=be able to, extra_data=""{'translat..."")","verb: can, may.  "
85,alles,347190,110771524,67.91750426808461,"Translated(src=nl, dest=en, text=everything, pronunciation=everything, extra_data=""{'translat..."")","pronoun: all, everything.  "
86,denk,337537,111109061,68.12445881570045,"Translated(src=nl, dest=en, text=think, pronunciation=think, extra_data=""{'translat..."")","verb: think, think of.  "
87,door,327117,111436178,68.32502453368825,"Translated(src=nl, dest=en, text=by means of, pronunciation=by means of, extra_data=""{'translat..."")","preposition: by, through.  adverb: through, on.  "
88,echt,319510,111755688,68.52092616079501,"Translated(src=nl, dest=en, text=Real, pronunciation=Real, extra_data=""{'translat..."")","adverb: really, truly.  adjective: real, genuine.  noun: marriage, matrimony.  "
89,alleen,317745,112073433,68.71574561090624,"Translated(src=nl, dest=en, text=alone, pronunciation=alone, extra_data=""{'translat..."")","adverb: only, alone.  conjunction: only, if only.  adjective: alone, sole.  "
90,oké,314825,112388258,68.90877471720616,"Translated(src=nl, dest=en, text=Okay, pronunciation=Okay, extra_data=""{'translat..."")",Okay
91,eens,314535,112702793,69.10162601538782,"Translated(src=nl, dest=en, text=once, pronunciation=once, extra_data=""{'translat..."")","adverb: once, ever.  adjective: onetime.  "
92,dus,313730,113016523,69.2939837427585,"Translated(src=nl, dest=en, text=So, pronunciation=So, extra_data=""{'translat..."")","adverb: so, therefore.  conjunction: therefore, hence.  "
93,weg,309088,113325611,69.48349531397434,"Translated(src=nl, dest=en, text=away, pronunciation=away, extra_data=""{'translat..."")","adjective: road, gone.  noun: road, way.  adverb: away, off.  "
94,zien,304936,113630547,69.67046116344206,"Translated(src=nl, dest=en, text=to see, pronunciation=to see, extra_data=""{'translat..."")","verb: see, view.  "
95,toch,299795,113930342,69.85427490416527,"Translated(src=nl, dest=en, text=However, pronunciation=However, extra_data=""{'translat..."")","adverb: yet, still.  conjunction: nevertheless, nonetheless.  "
96,man,293750,114224092,70.03438226532019,"Translated(src=nl, dest=en, text=man, pronunciation=man, extra_data=""{'translat..."")","noun: man, husband.  "
97,nooit,278492,114502584,70.20513446692958,"Translated(src=nl, dest=en, text=never, pronunciation=never, extra_data=""{'translat..."")","adverb: never, no way.  "
98,terug,276017,114778601,70.37436916821945,"Translated(src=nl, dest=en, text=back, pronunciation=back, extra_data=""{'translat..."")","adverb: back, again.  "
99,laten,271958,115050559,70.54111516898531,"Translated(src=nl, dest=en, text=to leave, pronunciation=to leave, extra_data=""{'translat..."")","verb: let, leave.  "
100,nou,268379,115318938,70.70566677231943,"Translated(src=nl, dest=en, text=Well, pronunciation=Well, extra_data=""{'translat..."")",adverb: now.  
101,mee,267390,115586328,70.8696119886572,"Translated(src=nl, dest=en, text=along, pronunciation=along, extra_data=""{'translat..."")",noun: mead.  adverb: also.  
102,misschien,261933,115848261,71.03021134671471,"Translated(src=nl, dest=en, text=perhaps, pronunciation=perhaps, extra_data=""{'translat..."")","adverb: perhaps, maybe.  "
103,even,256366,116104627,71.18739740203333,"Translated(src=nl, dest=en, text=for a bit, pronunciation=for a bit, extra_data=""{'translat..."")","adverb: equally, momentarily.  "
104,iemand,255563,116360190,71.34409111280384,"Translated(src=nl, dest=en, text=someone, pronunciation=someone, extra_data=""{'translat..."")","pronoun: someone, anyone.  noun: person.  "
105,komt,254604,116614794,71.50019683052125,"Translated(src=nl, dest=en, text=coming, pronunciation=coming, extra_data=""{'translat..."")","verb: come, get.  "
106,niets,254174,116868968,71.6560389017185,"Translated(src=nl, dest=en, text=nothing, pronunciation=nothing, extra_data=""{'translat..."")","noun: nothing, naught.  pronoun: nothing, ought.  adjective: none.  adverb: none.  "
107,zei,250107,117119075,71.80938736734021,"Translated(src=nl, dest=en, text=said, pronunciation=said, extra_data=""{'translat..."")","verb: say, tell.  "
108,hou,236668,117355743,71.95449595950979,"Translated(src=nl, dest=en, text=love, pronunciation=love, extra_data=""{'translat..."")","verb: keep, hold.  "
109,komen,229453,117585196,72.09518080832368,"Translated(src=nl, dest=en, text=come, pronunciation=come, extra_data=""{'translat..."")","verb: come, get.  "
110,mensen,229103,117814299,72.2356510611328,"Translated(src=nl, dest=en, text=people, pronunciation=people, extra_data=""{'translat..."")","noun: people, men.  "
111,onze,226560,118040859,72.37456212068432,"Translated(src=nl, dest=en, text=our, pronunciation=our, extra_data=""{'translat..."")",pronoun: our.  
112,nodig,225962,118266821,72.5131065276334,"Translated(src=nl, dest=en, text=required, pronunciation=required, extra_data=""{'translat..."")","adjective: necessary, required.  "
113,tot,221382,118488203,72.64884279257706,"Translated(src=nl, dest=en, text=until, pronunciation=until, extra_data=""{'translat..."")","preposition: to, until.  conjunction: until.  "
114,worden,219867,118708070,72.78365016338574,"Translated(src=nl, dest=en, text=become, pronunciation=become, extra_data=""{'translat..."")","verb: be, become.  "
115,veel,219860,118927930,72.91845324227432,"Translated(src=nl, dest=en, text=a lot, pronunciation=a lot, extra_data=""{'translat..."")","adverb: much, many.  "
116,weten,219188,119147118,73.05284429683374,"Translated(src=nl, dest=en, text=know, pronunciation=know, extra_data=""{'translat..."")","verb: know, wit.  "
117,leven,218884,119366002,73.1870489594347,"Translated(src=nl, dest=en, text=to live, pronunciation=to live, extra_data=""{'translat..."")","noun: life, living.  verb: live, exist.  "
118,wij,216722,119582724,73.31992803185757,"Translated(src=nl, dest=en, text=we , pronunciation=we , extra_data=""{'translat..."")",pronoun: we.  
119,weer,215029,119797753,73.45176907274876,"Translated(src=nl, dest=en, text=again, pronunciation=again, extra_data=""{'translat..."")","noun: weather, defense.  adverb: again, fro.  "
120,gewoon,213834,120011587,73.58287742156647,"Translated(src=nl, dest=en, text=just, pronunciation=just, extra_data=""{'translat..."")","adverb: just, plainly.  adjective: ordinary, plain.  phrase: common or garden.  "
121,kijk,213616,120225203,73.71385210772978,"Translated(src=nl, dest=en, text=look, pronunciation=look, extra_data=""{'translat..."")",noun: outlook.  
122,zeggen,213356,120438559,73.8446673797181,"Translated(src=nl, dest=en, text=say, pronunciation=say, extra_data=""{'translat..."")","verb: say, tell.  "
123,tijd,212764,120651323,73.97511967789262,"Translated(src=nl, dest=en, text=time, pronunciation=time, extra_data=""{'translat..."")","noun: time, period.  "
124,zeg,210814,120862137,74.1043763697548,"Translated(src=nl, dest=en, text=say, pronunciation=say, extra_data=""{'translat..."")",interjection: Hey!.  
125,twee,208298,121070435,74.23209042290834,"Translated(src=nl, dest=en, text=two, pronunciation=two, extra_data=""{'translat..."")","noun: two, twain.  : two.  "
126,toen,208044,121278479,74.35964874067554,"Translated(src=nl, dest=en, text=when, pronunciation=when, extra_data=""{'translat..."")","conjunction: when, as.  adverb: then, at that time.  "
127,tegen,207613,121486092,74.48694279879115,"Translated(src=nl, dest=en, text=against, pronunciation=against, extra_data=""{'translat..."")","preposition: against, at.  adverb: counter, contrary.  noun: con.  "
128,zit,205110,121691202,74.61270218890684,"Translated(src=nl, dest=en, text=sit, pronunciation=sit, extra_data=""{'translat..."")",noun: seat.  
129,net,203060,121894262,74.73720465956598,"Translated(src=nl, dest=en, text=just, pronunciation=just, extra_data=""{'translat..."")","adverb: just, just so.  noun: net, network.  adjective: spruce, tidy.  "
130,dood,200313,122094575,74.8600228581533,"Translated(src=nl, dest=en, text=dead, pronunciation=dead, extra_data=""{'translat..."")","noun: death, dissolution.  adjective: dead, lifeless.  adverb: dead.  "
131,uw,198061,122292636,74.98146028473273,"Translated(src=nl, dest=en, text=your, pronunciation=your, extra_data=""{'translat..."")","pronoun: your, thy.  "
132,wordt,195977,122488613,75.10161994538655,"Translated(src=nl, dest=en, text=is becoming, pronunciation=is becoming, extra_data=""{'translat..."")","verb: be, become.  "
133,hé,195920,122684533,75.22174465754816,"Translated(src=nl, dest=en, text=Hey, pronunciation=Hey, extra_data=""{'translat..."")","interjection: Hey!, He!.  "
134,maken,192444,122876977,75.33973812481658,"Translated(src=nl, dest=en, text=to make, pronunciation=to make, extra_data=""{'translat..."")","verb: make, do.  "
135,mag,189195,123066172,75.4557395280292,"Translated(src=nl, dest=en, text=allowed, pronunciation=allowed, extra_data=""{'translat..."")",noun: maw.  
136,één,188447,123254619,75.57128230892303,"Translated(src=nl, dest=en, text=a, pronunciation=a, extra_data=""{'translat..."")",noun: ace.  
137,z'n,187701,123442320,75.68636769376096,"Translated(src=nl, dest=en, text=his, pronunciation=his, extra_data=""{'translat..."")",his
138,omdat,184722,123627042,75.79962656003248,"Translated(src=nl, dest=en, text=because, pronunciation=because, extra_data=""{'translat..."")","conjunction: because, for.  "
139,gedaan,183529,123810571,75.91215396049343,"Translated(src=nl, dest=en, text=done, pronunciation=done, extra_data=""{'translat..."")",adjective: done.  
140,heel,182156,123992727,76.0238395314842,"Translated(src=nl, dest=en, text=all, pronunciation=all, extra_data=""{'translat..."")","adjective: very, whole.  adverb: very, quite.  noun: integer.  "
141,af,181253,124173980,76.13497144478262,"Translated(src=nl, dest=en, text=off, pronunciation=off, extra_data=""{'translat..."")","adverb: off, down.  suffix: on.  adjective: ready.  "
142,altijd,179551,124353531,76.24505980836639,"Translated(src=nl, dest=en, text=always, pronunciation=always, extra_data=""{'translat..."")","adverb: always, ever.  "
143,jouw,174623,124528154,76.35212666020284,"Translated(src=nl, dest=en, text=your, pronunciation=your, extra_data=""{'translat..."")",pronoun: your.  noun: yours.  
144,zeker,172890,124701044,76.4581309552499,"Translated(src=nl, dest=en, text=secure, pronunciation=secure, extra_data=""{'translat..."")","adjective: sure, certain.  adverb: sure, certainly.  "
145,geef,172570,124873614,76.56393904823545,"Translated(src=nl, dest=en, text=give, pronunciation=give, extra_data=""{'translat..."")","verb: give, deliver.  "
146,zie,170848,125044462,76.66869132887749,"Translated(src=nl, dest=en, text=see , pronunciation=see , extra_data=""{'translat..."")",interjection: Lo!.  
147,wacht,170736,125215198,76.77337493879799,"Translated(src=nl, dest=en, text=guard, pronunciation=guard, extra_data=""{'translat..."")","noun: guard, watch.  "
148,allemaal,165988,125381186,76.8751474006308,"Translated(src=nl, dest=en, text=all, pronunciation=all, extra_data=""{'translat..."")","pronoun: everything, everybody.  "
149,jaar,164433,125545619,76.97596644307092,"Translated(src=nl, dest=en, text=year, pronunciation=year, extra_data=""{'translat..."")","noun: year, annum.  "
150,doet,164337,125709956,77.0767266248926,"Translated(src=nl, dest=en, text=is doing, pronunciation=is doing, extra_data=""{'translat..."")","verb: do, make.  "
151,dag,162898,125872854,77.17660451056891,"Translated(src=nl, dest=en, text=day, pronunciation=day, extra_data=""{'translat..."")","noun: day, daytime.  "
152,zij,161349,126034203,77.2755326556412,"Translated(src=nl, dest=en, text=she, pronunciation=she, extra_data=""{'translat..."")","pronoun: they, it.  noun: side, way.  "
153,hun,159382,126193585,77.37325477116663,"Translated(src=nl, dest=en, text=their, pronunciation=their, extra_data=""{'translat..."")","pronoun: their, them.  "
154,huis,158155,126351740,77.47022457441244,"Translated(src=nl, dest=en, text=House, pronunciation=House, extra_data=""{'translat..."")","noun: house, home.  "
155,vader,156071,126507811,77.56591661173265,"Translated(src=nl, dest=en, text=father, pronunciation=father, extra_data=""{'translat..."")","noun: father, parent.  "
156,dank,155212,126663023,77.66108196914398,"Translated(src=nl, dest=en, text=thanks, pronunciation=thanks, extra_data=""{'translat..."")","noun: thanks, acknowledgement.  "
157,dacht,153597,126816620,77.75525711927611,"Translated(src=nl, dest=en, text=thought, pronunciation=thought, extra_data=""{'translat..."")","verb: think, think of.  "
158,kunt,152626,126969246,77.84883691877783,"Translated(src=nl, dest=en, text=can, pronunciation=can, extra_data=""{'translat..."")","verb: can, may.  "
159,zoals,152422,127121668,77.94229163946535,"Translated(src=nl, dest=en, text=like, pronunciation=like, extra_data=""{'translat..."")","adverb: as, such as.  conjunction: as, like.  adjective: such as, like.  preposition: like.  "
160,vrouw,151285,127272953,78.03504922970305,"Translated(src=nl, dest=en, text=female, pronunciation=female, extra_data=""{'translat..."")","noun: woman, wife.  "
161,keer,150854,127423807,78.12754256028914,"Translated(src=nl, dest=en, text=time, pronunciation=time, extra_data=""{'translat..."")","noun: time, occasion.  "
162,anders,146609,127570416,78.21743314790298,"Translated(src=nl, dest=en, text=otherwise, pronunciation=otherwise, extra_data=""{'translat..."")","adverb: otherwise, else.  adjective: other, unlike.  pronoun: other.  "
163,andere,146177,127716593,78.30705886273377,"Translated(src=nl, dest=en, text=Others, pronunciation=Others, extra_data=""{'translat..."")","adjective: other, another.  "
164,willen,145447,127862040,78.39623699161173,"Translated(src=nl, dest=en, text=want, pronunciation=want, extra_data=""{'translat..."")","verb: want, like.  "
165,erg,144618,128006658,78.48490683452407,"Translated(src=nl, dest=en, text=terribly, pronunciation=terribly, extra_data=""{'translat..."")","adverb: very, extremely.  noun: erg.  adjective: serious.  "
166,spijt,141916,128148574,78.57191999627952,"Translated(src=nl, dest=en, text=regret, pronunciation=regret, extra_data=""{'translat..."")","noun: regret, repentance.  "
167,bedankt,141652,128290226,78.65877129133422,"Translated(src=nl, dest=en, text=thanks, pronunciation=thanks, extra_data=""{'translat..."")","interjection: Thanks!, Thankee!.  "
168,niemand,140961,128431187,78.74519891256234,"Translated(src=nl, dest=en, text=no one, pronunciation=no one, extra_data=""{'translat..."")","noun: nobody, nix.  pronoun: nobody, no one.  adjective: none.  "
169,wilt,140826,128572013,78.83154376104576,"Translated(src=nl, dest=en, text=want, pronunciation=want, extra_data=""{'translat..."")","verb: want, like.  "
170,geld,140214,128712227,78.91751337308654,"Translated(src=nl, dest=en, text=money, pronunciation=money, extra_data=""{'translat..."")","noun: money, cash.  abbreviation: L.S.D..  "
171,zitten,140083,128852310,79.00340266490838,"Translated(src=nl, dest=en, text=to sit, pronunciation=to sit, extra_data=""{'translat..."")","verb: sit, be seated.  "
172,niks,139985,128992295,79.08923186984887,"Translated(src=nl, dest=en, text=nothing, pronunciation=nothing, extra_data=""{'translat..."")",pronoun: nothing.  adverb: none.  noun: nix.  
173,iedereen,138354,129130649,79.1740610574071,"Translated(src=nl, dest=en, text=everybody, pronunciation=everybody, extra_data=""{'translat..."")","pronoun: everyone, anyone.  noun: all the world.  phrase: every mother's son.  "
