,Spanish,QuizletFinal
27,*esposa* (esposa esposar),"*wife*
noun: wife, helpmate.
Mi esposa y yo somos muy felices juntos. - My wife and I are very happy together."


28,*pronto*,"*soon*
adverb: soon, early, pronto
adjective: early, prompt, ready.
""Voy a llegar pronto."" - I'm going to arrive soon."


29,*chicos* (chico),"*guys*
noun: girl, gal, cutie.
""Los chicos son muy divertidos."" = ""The boys are very fun."""


30,*cualquier*,"*any*
adjective: any, whatever, whichever.
""Puedes tomar cualquier camino que desees."" - You can take any path you wish."


31,*viejo*,"*old*
adjective: old, aged, elder
noun: old man, oldster, greybeard.
""Mi abuelo es muy viejo."" - My grandfather is very old."


32,*debemos* (deber),"*must*
verb: must, owe, job.
Debemos aprender las lecciones de la vida. - We must learn the lessons of life."


33,*deja* (dejar),"*leaves*
verb: leave, let, stop.
Deja que el amor te guíe. - Let love guide you."


34,*año*,"*year*
noun: year, annum, grade.
""Este año fue muy diferente para todos nosotros."" - This year was very different for all of us."


35,*muerte*,"*death*
noun: death, murder, demise.
""La muerte es inevitable."" - Death is inevitable."


36,*hablando* (hablar),"*talking*
verb: talk, speak, chat.
""Estaban hablando de la película."" - They were talking about the movie."


37,*manos* (mano),"*hands*
noun: hooks, dabs, ember.
""Lavé mis manos con agua y jabón."" (I washed my hands with water and soap.)"


38,*da* (dar),"*gives*
verb: give, yield, lend.
Da gusto verte. - It's nice to see you."


39,*loco*,"*crazy*
adjective: crazy, mad, out of one's mind
noun: madman, zany, half-wit.
""Es un loco de atar."" - He is a crazy one."


40,*problemas* (problema),"*issues*
noun: crisis.
""Tengo muchos problemas que resolver."" - I have many problems to solve."


41,*mano*,"*hand*
noun: hand, handball, deal.
""Él levantó su mano para preguntar una pregunta."" - He raised his hand to ask a question."


42,*guerra*,"*war*
noun: war, warfare.
""La guerra es una tragedia para todos."" - War is a tragedy for all."


43,*semana*,"*week*
noun: week, period.
La semana pasada fue muy emocionante. - Last week was very exciting."


44,*pasar*,"*pass*
verb: pass, go, move.
Pasamos la tarde en el parque. - We spent the afternoon in the park."


45,*vale* (valer vale),"*OK*
noun: voucher, coupon, token.
Vale, entendido. = Okay, understood."


46,*cuál*,"*which*
interjection: What?, Which?.
Cuál es tu dirección? What is your address?"


47,*viene* (venir),"*comes*
verb: come, come round, come through.
""Viene el profesor."" = ""The teacher is coming."""


48,*volver*,"*return*
verb: return, go back, come back.
""Vuelvo a casa temprano."" - I'm returning home early."


49,*toma* (tomar),"*take*
noun: take, taking, intake.
Toma una decisión. - Take a decision."


50,*caso* (caso casar),"*case*
noun: case, instance, occurrence.
""En este caso, debemos tomar una decisión diferente."" - In this case, we must make a different decision."


51,*agua*,"*water*
noun: water, aqua.
""Tomé un vaso de agua para hidratarme."" - I took a glass of water to hydrate myself."


52,*haré* (hacer),"*I will do*
verb: do, make, ask.
Haré mi tarea esta noche. 
I will do my homework tonight."


53,*vete* (ir),"*go away*
interjection: Get out!, Talk away!.
""Vete de aquí!"" - ""Go away from here!"""


54,*entiendo* (entender),"*I understand*
verb: understand, grasp, realize.
Entiendo la situación. - I understand the situation."


55,*horas* (hora),"*hours*
abbreviation: hrs..
""Pasamos muchas horas en la biblioteca."" - We spent many hours in the library."


56,*personas* (persona),"*people*
noun: people.
Las personas tienen diferentes opiniones. - People have different opinions."


57,*capitán*,"*captain*
noun: captain, skipper, commander.
El capitán de la nave estaba muy orgulloso de su tripulación.

The captain of the ship was very proud of his crew."


58,*adelante*,"*forward*
adverb: forward, ahead, onwards.
""Adelante, no hay nada que nos detenga!"" - Forward, there is nothing that can stop us!"


59,*niño*,"*child*
noun: child, kid, boy.
""El niño estaba jugando en el patio."" - The boy was playing in the yard."


60,*listo*,"*ready*
adjective: ready, clever, set
adverb: all set
noun: tap.
""Estoy listo para empezar."" - I am ready to start."


61,*noches* (noche),"*nights*
noun: night, nighttime, love.
""Buenas noches!"" - Good night!"


62,*buenos* (bueno),"*good*
adjective: good, nice, kind.
""Buenos días!"" - Good morning!"


63,*iba* (ir),"*I was going*
verb: go, be, head.
Iba al cine. - I was going to the movies."


64,*juntos* (junto),"*together*
adverb: together, side by side, all together.
""Trabajamos juntos para lograr nuestro objetivo."" - We worked together to achieve our goal."


65,*dame* (dar),"*give to me*
.
""Dame un beso."" - Give me a kiss."


66,*único*,"*only*
adjective: only, unique, single.
""Este regalo es único para ti."" - This gift is unique for you."


67,*déjame* (dejar),"*let me*
.
Déjame en paz. - Leave me alone."


68,*cerca* (cerca cercar),"*near*
adverb: near, close, around
noun: fence.
""La farmacia está cerca de aquí."" - The pharmacy is close by here."


69,*otros* (otro),"*others*
pronoun: others.
""Los otros niños también quieren una galleta."" - The other children also want a cookie."


70,*sigue* (seguir),"*go on*
interjection: Go ahead!.
""Sigue adelante!"" - Keep going!"


71,*grande*,"*big*
adjective: large, big, great.
""Ella es muy grande"" - She is very big."


72,*arriba*,"*above*
adverb: up, above, upstairs
adjective: aloft.
""Arriba está el sol."" - Up is the sun."


73,*jefe*,"*boss*
noun: head, chief, boss
abbreviation: OC.
""Mi jefe me dijo que hiciera el trabajo lo más rápido posible."" - My boss told me to do the work as fast as possible"


74,*habla* (hablar habla),"*speaks*
noun: speech, language, parlance.
""Él habla español."" - He speaks Spanish."


75,*supongo* (suponer),"*i guess*
verb: suppose, involve, guess.
Supongo que él está en casa. - I suppose he is at home."


76,*manera*,"*manner*
noun: way, fashion, manner.
""Ella hace las cosas de una manera diferente."" - She does things in a different way."


77,*quieren* (querer),"*want*
verb: want, love, wish.
Ellos quieren bailar. - They want to dance."


78,*feliz*,"*happy*
adjective: happy, blissful, felicitous.
""Estoy muy feliz!"" - I am very happy!"


79,*significa* (significar),"*means*
verb: mean, signify, spell.
La palabra significa ""means""."


80,*sangre*,"*blood*
noun: blood, bloodstream, gore.
""La sangre es la vida."" - Blood is life."


81,*fin*,"*end*
noun: end, last, aim.
""La cena ha terminado, fin."" - ""Dinner is over, end."""


82,*bajo* (bajar bajo),"*low*
adjective: low, lower, bass
adverb: low, down, lower
preposition: under, beneath, underneath
noun: bass, bottom, basso.
""Él está bajo el árbol."" - He is under the tree."


83,*llama* (llamar llama),"*calls*
noun: flame, llama, firepan.
""La llama saltó sobre el muro."" - The llama jumped over the wall."


84,*venir*,"*come*
verb: come, come round, come through.
""Vengo a traerte algo especial."" - I come to bring you something special."


85,*morir*,"*die*
verb: die, kill, die out.
""Él murió trágicamente a los 25 años.""  - He tragically died at 25 years old."


86,*importante*,"*important*
adjective: important, significant, large
noun: deferent.
""La educación es muy importante."" Translation: ""Education is very important."""


87,*hiciste* (hacer),"*did*
verb: do, make, ask.
Hiciste un trabajo excelente. - You did an excellent job."


88,*ojos* (ojo),"*eyes*
noun: peepers.
""Ella tiene unos ojos hermosos."" - She has beautiful eyes."


89,*escucha* (escuchar),"*listen*
noun: listening, monitoring, scout.
""Escucha con atención."" - Listen carefully."


90,*entrar*,"*get in*
verb: enter, get in, come in.
""Él entra en la casa."" - He enters the house."


91,*ningún* (ninguno),"*no*
.
""No hay ningún problema."" - There is no problem."


92,*corazón*,"*heart*
noun: heart, center, core.
""Mi corazón late muy rápido cuando estoy nervioso."" - My heart beats very fast when I'm nervous."


93,*diablos* (diablo),"*Devils*
noun: devil, the devil, evil.
""¡Diablos! Me olvidé de comprar la leche."" = ""Darn it! I forgot to buy the milk."""


94,*necesitamos* (necesitar),"*need*
verb: need, require, take.
Necesitamos una solución rápida. = We need a quick solution."


95,*atrás*,"*back*
adverb: back, behind, after.
""Él estaba atrás de la puerta."" - He was behind the door."


96,*durante*,"*during*
preposition: during, pending.
Durante el verano, mi familia fue a la playa.
During the summer, my family went to the beach."


97,*dices* (decir),"*you say*
verb: say, tell, speak.
""¿Qué dices?"" - ""What do you say?"""


98,*nuestros* (nuestro),"*our*
.
Nuestros amigos nos invitaron a una fiesta. 
Our friends invited us to a party."


99,*persona*,"*person*
noun: person, persona.
""La persona es muy inteligente."" - The person is very intelligent."


