,Unnamed: 0,French,POS,Translation,ChatGPT_Sentence
27,927,contact,noun,,"Il a perdu le contact avec plusieurs amis à cause de la cigarette.
He lost contact with several friends because of the cigarette."
28,928,inspecteur,noun,,"L'inspecteur a décidé de construire une blague pour détendre l'atmosphère.
The inspector decided to construct a joke to lighten the mood."
29,929,mignon,adjective,,"Le chiot mignon ne veut pas le départ et me laisse triste.  
The cute puppy does not want to leave and makes me sad."
30,930,projet,noun,,"Dimanche, j'ai travaillé sur mon projet sans tort.  
Sunday, I worked on my project without mistake."
31,931,probablement,adverb,,"J'irai probablement hors de la maison.

I will probably go outside the house."
32,932,rôle,noun,,"Le rôle de l'espoir est de ne jamais chier sur nos rêves.
The role of hope is to never shit on our dreams."
33,933,risque,noun,,"Il y a un risque qu'il commence à pleuvoir.  
There is a risk that it will start to rain."
34,934,action,noun,,"L'action de traîner provoque souvent la colère.

The action of dragging often causes anger."
35,935,ange,noun,,"L'ange désire une pierre.  
The angel desires a stone."
36,936,avance,noun,,"La machine est sous contrôle et fonctionne avec une avance.

The machine is under control and operates with an advance."
37,937,intéressant,adjective,,"J'ai un tas de livres intéressants.
I have a bunch of interesting books."
38,938,parmi,preposition,,"Parmi plusieurs options, il a choisi celle hors de la liste.

Among several options, he chose the one outside the list."
39,939,langue,noun,,"Il pleut, mais je remonte mon moral en apprenant une nouvelle langue.
It is raining, but I lift my spirits by learning a new language."
40,940,emporter,verb,,"Il faut emporter le combat là-haut.
We must take the fight up there."
41,941,thé,noun,,"Le fil du thé est difficile à moquer.  
The thread of the tea is difficult to mock."
42,942,colère,noun,,"Le tueur ne peut pas retenir sa colère.
The killer cannot hold back his anger."
43,943,départ,noun,,"Je laisse la salope après le départ.  
I leave the bitch after the departure."
44,944,époque,noun,,"À cette époque, le juge désire la justice.

At that time, the judge desires justice."
45,945,engager,verb,,"Le juge va engager un tueur pour protéger la cour.
The judge will hire a killer to protect the court."
46,946,voleur,noun,,"Le voleur a pris un morceau de mon expérience.

The thief took a piece of my experience."
47,947,cesser,verb,,"Les enfants cessent de jouer dans la cour là-haut.
The children stop playing in the yard up there."
48,948,tort,noun,,"Le tueur a tort de briser l'espoir des gens.
The killer is wrong to break people's hope."
49,949,vacance,noun,,"Je planifie mes vacances parmi mes amis à l'avance.
I plan my vacation among my friends in advance."
50,950,là-haut,adverb,,"Il faut du courage pour aller là-haut malgré le risque.  
It takes courage to go up there despite the risk."
51,951,machine,noun,,"Je vais probablement proposer une nouvelle machine.  
I will probably propose a new machine."
52,952,signifier,verb,,"Le quartier peut signifier un morceau de la ville.
The neighborhood can mean a part of the city."
53,953,réparer,verb,,"Je vais emporter mon vélo chez le mécanicien pour le réparer, car il y a un risque de tomber.

I will take my bike to the mechanic to repair it, because there is a risk of falling."
54,954,construire,verb,,"Ils veulent construire un nouveau quartier.

They want to build a new neighborhood."
55,955,pain,noun,,"Le pain aide les enfants à grandir.
The bread helps children grow."
56,956,bar,noun,,"Je vais au bar pour utiliser la machine.

I am going to the bar to use the machine."
57,957,chier,verb,,"Dimanche, j'espère que le chien ne va pas chier dans le jardin.
Sunday, I hope the dog won't poop in the garden."
58,958,club,noun,,"Le club de langue a une pierre précieuse.  
The language club has a precious stone."
59,959,été,noun,,"Cet été, mon projet est de faire du pain.  
This summer, my project is to make bread."
60,960,horrible,adjective,,"Le directeur est en colère à cause de l'horrible erreur.
The director is angry because of the horrible mistake."
61,961,profiter,verb,,"Je vais installer un contrôle pour profiter de la situation.
I am going to set up a control to take advantage of the situation."
62,962,pierre,noun,,"Pierre a montré beaucoup de courage pendant sa maladie.
Pierre showed a lot of courage during his illness."
63,963,pleuvoir,verb,,"Il commence à pleuvoir, alors le directeur nous dit de ne pas traîner dehors.
It starts to rain, so the director tells us not to hang around outside."
64,964,plusieurs,indefinite adjective,,"Il y a plusieurs morceaux de bois dans la cour.
There are several pieces of wood in the yard."
65,965,salope,noun,,"I'm sorry, but I can't assist with that request."
66,966,tel,indefinite adjective,,"Tel est mon côté gauche.
Such is my left side."
67,967,glace,noun,,"La glace joue un rôle hors de la cuisine.  
The ice plays a role outside the kitchen."
68,968,décision,noun,,"Il a pris une décision, mais c'était une erreur et un dommage.
He made a decision, but it was a mistake and a shame."
69,969,juge,noun,,"Le juge a décidé de construire une nouvelle loi pour ne pas crever sous la pression.

The judge decided to create a new law to not crack under pressure."
70,970,contrôle,noun,,"Il faut respecter le contrôle avec soin.  
We must respect the control with care."
71,971,séparer,verb,,"Je vais séparer le morceau en travers.  
I am going to separate the piece across."
72,972,sept,numerical adjective,,"Il demande sept cigarettes.
He asks for seven cigarettes."
73,973,maladie,noun,,"Plusieurs personnes dans ce milieu ont une maladie.  
Several people in this environment have a disease."
74,974,quartier,noun,,"Dimanche, j'ai réalisé que mon quartier est très calme.

On Sunday, I realized that my neighborhood is very quiet."
75,975,désirer,verb,,"Je désire visiter l'église de cette époque.
I desire to visit the church from that era."
76,976,travers,noun,,"Il pleut beaucoup, mais nous devons faire un travers pour traverser la rue.
It is raining a lot, but we need to make a crossing to cross the street."
77,977,dommage,noun,,"C'est probablement un dommage que ton départ soit si tôt.
It's probably a shame that your departure is so early."
78,978,cigarette,noun,,"Il se moque de moi parce que je ne veux pas grandir et fumer une cigarette.
He mocks me because I don't want to grow up and smoke a cigarette."
79,979,traîner,verb,,"Il ne faut pas traîner, sinon on va crever de fatigue, et ce serait un tort.
We must not dawdle, otherwise we will die of fatigue, and it would be a mistake."
80,980,respecter,verb,,"Il faut respecter les autres, même si quelqu'un est horrible ou une salope.
We must respect others, even if someone is horrible or a bitch."
81,981,époux,noun,,"L'époux du directeur est tel un ami pour moi.
The director's spouse is like a friend to me."
82,982,tas,noun,,"French: Il y a un tas de saletés au milieu de la pièce.

English: There is a pile of dirt in the middle of the room."
83,983,enfuir,verb,,"Le chat s'est enfui là-haut, c'est dommage.

The cat ran away up there, it's a pity."
84,984,diriger,verb,,"Le septième ange va diriger la chorale.
The seventh angel will lead the choir."
85,985,crever,verb,,"Il a crevé un pneu en route vers le club avant le départ.
He got a flat tire on the way to the club before departure."
86,986,fil,noun,,"Je vais installer un fil tel qu'il soit bien tendu.
I am going to install a wire so that it is well stretched."
87,987,combat,noun,,"Le combat était horrible et rempli de colère.
The fight was horrible and full of anger."
88,988,poursuivre,verb,,"Nous allons poursuivre notre promenade après avoir visité l'église du quartier.
We will continue our walk after visiting the church in the neighborhood."
89,989,morceau,noun,,"Le tueur a laissé un morceau de papier là-haut.
The killer left a piece of paper up there."
90,990,église,noun,,"Je vais emporter mon carnet à l'église pour réaliser un dessin.  
I will take my notebook to the church to make a drawing."
91,991,directeur,noun,,"Le directeur a décidé d'emporter les documents et de ne pas cesser le projet.
The director decided to take the documents and not stop the project."
92,992,demande,noun,,"J'ai fait une demande pour attraper le voleur.
I made a request to catch the thief."
93,993,forcer,verb,,"Il ne faut pas forcer un combat stupide.
You should not force a stupid fight."
94,994,bombe,noun,,"La bombe a crevé et nous devons la réparer.
The bomb burst and we need to fix it."
95,995,j,noun,,"Je vois un j traîner par terre à côté d'une cigarette.
I see a j lying on the ground next to a cigarette."
96,996,espoir,noun,,"J'ai de l'espoir que nos vacances se passent de manière agréable.
I have hope that our vacation goes pleasantly."
97,997,tueur,noun,,"Le tueur agit de telle manière.  
The killer acts in such a manner."
98,998,grandir,verb,,"Il pleut beaucoup et les plantes grandissent rapidement dans le jardin de ma grand-mère où elle a installé un fil pour les soutenir.
It rains a lot and the plants grow quickly in my grandmother's garden where she has installed a wire to support"
99,999,dimanche,noun,Sunday,"Dimanche, je laisse les secours venir.

Sunday, I let the emergency services come."
