,Unnamed: 0,French,POS,English,ChatGPT_Sentence
67,67,là,adverb,"there, here, then","Elle est là et te regarde.  
She is there and watching you."
68,68,suivre,verb,to follow,"Elle veut suivre le cours, mais elle est en retard.
She wants to follow the class, but she is late."
69,69,pourquoi,"adverb, conjunction",why,"Pourquoi a-t-il laissé son sac ici ?

Why did he leave his bag here?"
70,70,parler,verb,"to speak, talk","Je veux parler pour quoi faire.
I want to speak for what purpose."
71,71,prendre,verb,"to take, get","Je ne peux pas venir prendre le bus.
I cannot come to take the bus."
72,72,cette,demonstrative adjective,"this, that (feminine singular)","Cette maison est si belle à voir.
This house is so beautiful to see."
73,73,quand,conjunction,"when, whenever","Quand je dois parler, je suis nerveux.
When I have to speak, I am nervous."
74,74,alors,adverb,then; so; hence,"Alors, je veux savoir pourquoi tu es là.  
So, I want to know why you are there."
75,75,une chose,noun,"thing, matter","Je veux suivre une chose importante.
I want to follow an important thing."
76,76,par,preposition,"per, by, through, out of","Il s'arrête par la maison qui est rouge.
He stops by the house that is red."
77,77,son,possessive adjective,"his, her, its (possessive adjective); sound (noun - le son)","Son frère a pris le livre d'école de sa sœur.
His brother took his sister's school book."
78,78,croire,verb,"to believe, think","Je crois du fond de mon cœur que tu me comprends.
I believe from the bottom of my heart that you understand me."
79,79,aimer,verb,"to love, like, be fond of","J'aime de croire en toi.
I like to believe in you."
80,80,falloir,verb,"it is necessary, must, have to","Il faut donner de l'amour.
It is necessary to give love."
81,81,comment,"adverb, conjunction, onomatopoeia",how; what,"Comment de bon gâteau!

How good the cake is!"
82,82,très,adverb,very,"Nous sommes très contents de l'autre côté.
We are very happy on the other side."
83,83,ou,conjunction,or; either… or,"Elle ne sait pas quoi choisir, un livre ou un film.
She doesn't know what to choose, a book or a movie."
84,84,passer,verb,"to pass, go by, cross","Je vais passer dans le parc.  
I am going to pass through the park."
85,85,penser,verb,to think,"Je pense plus à ta santé.
I think more about your health."
86,86,aussi,adverb,"also, too","Elle croit aussi en ses rêves.
She also believes in her dreams."
87,87,jamais,adverb,never,"Je ne mange jamais du pain qui est dur.
I never eat bread that is hard."
88,88,attendre,verb,"to wait for, expect","Je vais attendre cette fille une minute.
I will wait for this girl one minute."
89,89,trouver,verb,to find,"Il s'est perdu ici et il ne peut pas se trouver.
He got lost here and he can't find himself."
90,90,laisser,verb,to leave,"Il faut laisser un message.

It is necessary to leave a message."
91,91,petit,"adjective, noun","small, little, young (adjective); languagedaily dot com; kid, child (masculine noun)","Je vais du petit déjeuner.

I am going to the small breakfast."
92,92,merci,"onomatopoeia, noun","thanks, thank you","Sa voix douce a dit ""merci"" et t'a fait sourire.  
Her soft voice said ""thank you"" and made you smile."
93,93,même,"adverb, adjective","same; even, so much as, as","Même si tu me vois, je ne te vois pas.
Even if you see me, I don't see you."
94,94,sa,possessive adjective,"his, her, its (feminine)","Sa mère peut venir ici.
Her mother can come here."
95,95,ta,possessive adjective,your (reminine),"Ta maison est plus grande que les miennes.

Your house is bigger than mine."
96,96,autre,"adjective, indefinite pronoun","other, another, different (singular)","Il faut donner l'autre livre.
It is necessary to give the other book."
97,97,arriver,verb,to arrive,"Ça va arriver bientôt.
It will arrive soon."
98,98,ces,demonstrative adjective,"these, those (plural form of masculine ""ce"" and feminine ""cette"")","Ces livres sont si intéressants, tu devrais les lire.

These books are so interesting, you should read them."
99,99,donner,verb,"to give, give away","Je veux donner ce petit cadeau, mais je ne sais pas comment.

I want to give this small gift, but I don't know how."
