,Dutch,Frequency,SpaCy_POS,SpaCy_Tag,POS,Translation
71,gaat,454817,VERB,WW|pv|tgw|met-t,Verb,go
72,iets,442933,PRON,VNW|onbep|pron|stan|vol|3o|ev,Pronoun,something
73,zal,441963,AUX,WW|pv|tgw|ev,Auxiliary,shall
74,meer,430364,PRON,VNW|onbep|grad|stan|vrij|zonder|comp,Pronoun,more
75,waarom,426031,ADV,BW,Adverb,Why
76,had,404241,AUX,WW|pv|verl|ev,Auxiliary,had
77,deze,401349,PRON,VNW|aanw|det|stan|prenom|met-e|rest,Pronoun,this
78,laat,396728,VERB,WW|pv|tgw|ev,Verb,leave
79,moeten,370913,AUX,WW|pv|tgw|mv,Auxiliary,must
80,m'n,363630,PRON,VNW|bez|det|stan|red|1|ev|prenom|zonder|agr,Pronoun,my
81,jou,362713,PRON,VNW|pers|pron|obl|vol|2v|ev,Pronoun,you
82,doe,358703,VERB,WW|pv|tgw|ev,Verb,do
83,wie,354534,PRON,VNW|vb|pron|stan|vol|3p|getal,Pronoun,Who
84,kunnen,352929,AUX,WW|pv|tgw|mv,Auxiliary,be able to
85,alles,347190,PRON,VNW|onbep|pron|stan|vol|3o|ev,Pronoun,everything
86,denk,337537,VERB,WW|pv|tgw|ev,Verb,think
87,door,327117,ADP,VZ|init,Preposition,Through
88,echt,319510,ADJ,ADJ|vrij|basis|zonder,Adjective,Real
89,alleen,317745,ADV,BW,Adverb,only
90,oké,314825,PROPN,N|eigen|ev|basis|onz|stan,Proper noun,Okay
91,eens,314535,ADV,BW,Adverb,at sometime
92,dus,313730,ADV,BW,Adverb,So
93,weg,309088,ADV,BW,Adverb,away
94,zien,304936,VERB,WW|pv|tgw|mv,Verb,to see
95,toch,299795,ADV,BW,Adverb,However
96,man,293750,NOUN,N|soort|ev|basis|zijd|stan,Noun,man
97,nooit,278492,ADV,BW,Adverb,never
98,terug,276017,ADV,BW,Adverb,back
99,laten,271958,VERB,WW|inf|vrij|zonder,Verb,to leave
100,nou,268379,ADV,BW,Adverb,Well
101,mee,267390,ADP,VZ|fin,Preposition,along
102,misschien,261933,ADV,BW,Adverb,maybe
103,even,256366,ADV,BW,Adverb,for a bit
104,iemand,255563,PRON,VNW|onbep|pron|stan|vol|3p|ev,Pronoun,someone
105,komt,254604,VERB,WW|pv|tgw|met-t,Verb,comes
106,niets,254174,PRON,VNW|onbep|pron|stan|vol|3o|ev,Pronoun,nothing
107,zei,250107,VERB,WW|pv|verl|ev,Verb,said
108,hou,236668,VERB,WW|pv|tgw|ev,Verb,love
109,komen,229453,VERB,WW|pv|tgw|mv,Verb,come
110,mensen,229103,NOUN,N|soort|mv|basis,Noun,people
111,onze,226560,PRON,VNW|bez|det|stan|vol|1|mv|prenom|met-e|rest,Pronoun,our
112,nodig,225962,ADJ,ADJ|vrij|basis|zonder,Adjective,necessary
113,tot,221382,ADP,VZ|init,Preposition,until
114,worden,219867,AUX,WW|pv|tgw|mv,Auxiliary,become
115,veel,219860,PRON,VNW|onbep|grad|stan|vrij|zonder|basis,Pronoun,a lot of
116,weten,219188,VERB,WW|pv|tgw|mv,Verb,know
117,leven,218884,NOUN,N|soort|ev|basis|onz|stan,Noun,to live
118,wij,216722,PRON,VNW|pers|pron|nomin|vol|1|mv,Pronoun,We
119,weer,215029,ADV,BW,Adverb,weather
120,gewoon,213834,ADJ,ADJ|vrij|basis|zonder,Adjective,Ordinary
121,kijk,213616,VERB,WW|pv|tgw|ev,Verb,look
122,zeggen,213356,VERB,WW|pv|tgw|mv,Verb,say
123,tijd,212764,NOUN,N|soort|ev|basis|zijd|stan,Noun,time
124,zeg,210814,VERB,WW|pv|tgw|ev,Verb,say
125,twee,208298,NUM,TW|hoofd|prenom|stan,Numeral,two
126,toen,208044,SCONJ,VG|onder,Conjunction,when
127,tegen,207613,ADP,VZ|init,Preposition,in return for
128,zit,205110,VERB,WW|pv|tgw|ev,Verb,sit
129,net,203060,ADV,BW,Adverb,just
130,dood,200313,NOUN,ADJ|vrij|basis|zonder,Noun,dead
131,uw,198061,PRON,VNW|bez|det|stan|vol|2|getal|prenom|zonder|agr,Pronoun,your
132,wordt,195977,AUX,WW|pv|tgw|met-t,Auxiliary,is becoming
133,hé,195920,INTJ,TSW,Interjection,Hey
134,maken,192444,VERB,WW|pv|tgw|mv,Verb,to make
135,mag,189195,AUX,WW|pv|tgw|ev,Auxiliary,allowed
136,één,188447,NUM,TW|hoofd|prenom|stan,Numeral,An
137,z'n,187701,PRON,VNW|bez|det|stan|red|3|ev|prenom|zonder|agr,Pronoun,his
138,omdat,184722,SCONJ,VG|onder,Conjunction,because
139,gedaan,183529,VERB,WW|vd|vrij|zonder,Verb,done
140,heel,182156,ADJ,ADJ|vrij|basis|zonder,Adjective,all
141,af,181253,ADP,VZ|fin,Preposition,off
142,altijd,179551,ADV,BW,Adverb,always
143,jouw,174623,PRON,VNW|bez|det|stan|vol|2v|ev|prenom|zonder|agr,Pronoun,your
144,zeker,172890,ADJ,ADJ|vrij|basis|zonder,Adjective,Certainly
145,geef,172570,VERB,WW|pv|tgw|ev,Verb,give
146,zie,170848,VERB,WW|pv|tgw|ev,Verb,see
147,wacht,170736,VERB,WW|pv|tgw|ev,Verb,guard
148,allemaal,165988,ADV,BW,Adverb,all
149,jaar,164433,NOUN,N|soort|ev|basis|onz|stan,Noun,year
150,doet,164337,VERB,WW|pv|tgw|met-t,Verb,do
151,dag,162898,NOUN,N|soort|ev|basis|zijd|stan,Noun,day
152,zij,161349,PRON,VNW|pers|pron|nomin|vol|3v|ev|fem,Pronoun,she
153,hun,159382,PRON,VNW|bez|det|stan|vol|3|mv|prenom|zonder|agr,Pronoun,their
154,huis,158155,NOUN,N|soort|ev|basis|onz|stan,Noun,house
155,vader,156071,NOUN,N|soort|ev|basis|zijd|stan,Noun,father
156,dank,155212,NOUN,N|soort|ev|basis|zijd|stan,Noun,thanks
157,dacht,153597,VERB,WW|pv|verl|ev,Verb,thought
158,kunt,152626,AUX,WW|pv|tgw|met-t,Auxiliary,can
159,zoals,152422,SCONJ,VG|onder,Conjunction,as
160,vrouw,151285,NOUN,N|soort|ev|basis|zijd|stan,Noun,woman
161,keer,150854,NOUN,N|soort|ev|basis|genus|stan,Noun,time
162,anders,146609,ADV,BW,Adverb,otherwise
163,andere,146177,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,Others
164,willen,145447,VERB,WW|pv|tgw|mv,Verb,want
165,erg,144618,ADJ,ADJ|vrij|basis|zonder,Adjective,terribly
166,spijt,141916,NOUN,N|soort|ev|basis|zijd|stan,Noun,sorry
167,bedankt,141652,VERB,WW|vd|vrij|zonder,Verb,Thank you
168,niemand,140961,PRON,VNW|onbep|pron|stan|vol|3p|ev,Pronoun,no one
169,wilt,140826,VERB,WW|pv|tgw|met-t,Verb,want
170,geld,140214,NOUN,N|soort|ev|basis|onz|stan,Noun,money
171,zitten,140083,VERB,WW|pv|tgw|mv,Verb,to sit
172,niks,139985,PRON,VNW|onbep|pron|stan|vol|3o|ev,Pronoun,nothing
173,iedereen,138354,PRON,VNW|onbep|pron|stan|vol|3p|ev,Pronoun,everyone
174,binnen,136920,ADP,VZ|fin,Preposition,inside
175,staat,135644,VERB,WW|pv|tgw|met-t,Verb,stands
176,wilde,134996,VERB,WW|pv|verl|ev,Verb,wild
177,zich,134601,PRON,VNW|refl|pron|obl|red|3|getal,Pronoun,himself
178,beter,134537,ADJ,ADJ|vrij|comp|zonder,Adjective,better
179,werk,134446,NOUN,N|soort|ev|basis|onz|stan,Noun,work
180,praten,132705,VERB,WW|inf|vrij|zonder,Verb,to talk
181,gezien,131006,VERB,WW|vd|vrij|zonder,Verb,seen
182,zullen,130862,AUX,WW|pv|tgw|mv,Auxiliary,shall
183,waren,129549,AUX,WW|pv|verl|mv,Auxiliary,goods
184,god,128800,NOUN,N|soort|ev|basis|zijd|stan,Noun,God
185,maak,128702,VERB,WW|pv|tgw|ev,Verb,make
186,neem,128506,VERB,WW|pv|tgw|ev,Verb,take
187,vinden,127950,VERB,WW|pv|tgw|mv,Verb,find
188,vind,127521,VERB,WW|pv|tgw|ev,Verb,find
189,moeder,124814,NOUN,N|soort|ev|basis|zijd|stan,Noun,mother
190,kon,123381,AUX,WW|pv|verl|ev,Auxiliary,could
191,uur,122231,NOUN,N|soort|ev|basis|onz|stan,Noun,o'clock
192,klaar,122212,ADJ,ADJ|vrij|basis|zonder,Adjective,finished
193,genoeg,120215,ADV,BW,Adverb,enough
194,helpen,119301,VERB,WW|inf|vrij|zonder,Verb,to help
195,oh,119077,PRON,VZ|init,Pronoun,Oh
196,hele,118678,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,whole
197,drie,117145,NUM,TW|hoofd|prenom|stan,Numeral,three
198,vast,116765,ADJ,ADJ|vrij|basis|zonder,Adjective,fixed
199,na,116659,ADP,VZ|fin,Preposition,after
200,hallo,116482,PROPN,N|eigen|ev|basis|onz|stan,Proper noun,Hello
201,leuk,116343,ADJ,ADJ|vrij|basis|zonder,Adjective,nice
202,sorry,116048,ADJ,N|soort|ev|basis|genus|stan,Adjective,Sorry
203,alle,114830,DET,VNW|onbep|det|stan|prenom|met-e|agr,Determiner,all
204,elkaar,114709,PRON,VNW|recip|pron|obl|vol|persoon|mv,Pronoun,each other
205,toe,114466,ADP,VZ|fin,Preposition,to
206,wist,114289,VERB,WW|pv|verl|ev,Verb,knew
207,zegt,112794,VERB,WW|pv|tgw|met-t,Verb,say
208,bedoel,111995,VERB,WW|pv|tgw|ev,Verb,mean
209,blijf,111068,VERB,WW|pv|tgw|met-t,Verb,stay
210,alsjeblieft,110808,ADV,TSW,Adverb,please
211,lang,109815,ADJ,ADJ|vrij|basis|zonder,Adjective,long
212,meneer,109602,NOUN,N|soort|ev|basis|zijd|stan,Noun,sir
213,ziet,109385,VERB,WW|pv|tgw|met-t,Verb,sees
214,maakt,109295,VERB,WW|pv|tgw|met-t,Verb,makes
215,luister,108225,NOUN,N|soort|ev|basis|zijd|stan,Noun,listen
216,dingen,107800,NOUN,N|soort|mv|basis,Noun,stuff
217,mooi,106513,ADJ,ADJ|vrij|basis|zonder,Adjective,Nice
218,werd,106486,AUX,WW|pv|verl|ev,Auxiliary,became
219,eerste,105965,ADJ,TW|rang|prenom|stan,Adjective,first
220,graag,105501,ADV,BW,Adverb,Please
221,natuurlijk,105268,ADJ,ADJ|vrij|basis|zonder,Adjective,Naturally
222,houden,104006,VERB,WW|inf|vrij|zonder,Verb,to hold
223,zonder,103838,ADP,VZ|init,Preposition,without
224,steeds,103491,ADV,BW,Adverb,still
225,krijgen,102922,VERB,WW|pv|tgw|mv,Verb,to get
226,grote,102284,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,great
227,achter,102224,ADP,VZ|fin,Preposition,behind
228,helemaal,101859,ADV,BW,Adverb,absolutely
229,naam,100664,NOUN,N|soort|ev|basis|zijd|stan,Noun,name
230,gek,100386,ADJ,ADJ|vrij|basis|zonder,Adjective,crazy
231,blijven,100084,VERB,WW|pv|tgw|mv,Verb,to stay
232,onder,99913,ADP,VZ|fin,Preposition,below
233,vriend,99666,NOUN,N|soort|ev|basis|zijd|stan,Noun,friend
234,geweest,98850,AUX,WW|vd|vrij|zonder,Auxiliary,been
235,kijken,98710,VERB,WW|inf|vrij|zonder,Verb,to look
236,geven,98686,VERB,WW|inf|vrij|zonder,Verb,to give
237,ging,98129,VERB,WW|pv|verl|ev,Verb,went
238,vertellen,97831,VERB,WW|inf|vrij|zonder,Verb,narrate
239,ooit,95370,ADV,BW,Adverb,ever
240,snel,94773,ADJ,ADJ|vrij|basis|zonder,Adjective,fast
241,hand,94597,NOUN,N|soort|ev|basis|zijd|stan,Noun,hand
242,idee,94437,NOUN,N|soort|ev|basis|onz|stan,Noun,idea
243,goede,94154,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,good
244,auto,93713,NOUN,N|soort|ev|basis|zijd|stan,Noun,car
245,kwam,93681,VERB,WW|pv|verl|ev,Verb,came
246,verdomme,93629,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,damn
247,beetje,91002,NOUN,N|soort|ev|dim|onz|stan,Noun,bit
248,moest,90319,AUX,WW|pv|verl|ev,Auxiliary,had to
249,kinderen,90129,NOUN,N|soort|mv|basis,Noun,children
250,wanneer,89911,SCONJ,VG|onder,Conjunction,when
251,gebeurd,89505,VERB,WW|vd|vrij|zonder,Verb,happened
252,jongen,89239,NOUN,N|soort|ev|basis|zijd|stan,Noun,boy
253,bang,87846,ADJ,ADJ|vrij|basis|zonder,Adjective,anxious
254,vraag,87796,NOUN,N|soort|ev|basis|zijd|stan,Noun,ask
255,lijkt,87783,VERB,WW|pv|tgw|met-t,Verb,seems
256,geweldig,87705,ADJ,ADJ|vrij|basis|zonder,Adjective,awesome
257,paar,87664,NOUN,N|soort|ev|basis|onz|stan,Noun,couple
258,hoor,87503,INTJ,TSW,Interjection,hear
259,laatste,87460,ADJ,ADJ|prenom|sup|met-e|stan,Adjective,last
260,deed,87439,VERB,WW|pv|verl|ev,Verb,did
261,nieuwe,87384,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,new ones
262,vragen,87319,NOUN,N|soort|mv|basis,Noun,to ask
263,kun,86117,AUX,WW|pv|tgw|ev,Auxiliary,can
264,zag,85611,VERB,WW|pv|verl|ev,Verb,saw
265,zorgen,84952,VERB,WW|pv|tgw|mv,Verb,to assure
266,staan,84389,VERB,WW|pv|tgw|mv,Verb,to stand
267,wereld,83597,NOUN,N|soort|ev|basis|zijd|stan,Noun,world
268,eten,83486,VERB,WW|pv|tgw|mv,Verb,to eat
269,jongens,83194,NOUN,N|soort|mv|basis,Noun,boys
270,enige,82779,DET,VNW|onbep|det|stan|prenom|met-e|rest,Determiner,only one
271,zelf,82161,ADV,BW,Adverb,yourself
272,want,81819,CCONJ,VG|neven,Conjunction,because
273,nemen,80223,VERB,WW|inf|vrij|zonder,Verb,to take
274,heen,80006,ADP,VZ|fin,Preposition,to
275,zo'n,80002,PRON,VNW|aanw|det|stan|prenom|zonder|agr,Pronoun,Sun
276,beste,79491,ADJ,ADJ|nom|sup|met-e|zonder-n|stan,Adjective,Best
277,ken,79485,VERB,WW|pv|tgw|ev,Verb,know
278,vandaag,79049,ADV,BW,Adverb,Today
279,zelfs,78653,ADV,BW,Adverb,even
280,ie,77676,PRON,VNW|pers|pron|nomin|red|3|ev|masc,Pronoun,that
281,gezegd,77384,VERB,WW|vd|vrij|zonder,Verb,said
282,hadden,76559,VERB,WW|pv|verl|mv,Verb,had
283,vertel,76160,NOUN,N|soort|ev|basis|zijd|stan,Noun,tell
284,eerst,75850,ADV,BW,Adverb,first
285,gevonden,75611,VERB,WW|vd|vrij|zonder,Verb,found it
286,zoon,75210,NOUN,N|soort|ev|basis|zijd|stan,Noun,son
287,buiten,74950,ADP,VZ|fin,Preposition,outside
288,samen,74836,ADV,BW,Adverb,together
289,denken,74768,VERB,WW|pv|tgw|mv,Verb,think
290,geloof,74702,NOUN,N|soort|ev|basis|onz|stan,Noun,believe
291,morgen,74153,ADV,BW,Adverb,tomorrow
292,geleden,74090,ADV,BW,Adverb,past
293,meisje,73965,NOUN,N|soort|ev|dim|onz|stan,Noun,girl
294,thuis,73452,ADV,BW,Adverb,At home
295,denkt,73451,VERB,WW|pv|tgw|met-t,Verb,thinks
296,rustig,73439,ADJ,ADJ|vrij|basis|zonder,Adjective,Calm
297,mannen,73358,NOUN,N|soort|mv|basis,Noun,men
298,halen,73344,VERB,WW|inf|vrij|zonder,Verb,to fetch
299,probleem,73012,NOUN,N|soort|ev|basis|onz|stan,Noun,problem
300,hen,72796,PRON,VNW|pers|pron|obl|vol|3p|mv,Pronoun,them
301,stop,72195,NOUN,N|soort|ev|basis|zijd|stan,Noun,Stop
302,eigen,72134,ADJ,ADJ|prenom|basis|zonder,Adjective,own
303,kleine,71038,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,little
304,hoop,71017,NOUN,N|soort|ev|basis|zijd|stan,Noun,heap
305,wou,69733,VERB,WW|pv|verl|ev,Verb,wish
306,vermoord,68779,VERB,WW|vd|vrij|zonder,Verb,murdered
307,elke,68753,DET,VNW|onbep|det|stan|prenom|met-e|evz,Determiner,each
308,krijg,68617,VERB,WW|pv|tgw|ev,Verb,get
309,horen,68607,VERB,WW|inf|vrij|zonder,Verb,to belong
310,gelijk,67986,ADJ,ADJ|vrij|basis|zonder,Adjective,directly
311,bijna,67920,ADV,BW,Adverb,almost
312,zouden,67911,AUX,WW|pv|verl|mv,Auxiliary,would
313,open,67598,ADJ,ADJ|vrij|basis|zonder,Adjective,Open
314,orde,67404,NOUN,N|soort|ev|basis|zijd|stan,Noun,order
315,begrijp,67348,VERB,WW|pv|tgw|ev,Verb,understand
316,hoofd,67137,NOUN,N|soort|ev|basis|onz|stan,Noun,head
317,gebeurt,66495,VERB,WW|pv|tgw|met-t,Verb,happens
318,kant,66457,NOUN,N|soort|ev|basis|zijd|stan,Noun,side
319,vrienden,66122,NOUN,N|soort|mv|basis,Noun,friends
320,houdt,65629,VERB,WW|pv|tgw|met-t,Verb,holds
321,eigenlijk,65503,ADJ,ADJ|vrij|basis|zonder,Adjective,actually
322,alsof,65165,SCONJ,VG|onder,Conjunction,as if
323,pak,64554,VERB,WW|pv|tgw|ev,Verb,business suit
324,geeft,64330,VERB,WW|pv|tgw|met-t,Verb,gives
325,politie,64233,NOUN,N|soort|ev|basis|zijd|stan,Noun,Police
326,precies,64182,ADJ,ADJ|vrij|basis|zonder,Adjective,precisely
327,wachten,63368,VERB,WW|pv|tgw|mv,Verb,to wait
328,familie,63300,NOUN,N|soort|ev|basis|zijd|stan,Noun,family
329,verder,63214,ADJ,ADJ|vrij|comp|zonder,Adjective,further
330,zat,63005,VERB,WW|pv|verl|ev,Verb,fed up
331,soms,62608,ADV,BW,Adverb,sometimes
332,werken,62578,VERB,WW|inf|vrij|zonder,Verb,to work
333,bel,62257,VERB,WW|pv|tgw|ev,Verb,call
334,voel,62192,SYM,SPEC|vreemd,Symbol,feel
335,kind,61911,NOUN,N|soort|ev|basis|onz|stan,Noun,child
336,probeer,61802,VERB,N|soort|ev|basis|onz|stan,Verb,try
337,ding,61751,NOUN,N|soort|ev|basis|onz|stan,Noun,thing
338,minuten,61538,NOUN,N|soort|mv|basis,Noun,minutes
339,krijgt,61469,VERB,WW|pv|tgw|met-t,Verb,gets
340,zet,61264,VERB,WW|pv|tgw|ev,Verb,sets
341,vijf,61236,NUM,TW|hoofd|vrij,Numeral,five
342,gehad,61099,VERB,WW|vd|vrij|zonder,Verb,had
343,haal,60818,VERB,WW|pv|tgw|ev,Verb,get
344,gemaakt,60509,VERB,WW|vd|vrij|zonder,Verb,made
345,hè,60004,INTJ,TSW,Interjection,Hey
346,manier,59982,NOUN,N|soort|ev|basis|zijd|stan,Noun,way
347,dagen,59905,NOUN,N|soort|mv|basis,Noun,to dawn
348,zoek,59872,ADJ,ADJ|vrij|basis|zonder,Adjective,search
349,heet,59836,VERB,WW|pv|tgw|ev,Verb,is called
350,volgende,59563,VERB,WW|od|prenom|met-e,Verb,next one
351,daarom,59444,ADV,BW,Adverb,therefore
352,gehoord,59228,VERB,WW|vd|vrij|zonder,Verb,heard
353,pas,58649,ADV,BW,Adverb,fit
354,werkt,58586,VERB,WW|pv|tgw|met-t,Verb,works
355,vanavond,58415,ADV,BW,Adverb,this evening
356,volgens,57698,ADP,VZ|init,Preposition,according to
357,best,57222,ADJ,ADJ|vrij|sup|zonder,Adjective,best
358,pijn,56898,NOUN,N|soort|ev|basis|zijd|stan,Noun,pain
359,kans,56749,NOUN,N|soort|ev|basis|zijd|stan,Noun,opportunity
360,eruit,56620,ADV,BW,Adverb,out
361,help,56560,NOUN,N|soort|ev|basis|zijd|stan,Noun,Help
362,plaats,56532,NOUN,N|soort|ev|basis|zijd|stan,Noun,place
363,hoeveel,56363,NUM,TW|hoofd|prenom|stan,Numeral,how many
364,vroeg,55462,VERB,WW|pv|verl|ev,Verb,asked
365,oude,55353,ADJ,ADJ|prenom|basis|met-e|stan,Adjective,old
366,stad,55276,NOUN,N|soort|ev|basis|zijd|stan,Noun,city
367,zoeken,55211,VERB,WW|pv|tgw|mv,Verb,to search
368,ogen,54838,NOUN,N|soort|mv|basis,Noun,eyes
369,jezelf,54738,PRON,VNW|pr|pron|obl|nadr|2v|getal,Pronoun,yourself
370,geloven,54733,VERB,WW|pv|tgw|mv,Verb,to believe
371,moment,54653,NOUN,N|soort|ev|basis|onz|stan,Noun,moment
372,kamer,54007,NOUN,N|soort|ev|basis|zijd|stan,Noun,room
373,schiet,53529,VERB,WW|pv|tgw|ev,Verb,shoot
374,vier,53510,NUM,TW|hoofd|prenom|stan,Numeral,four
375,vindt,53453,VERB,WW|pv|tgw|met-t,Verb,finds
376,word,53363,AUX,WW|pv|tgw|ev,Auxiliary,become
377,agent,53276,NOUN,N|soort|ev|basis|zijd|stan,Noun,agent
378,slecht,53212,ADJ,ADJ|vrij|basis|zonder,Adjective,bad
379,verteld,52923,VERB,WW|vd|vrij|zonder,Verb,told
380,brengen,52308,VERB,WW|inf|vrij|zonder,Verb,to take
381,blij,52283,ADJ,ADJ|vrij|basis|zonder,Adjective,pleased
382,hulp,52235,NOUN,N|soort|ev|basis|zijd|stan,Noun,staff
383,welke,51772,PRON,VNW|vb|det|stan|nom|met-e|zonder-n,Pronoun,which
384,blijft,51384,VERB,WW|pv|tgw|met-t,Verb,stays
385,ligt,51345,VERB,WW|pv|tgw|met-t,Verb,is
386,broer,51262,NOUN,N|soort|ev|basis|zijd|stan,Noun,brother
387,school,51174,NOUN,N|soort|ev|basis|zijd|stan,Noun,school
388,tussen,50710,ADP,VZ|init,Preposition,between
389,deur,50693,NOUN,N|soort|ev|basis|zijd|stan,Noun,door
390,spreken,50678,VERB,WW|pv|tgw|mv,Verb,speak
391,plan,50369,NOUN,N|soort|ev|basis|onz|stan,Noun,plan
392,dollar,50329,NOUN,N|soort|ev|basis|zijd|stan,Noun,dollar
393,handen,50113,NOUN,N|soort|mv|basis,Noun,hands
394,ergens,50095,ADV,VNW|onbep|adv-pron|obl|vol|3o|getal,Adverb,somewhere
395,dr.,50094,PROPN,SPEC|deeleigen,Proper noun,Dr.
396,klopt,50057,VERB,WW|pv|tgw|met-t,Verb,Correct
397,breng,49949,VERB,WW|pv|tgw|met-t,Verb,bring
398,dokter,49555,NOUN,N|soort|ev|basis|zijd|stan,Noun,doctor
399,juist,49519,ADJ,ADJ|vrij|basis|zonder,Adjective,correct
400,vond,49436,VERB,WW|pv|verl|ev,Verb,found
401,praat,49357,VERB,WW|pv|tgw|ev,Verb,talk
402,prima,49136,ADJ,ADJ|vrij|basis|zonder,Adjective,fine
403,betekent,48691,VERB,WW|pv|tgw|met-t,Verb,means
404,soort,48670,NOUN,N|soort|ev|basis|genus|stan,Noun,kind
405,zaak,48355,NOUN,N|soort|ev|basis|zijd|stan,Noun,case
