,Rank,French,English,POS
81,82,comment,how; what,"adverb, conjunction, onomatopoeia"
82,83,très,very,adverb
83,84,ou,or; either… or,conjunction
84,85,passer,"to pass, go by, cross",verb
85,86,penser,to think,verb
86,87,aussi,"also, too",adverb
87,88,jamais,never,adverb
88,89,attendre,"to wait for, expect",verb
89,90,trouver,to find,verb
90,91,laisser,to leave,verb
91,92,petit,"small, little, young (adjective), kid, child (masculine noun)","adjective, noun"
92,93,merci,"thanks, thank you","onomatopoeia, noun"
93,94,même,"same; even, so much as, as","adverb, adjective"
94,95,sa,"his, her, its (feminine)",possessive adjective
95,96,ta,your (reminine),possessive adjective
96,97,autre,"other, another, different (singular)","adjective, indefinite pronoun"
97,98,arriver,to arrive,verb
98,99,ces,"these, those (plural form of masculine ""ce"" and feminine ""cette"")",demonstrative adjective
99,100,donner,"to give, give away",verb
100,101,regarder,"to look at, watch",verb
101,102,encore,"again, over again, even, still",adverb
102,103,appeler,"to call, ring",verb
103,104,est-ce que,is it,adverb
104,105,peu,"not much, not very, few; bit","noun, adverb"
105,106,homme,man,noun
106,107,partir,"to go, leave, go away",verb
107,108,ma,my (used before a feminine singular noun),possessive adjective
108,109,toujours,"always, still",adverb
109,110,jour,"day, daytime",noun
110,111,femme,"woman, wife",noun
111,112,temps,weather; time; times,noun
112,113,maintenant,"now, nowadays",adverb
113,114,notre,our (singular),possessive adjective
114,115,vie,"life, lifetime, existence",noun
115,116,deux,two,numerical adjective
116,117,mettre,"to put, put on, wear",verb
117,118,rester,"to stay, remain",verb
118,119,sans,without,preposition
119,120,seul,alone,"adjective, noun"
120,121,arrêter,to stop,verb
121,122,vraiment,"really, truly",adverb
122,123,connaître,"to know, experience",verb
123,124,quelque,"some, a few, any","indefinite adjective, adverb"
124,125,sûr,"on, over",adjective
125,126,tuer,to kill,verb
126,127,mourir,"to die, pass away",verb
127,128,demander,"to ask, ask for, be looking for",verb
128,129,juste,"just, fair; just, right, accurate","adjective, adverb"
129,130,peut-être,"perhaps, maybe",adverb
130,131,dieu,god,noun
131,132,fois,time,noun
132,133,oh,oh!,onomatopoeia
133,134,père,father,noun
134,135,comprendre,to understand,verb
135,136,sortir,to go out; take out,verb
136,137,personne,"anyone, anybody; person, individual","indefinite pronoun, noun"
137,138,an,year,noun
138,139,trop,"too much, too (excessively)",adverb
139,140,chez,"at, to, in",preposition
140,141,fille,"daughter, girl, gal",noun
141,142,aux,(à + les) = of the,definite article
142,143,monde,"world, people",noun
143,144,ami,friend; friendly,"noun, adjective"
144,145,vrai,"true, real, genuine",adjective
145,146,après,"after, afterwards, later","preposition, adverb"
146,147,mal,"trouble, difficulty; badly, wrongly","adverb, noun"
147,148,besoin,"need, demand, necessity",noun
148,149,accord,"agreement, accord, harmony",noun
149,150,ses,"his, her, its (plural)",possessive adjective
150,151,avant,before,"preposition, adverb"
151,152,monsieur,"gentleman, Mr",noun
152,153,enfant,"child, infant",noun
153,154,grand,"big, large, tall, great; big boy, big girl","adjective, noun"
154,155,entendre,"to hear, listen to, understand",verb
155,156,voilà,"there is, there are",preposition
156,157,chercher,"to look for, seek",verb
157,158,heure,hour; time; age,noun
158,159,mieux,"better, utmost, best; improvement","adverb, noun"
159,160,tes,your (plural),possessive adjective
160,161,aider,"to help, aid",verb
161,162,mère,mother,noun
162,163,déjà,"already, before",adverb
163,164,beau,"beautiful, lovely, pretty; fine, nice (weather)",adjective
164,165,essayer,"to try, try out, test",verb
165,166,quel,"what, which (interrogative)",interrogative adjective
166,167,vos,"your (plural, from ''votre'')",possessive adjective
167,168,depuis,"since, from, for","preposition, adverb"
168,169,quelqu'un,"someone, somebody",indefinite pronoun
169,170,beaucoup,"much, many, a lot",adverb
170,171,revenir,"to come back, return",verb
171,172,donc,"so, therefore",conjunction
172,173,plaire,to be successful,verb
173,174,maison,"house, home",noun
174,175,gens,people (plural),noun
175,176,nuit,night,noun
176,177,ah,ah!,onomatopoeia
177,178,soir,"evening, night",noun
178,179,nom,name; noun,noun
179,180,bonjour,hello,noun
180,181,jouer,to play,verb
181,182,leur,"their, to them (mas or fem), theirs (masc, fem, plural)","personal pronoun, possessive pronoun"
182,183,finir,"to finish, end",verb
183,184,peur,"fear, fright",noun
184,185,mort,death; dead,"noun, adjective"
185,186,parce que,"because, for",conjunction
186,187,perdre,"to lose, miss",verb
187,188,maman,"mummy, mama, mom",noun
188,189,sentir,"to smell, sniff, feel",verb
189,190,ouais,"yeah, yep",adverb
190,191,rentrer,"to bring in, take in; to get in, go in, come home",verb
191,192,nos,our (plural) ; languagedaily dot com,possessive adjective
192,193,premier,"first, basic; first floor","adjective, noun"
193,194,problème,problem,noun
194,195,argent,"silver, money",noun
195,196,quelle,"who, what, which",interrogative adjective
196,197,vivre,"to live, be alive, go through",verb
197,198,rendre,"to return, give back, repay",verb
198,199,dernier,"last, latest","adjective, noun"
199,200,tenir,"to hold, run, keep, last",verb
200,201,cet,"this, that (before vowel and mute h)",demonstrative adjective
201,202,main,hand,noun
202,203,cela,"this, that (used in formal contexts and expressions)",demonstrative pronoun
203,204,vite,"quickly, fast, soon",adverb
204,205,oublier,"to forget, miss",verb
205,206,air,"air; look, appearance, manner",noun
206,207,salut,"greeting; Hi!, Hello!, Bye!","noun, onomatopoeia"
207,208,fils,son,noun
208,209,travailler,"to work, work on, practise",verb
209,210,moins,less,adverb
210,211,tête,"head, face",noun
211,212,coup,"blow, shot, kick, punch",noun
212,213,écouter,to listen to,verb
213,214,raison,reason,noun
214,215,manger,to eat,verb
215,216,amour,"love, love affair, cupid",noun
216,217,entrer,"to go in, enter, come in",verb
217,218,dont,"whose, of which","relative pronoun, interrogative pronoun"
218,219,nouveau,"new, fresh","noun, adjective"
219,220,devenir,to become,verb
220,221,hein,"what?, eh?, Huh? (familiar)",onomatopoeia
221,222,commencer,"to start, begin",verb
222,223,merde,"shit (vulgar), bull, crap, damn","onomatopoeia, noun"
223,224,moment,"moment, while, point",noun
224,225,voiture,"car, coach, carriage",noun
225,226,vieux,"old; old man, old woman","adjective, noun"
226,227,demain,tomorrow,adverb
227,228,revoir,"to see again, review; goodbye","noun, verb"
228,229,elles,they (refers to a group of feminine nouns or females),personal pronoun
229,230,payer,to pay,verb
230,231,fou,"mad, crazy; madman, fool","adjective, noun"
231,232,tirer,"to pull, draw",verb
232,233,ouvrir,to open,verb
233,234,oeil,"eye, view (= œil) (plural is yeux)",noun
234,235,fait,"event, fact",noun
235,236,changer,"to change, exchange",verb
236,237,question,"question, matter",noun
237,238,tomber,to fall,verb
238,239,assez,"enough, quite, fairly",adverb
239,240,foutre,"(slang) to do, give, put on; (vulgar) to have sex, to masturbate",verb
240,241,excuser,"to forgive, pardon, excuse",verb
241,242,affaire,"affiar, business",noun
242,243,dormir,to sleep; to lie idle,verb
243,244,combien,"how much, how many",adverb
244,245,frère,brother,noun
245,246,travail,"wor, labor, employment",noun
246,247,idée,"idea, opinion",noun
247,248,eh,hey!,onomatopoeia
248,249,puis,"next, then, besides, plus (in addition)","conjunction, adverb"
249,250,famille,family,noun
250,251,truc,"trick, knack, thing",noun
251,252,trois,three,numerical adjective
252,253,tant,"much, so much",adverb
253,254,souvenir,"memory, souvenir; to remember","verb, noun"
254,255,ni,"nor, or (negative)",conjunction
255,256,tous,"everything, all (plural)",indefinite pronoun
256,257,occuper,"to occupy, live in, take up",verb
257,258,entre,"between, among",preposition
258,259,ok,OK; okay (satisfactory),"adjective, adverb"
259,260,marcher,"to walk, march, go",verb
260,261,chance,"luck, fortune, chance",noun
261,262,aujourd'hui,"today, nowadays",adverb
262,263,envoyer,"to send, throw, dispatch, refer",verb
263,264,histoire,"history, story",noun
264,265,jeune,"young, youthful; young person","adjective, noun"
265,266,tard,late,adverb
266,267,apprendre,"to learn, to hear (about)",verb
267,268,minute,minute,noun
268,269,boire,"to drink (consume alcohol), to soak up",verb
269,270,garder,"to keep, to look after, to guard",verb
270,271,quelques,"some (quantity), small number, a few",indefinite adjective
271,272,type,"type, kind; guy (colloquial)",noun
272,273,porte,"gate, door",noun
273,274,montrer,"to show, point out",verb
274,275,mec,"guy, bloke",noun
275,276,asseoir,"to sit down, sit up",verb
276,277,porter,"to carry, wear",verb
277,278,attention,attention,"onomatopoeia, noun"
278,279,année,year,noun
279,280,sous,under,preposition
280,281,prêt,ready,adjective
281,282,contre,against,preposition
282,283,prier,to pray,verb
283,284,pendant,"for, during",preposition
284,285,mois,month,noun
285,286,meilleur,better; the best one,"adjective, noun"
286,287,servir,to serve,verb
287,288,madame,"madam, Mrs",noun
288,289,putain,"whore, hooker",noun
289,290,écrire,to write,verb
290,291,part,"part, share",noun
291,292,eau,water,noun
292,293,sang,blood,noun
293,294,place,"room, square, seat",noun
294,295,espérer,to hope for,verb
295,296,plein,"full, solid","adjective, preposition"
296,297,désoler,"to distress, upset",verb
297,298,eux,"them, they",personal pronoun
298,299,retrouver,to find; to meet,verb
299,300,ville,"town, city",noun
300,301,terre,"earth, ground",noun
301,302,gagner,"to win, earn",verb
302,303,semaine,week,noun
303,304,acheter,to buy,verb
304,305,longtemps,"long, for a long time",adverb
305,306,gars,"boy, chap, guy",noun
306,307,chambre,"bedroom, chamber",noun
307,308,hé,Hey! (to attract attention),onomatopoeia
308,309,côté,"coast, slope, side",noun
309,310,droit,"law, right; straight","noun, adjective"
310,311,rappeler,"to remind, remember, call back, be reminiscent of",verb
311,312,lire,to read,verb
312,313,cas,"case, instance",noun
313,314,mot,word,noun
314,315,seulement,"only, solely",adverb
315,316,voici,"here is, here are",preposition
316,317,monter,"to go up, rise, come up",verb
317,318,désolé,"contrite, desolate, afraid, sorry",adjective
318,319,quitter,"to leave, depart",verb
319,320,police,police,noun
320,321,suite,"rest, result, continuation",noun
321,322,matin,morning,noun
322,323,emmener,"to take (somebody), take along",verb
323,324,toucher,to touch,verb
324,325,continuer,"to continue, go on",verb
325,326,devant,"in front, ahead; in front of, ahead of, past, before","preposition, adverb"
326,327,fort,"strong, solid; loud, much, most","adverb, adjective"
327,328,gros,"big, large, thick, heavy",adjective
328,329,enfin,"finally, at last",adverb
329,330,pardon,"I'm sorry!, Excuse me!, Pardon?; forgiveness","onomatopoeia, noun"
330,331,mari,husband,noun
331,332,là-bas,"there, over there",adverb
332,333,importer,to import; to matter,verb
333,334,papa,"daddy, dad",noun
334,335,train,"train, pace",noun
335,336,manquer,"to miss, to miss somebody",verb
336,337,raconter,to tell,verb
337,338,ensemble,"together, at once",adverb
338,339,mauvais,"bad, poor, wrong",adjective
339,340,film,"film, movie",noun
340,341,répondre,"to answer, reply",verb
341,342,garçon,"boy, chap, guy",noun
342,343,chéri,"darling, loved; boyfriend, girlfriend, beloved","noun, adjective"
343,344,corps,body,noun
344,345,celui,"the one, that one (singular masculine)",demonstrative pronoun
345,346,autres,other,indefinite pronoun
346,347,heureux,"happy, felicitous",adjective
347,348,loin,"far, a long way off, a long time ago",adverb
348,349,aucun,"no, not any; none","indefinite adjective, indefinite pronoun"
349,350,pauvre,"poor; poor person, beggar","adjective, noun"
350,351,sauver,to save; languagedaily dot com,verb
351,352,chaque,"each, every",indefinite adjective
352,353,retourner,"to turn, turn over, return",verb
353,354,leurs,theirs (3rd person masculine or feminine plural),possessive adjective
354,355,rencontrer,"to meet, encounter",verb
355,356,coeur,"core, heart",noun
356,357,voler,"to flly; to steal, swipe",verb
357,358,fermer,"to close, shut",verb
358,359,car,"because, for",conjunction
359,360,valoir,"to hold, apply; to be worth",verb
360,361,descendre,"to take down, go down, come down",verb
361,362,feu,fire,noun
362,363,docteur,"doctor, physician",noun
363,364,suffire,"to be enough, suffice",verb
364,365,façon,"way, manner, behaviour",noun
365,366,important,"important, considerable, sizeable",adjective
366,367,sembler,"to seem, appear, look",verb
367,368,super,"great, fantastic; high-octane gasoline","adjective, noun"
368,369,compter,to count,verb
369,370,vers,"towards, near, around, about (time, age)",preposition
370,371,joli,"nice, tidy, pretty (attractive), lovely (beautiful)",adjective
371,372,point,"dot, full stop, period",noun
372,373,noir,black; black man/woman,"adjective, noun"
373,374,hier,yesterday,adverb
374,375,chien,dog,noun
375,376,guerre,war,noun
376,377,genre,"kind, type, sort",noun
377,378,marier,"to marry, get married",verb
378,379,arme,weapon,noun
379,380,cause,"cause, reason",noun
380,381,endroit,place,noun
381,382,ordre,"order, command",noun
382,383,poser,"to put down, lay, pose, sit",verb
383,384,reste,"the remainder, rest",noun
384,385,pied,"foot; stem, leg, base",noun
385,386,envie,"desire, urge, craving",noun
386,387,près,near,"preposition, adverb"
387,388,fin,"end, ending",noun
388,389,tiens,"Why!, Hello! (surprise)",onomatopoeia
389,390,inquiéter,"to worry, bother, trouble",verb
390,391,d'autres,others; more,"indefinite adjective, indefinite pronoun"
391,392,bouger,to move,verb
392,393,plutôt,"rather, quite",adverb
393,394,apporter,"to bring, supply",verb
394,395,photo,"photo, photography",noun
395,396,décider,to decide,verb
396,397,ainsi,"like this, in this way",adverb
397,398,certain,"certain, sure","adjective, indefinite adjective"
398,399,aucune,"no, not any, in no way",indefinite adjective
399,400,vendre,to sell,verb
400,401,école,school,noun
401,402,cher,"dear, beloved, darling, expensive",adjective
402,403,chef,"leader, chief, head",noun
403,404,tourner,"to turn, stir, toss, shoot",verb
404,405,cacher,"to hide, conceal",verb
405,406,boulot,"work, job",noun
406,407,pays,"country, nation, land (country)",noun
407,408,ceux,"this one, that one (masculine plural)",demonstrative pronoun
408,409,possible,possbile,adjective
409,410,expliquer,"to explain, account for",verb
410,411,battre,to beat,verb
411,412,peine,"sorrow, grief, saddness, suffering",noun
412,413,livre,book; pound,noun
413,414,agir,"to act, behave; work, take effect",verb
414,415,imaginer,"to imagine, suppose",verb
415,416,tour,"tower, castle, tour, ballot;languagedaily dot com",noun
416,417,adorer,"to adore, love",verb
417,418,vérité,truth,noun
418,419,recevoir,"to receive, to get",verb
419,420,gentil,"kind, good, nice",adjective
420,421,jeter,to throw,verb
421,422,pleurer,verb,nan
422,423,bébé,baby,noun
423,424,partie,part; game,noun
424,425,nouvelle,"new, fresh",adjective
425,426,jeu,"play, game; hand, deck (cards)",noun
426,427,amener,"to bring, take, bring about",verb
427,428,instant,"instant, moment",noun
428,429,parent,"relative, relation; parent",noun
429,430,dur,"hard, tough, harsh",adjective
430,431,service,"service, favor",noun
431,432,plaisir,pleasure,noun
432,433,promettre,to promise,verb
433,434,mentir,to lie,verb
434,435,soeur (sœur),sister,noun
435,436,bientôt,"soon, quickly, shortly",adverb
436,437,lit,bed,noun
437,438,tellement,"so (to such an extent), so (very), so much",adverb
438,439,utiliser,to use,verb
439,440,lieu,"place, site",noun
440,441,coucher,"to put to bed, lay down, to sleep",verb
441,442,presque,"almost, nearly",adverb
442,443,dehors,"outside, outdoors",adverb
443,444,passé,"past, last; the past, past tense","adjective, noun"
444,445,préférer,to prefer,verb
445,446,content,"happy, pleased, glad",adjective
446,447,derrière,behind,"preposition, adverb"
447,448,con,"stupid jerk, bloody idiot; damned, bloody, stupid","noun, adjective"
448,449,offrir,"to offer, give",verb
449,450,roi,king,noun
450,451,verre,"glass, drink",noun
451,452,réveiller,"to awake, wake (smb.) up",verb
452,453,aide,"assistant; help, assistance",noun
453,454,d'abord,"foremost (most important), first",adverb
454,455,journée,day,noun
455,456,préparer,"to prepare, make, get ready",verb
456,457,numéro,number,noun
457,458,permettre,"to allow, permit",verb
458,459,ramener,"to bring back , take back",verb
459,460,enlever,"to take (smth.) away, remove, take off",verb
460,461,calme,"peace, calmness; quiet, calm","noun, adjective"
461,462,lâcher,"to let go of, to release",verb
462,463,choisir,to choose,verb
463,464,musique,music,noun
464,465,conduire,"to drive, lead",verb
465,466,faute,"mistake, error; fault; lack of",noun
466,467,calmer,"to calm down, appease, sooth",verb
467,468,dîner,dinner; to have dinner,"noun, verb"
468,469,mariage,"marriage, wedding",noun
469,470,bureau,"writing desk, study (room), office",noun
470,471,route,"road, journey, way",noun
471,472,chanter,to sing,verb
472,473,secret,secret; secretive,"noun, adjective"
473,474,disparaître,"to disappear, vanish",verb
474,475,lever,"to raise, lift",verb
475,476,dessus,on top; top,"adverb, noun"
476,477,présenter,"to introduce, present",verb
477,478,accepter,to accept,verb
478,479,baiser,"kiss; to shag, screw, fuck","verb, noun"
479,480,sinon,"otherwise, or else, except",conjunction
480,481,idiot,idiot; stupid,"noun, adjective"
481,482,long,"long, lengthy",adjective
482,483,café,"coffee, café (bar)",noun
483,484,propre,"clean, tidy",adjective
484,485,confiance,"trust, confidence, belief",noun
485,486,cinq,five,numerical adjective
486,487,bonsoir,"good evening, good night",noun
487,488,compte,"count, number",noun
488,489,téléphone,"telephone, phone",noun
489,490,casser,"to break, shatter",verb
490,491,prochain,next,adjective
491,492,frapper,"to hit, strike, blow",verb
492,493,facile,easy,adjective
493,494,rêve,dream,noun
494,495,copain,"friend, boyfriend",noun
495,496,malade,"ill, sick",adjective
496,497,rue,street,noun
497,498,bas,low; bottom,"adjective, noun"
498,499,lettre,letter,noun
499,500,ignorer,"not to know, to ignore",verb
500,501,fête,"party, celebration",noun
501,502,couper,"to cut, cut off",verb
502,503,esprit,"mind, brain, wit, spirit, esprit",noun
503,504,taire,"to be silent, stop talking",verb
504,505,seigneur,lord (e Seigneur = the Lord),noun
505,506,flic,"cop, policeman",noun
506,507,parfois,sometimes,adverb
507,508,capitaine,captain,noun
508,509,âge,age,noun
509,510,autant,"so much, so many",adverb
510,511,force,"force, strength",noun
511,512,pièce,room; play; coin; piece,noun
512,513,quatre,four,numerical adjective
513,514,cul,"bum, ass",noun
514,515,difficile,"difficult, strenuous, hard",adjective
515,516,bras,arm,noun
516,517,tromper,to deceive; to make a mistake,verb
517,518,surtout,above all,adverb
518,519,ressembler,"to look like, to resemble",verb
519,520,jurer,to swear,verb
520,521,plan,"map, plan, layout",noun
521,522,prison,"prison, jail",noun
522,523,sale,dirty,adjective
523,524,courir,"to run, rush",verb
524,525,haut,"high, elevated; top","noun, adjective"
525,526,état,state,noun
526,527,remettre,to put back; hand over; postpone; put back on,verb
527,528,carte,"map, card",noun
528,529,paix,"peace, calmness; quiet, calm",noun
529,530,exactement,"exactly, accurately, precisely",adverb
530,531,drôle,"funny, peculiar",adjective
531,532,refuser,"to refuse, turn down",verb
532,533,dès,from,preposition
533,534,président,"president, chairman",noun
534,535,cours,"class, course",noun
535,536,grave,"serious, grave, solemn",adjective
536,537,terminer,"to end, finish",verb
537,538,ciel,sky,noun
538,539,partout,everywhere,adverb
539,540,âme,soul,noun
540,541,patron,"boss, manager, owner",noun
541,542,amuser,"to amuse, entertain",verb
542,543,celle,"the one, that one (feminine singular)",demonstrative pronoun
543,544,visage,face,noun
544,545,intéresser,to interest,verb
545,546,reconnaître,"to recognize, acknowledge",verb
546,547,rire,"to laugh, have fun, joke",verb
547,548,médecin,"doctor, physician, medical practitioner, MD",noun
548,549,rapport,"report, connection, link, relationship",noun
549,550,pardonner,"to forgive, pardon, excuse",verb
550,551,avis,opinion; notice,noun
551,552,embrasser,"to kiss; to embrace, encompass",verb
552,553,retour,return,noun
553,554,laquelle,which one = (le + quelle) (feminine singular),"relative pronoun, interrogative pronoun"
554,555,simple,simple,adjective
555,556,danser,to dance,verb
556,557,exister,to exist,verb
557,558,différent,"different, various, other",adjective
558,559,souvent,often,adverb
559,560,lumière,light,noun
560,561,génial,"great, brilliant",adjective
561,562,libre,"free, vacant",adjective
562,563,dollar,dollar,noun
563,564,sûrement,"surely, certainly, most probably",adverb
564,565,pareil,the same,adjective
565,566,hôpital,hospital,noun
566,567,ceci,this (formal contexts; refers to nouns that have no specific gender),demonstrative pronoun
567,568,réussir,"to be successful, succeed",verb
568,569,bizarre,"odd, starnge, bizarre",adjective
569,570,voix,voice,noun
570,571,protéger,to protect,verb
571,572,honneur,"honor (US), honour",noun
572,573,tôt,early,adverb
573,574,équipe,"team, crew, party",noun
574,575,prévenir,"to tell, inform, prevent",verb
575,576,cheval,horse,noun
576,577,ailleurs,"elsewhere, somewhere else",adverb
577,578,lequel,which one = (le + quel) (masculine singular),"relative pronoun, interrogative pronoun"
578,579,maître,"master, ruler, mistress, school teacher",noun
579,580,avion,plane,noun
580,581,bout,"bit, tip, end",noun
581,582,habiter,to live in,verb
582,583,faim,hunger,noun
583,584,ensuite,"then, next, afterwards",adverb
584,585,l'un,"a, an, one (replaces 'un' when 'un' is a pronoun or at the beginning of a sentence)",indefinite pronoun
585,586,froid,cold,adjective
586,587,normal,"normal, usual",adjective
587,588,déranger,"to disturb, upset",verb
588,589,reprendre,"to recapture, take back",verb
589,590,oncle,uncle,noun
590,591,prix,price; prize,noun
591,592,retard,"delay, lateness",noun
592,593,détruire,"to destroy, ruin",verb
593,594,cadeau,"present, gift",noun
594,595,pousser,"to push, press",verb
595,596,face,face; heads,noun
596,597,gueule,mouth,noun
597,598,chemin,"path, way",noun
598,599,vivant,"vibrant, living, alive",adjective
599,600,général,general (military),noun
600,601,bateau,"boat, ship",noun
601,602,million,million,noun
602,603,sac,"bag, sack",noun
603,604,impossible,impossible,adjective
604,605,seconde,"second, moment",noun
605,606,bête,"stupid, silly","noun, adjective"
606,607,découvrir,"to discover, find",verb
607,608,erreur,"error, mistake",noun
608,609,soleil,"sun, sunlight",noun
609,610,voyage,"trip, journey",noun
610,611,sauter,to jump,verb
611,612,rêver,to dream,verb
612,613,détester,"to hate, detest",verb
613,614,clair,"clear, apparent",adjective
614,615,faux,"wrong, false, fallacious",adjective
615,616,paraître,"to come out, be published",verb
616,617,balle,ball (sports equipment),noun
617,618,empêcher,to prevent,verb
618,619,maintenir,"to keep, maintain",verb
619,620,cheveu,a hair,noun
620,621,papier,paper,noun
621,622,présent,"a present; present, current","noun, adjective"
622,623,sujet,"subject, topic, theme",noun
623,624,supposer,"to suppose, assume",verb
624,625,tranquille,"quiet, calm",adjective
625,626,neuf,"nine; new, unused","numerical adjective, adjective"
626,627,épouser,"to marry, to espouse",verb
627,628,blanc,white; blank,adjective
628,629,table,table,noun
629,630,toute,"everything, all",indefinite adjective
630,631,dix,"ten, tenth",numerical adjective
631,632,clé,key; solutioin,noun
632,633,agent,"officer, oficial, agent",noun
633,634,approcher,to approach,verb
634,635,sens,"direction, way; meaning; sense; senses",noun
635,636,craindre,"to fear, to be afraid of",verb
636,637,six,six,numerical adjective
637,638,message,message,noun
638,639,crier,to shout,verb
639,640,salle,"room, hall, audience",noun
640,641,inviter,to invite,verb
641,642,effet,"effect, impression",noun
642,643,réfléchir,"to reflect, think",verb
643,644,espèce,"species, kind",noun
644,645,arranger,"to arrange, to organize",verb
645,646,naître,to be born,verb
646,647,allô,Hello! (telephone),onomatopoeia
647,648,bois,wood; antlers,noun
648,649,propos,"subject, topic, remark, point",noun
649,650,camp,camp,noun
650,651,sorte,"sort, kind",noun
651,652,hôtel,hotel,noun
652,653,début,beginning,noun
653,654,souffrir,"to be in pain, suffer",verb
654,655,jambe,leg,noun
655,656,remercier,to thank,verb
656,657,choix,"choice, selection",noun
657,658,sécurité,"safety, security",noun
658,659,avocat,lawyer,noun
659,660,attraper,to catch,verb
660,661,client,"customer, client, guest",noun
661,662,courant,"current, trend",noun
662,663,dépêcher,to dispatch,verb
663,664,peuple,people,noun
664,665,dame,"lady, queen",noun
665,666,vérifier,"to check, verify",verb
666,667,abandonner,"to abandon, leave, desert",verb
667,668,journal,"newspaper, diary, journal",noun
668,669,sérieux,"genuine, serious",adjective
669,670,brûler,to burn,verb
670,671,or,gold,noun
671,672,loi,"law, rule",noun
672,673,fond,"bottom, back",noun
673,674,gosse,"kid (colloquial, child, youngster)",noun
674,675,fric,"doug, money, cash",noun
675,676,situation,situation; job; location,noun
676,677,euh,Er…,onomatopoeia
677,678,sauf,except,preposition
678,679,accident,accident,noun
679,680,doute,doubt,noun
680,681,scène,scene,noun
681,682,soldat,soldier,noun
682,683,amoureux,loving,adjective
683,684,assurer,"to assure, insure",verb
