,index,index,Dutch,Frequency,GooglePos,GoogleLemma,GoogleEnglish
58,58,658,zomaar,24284,adverb,zo maar,overnight
59,59,659,verkeerd,24278,adjective,verkeerd,wrong incorrect mistaken
60,60,660,zeven,24259,verb,zeven,sieve screen sift
61,61,661,lucht,24202,noun,lucht,air sky atmosphere
62,62,662,grond,24177,noun,grond,ground floor basis
63,63,663,leeft,24157,verb,leven,live exist
64,64,664,nam,24117,verb,nemen,take reach seize
65,65,665,pardon,24108,interjection,Pardon!,Excuse me! I beg your pardon!
66,66,666,verwacht,24104,verb,verwachten,expect anticipate hope
67,67,667,kopen,24100,verb,kopen,buy purchase market
68,68,668,koffie,24099,noun,koffie,coffee
69,69,669,onderzoek,24067,noun,onderzoek,research investigation examination
70,70,670,gesproken,24049,verb,spreken,speak talk see
71,71,671,herinner,23992,verb,herinneren,remember remind recollect
72,72,672,idioot,23990,noun,idioot,idiot fool bonehead
73,73,673,ziekenhuis,23934,noun,ziekenhuis,hospital infirmary
74,74,674,daarmee,23910,adverb,daarmee,therewith
75,75,675,shit,23893,No Google Info,No Google Info,No Google Info
76,76,676,eindelijk,23795,adverb,eindelijk,finally ultimately on the whole
77,77,677,perfect,23781,adjective,perfect,perfect
78,78,678,goeie,23729,No Google Info,No Google Info,No Google Info
79,79,679,gisteren,23708,adverb,gisteren,yesterday
80,80,680,aarde,23690,noun,aarde,earth soil terra
81,81,681,contact,23680,noun,contact,contact touch bracer
82,82,682,zus,23673,noun,zus,sister sibling
83,83,683,erbij,23655,No Google Info,No Google Info,No Google Info
84,84,684,beschermen,23651,verb,beschermen,protect safeguard guard
85,85,685,gevangenis,23604,noun,gevangenis,prison jail gaol
86,86,686,persoon,23532,noun,persoon,person man party
87,87,687,winnen,23527,verb,winnen,win gain earn
88,88,688,kracht,23416,noun,kracht,force power strength
89,89,689,ziek,23388,adjective,ziek,sick ill diseased
90,90,690,omhoog,23384,adverb,omhoog,up upwards upward
91,91,691,beloof,23372,verb,beloven,promise make a promise plight
92,92,692,gebruik,23324,noun,gebruik,use using usage
93,93,693,hoezo,23305,adverb,hoezo,why
94,94,694,degene,23190,No Google Info,No Google Info,No Google Info
95,95,695,trek,23142,noun,trek,pull draw migration
96,96,696,meen,23131,verb,menen,believe think mean
97,97,697,enkele,23120,adverb,enkele,a few
98,98,698,getrouwd,23101,adjective,getrouwd,married hitched sealed
99,99,699,gevraagd,23036,adjective,gevraagd,wanted sought-after
100,100,700,verdomde,22976,adjective,verdomd,damned
101,101,701,hierheen,22953,adjective,hierheen,hither
102,102,702,punt,22940,noun,punt,point dot end
103,103,703,toekomst,22866,noun,toekomst,future hereafter to-be
104,104,704,probeerde,22816,verb,proberen,try attempt endeavor
105,105,705,half,22653,noun,half,half
106,106,706,leger,22633,noun,leger,army military host
107,107,707,waard,22558,adjective,waard,worth worthy expensive
108,108,708,opnieuw,22556,adverb,opnieuw,again anew over again
109,109,709,val,22549,noun,val,fall trap falling
110,110,710,vuur,22539,noun,vuur,fire flame fervor
111,111,711,bewijs,22485,noun,bewijs,proof certificate demonstration
112,112,712,controle,22448,noun,controle,control check monitoring
113,113,713,stellen,22399,verb,stellen,set put adjust
114,114,714,tv,22397,abbreviation,TV,TV
115,115,715,loop,22309,noun,loop,walk course run
116,116,716,woorden,22277,noun,woorden,phrase
117,117,717,droom,22275,noun,droom,dream
118,118,718,begrijpen,22175,verb,begrijpen,understand grasp comprehend
119,119,719,eet,22161,adjective,eet-,cooking table
120,120,720,bedoelt,22087,verb,bedoelen,mean intend design
121,121,721,onzin,22078,noun,onzin,nonsense rubbish shit
122,122,722,serieus,21993,adjective,serieus,serious earnest
123,123,723,konden,21991,verb,kunnen,can may be able
124,124,724,nietwaar,21987,No Google Info,No Google Info,No Google Info
125,125,725,verlaten,21978,verb,verlaten,leave abandon quit
126,126,726,pistool,21976,noun,pistool,pistol pistole Mauser
127,127,727,gekregen,21923,verb,krijgen,get receive have
128,128,728,men,21893,pronoun,men,one they
129,129,729,brengt,21858,verb,brengen,bring apply carry
130,130,730,fantastisch,21749,adjective,fantastisch,fantastic fantastical whimsical
131,131,731,trots,21748,noun,trots,pride spite defiance
132,132,732,ziens,21747,No Google Info,No Google Info,No Google Info
133,133,733,ongeluk,21576,noun,ongeluk,accident misfortune bad luck
134,134,734,geheim,21569,adjective,geheim,secret confidential occult
135,135,735,vroeger,21569,adverb,vroeger,earlier formerly previously
136,136,736,veranderd,21563,adjective,veranderd,change
137,137,737,eentje,21539,No Google Info,No Google Info,No Google Info
138,138,738,werden,21503,verb,worden,be become get
139,139,739,begon,21433,verb,beginnen,start begin commence
140,140,740,verliezen,21415,noun,verliezen,losses losings
141,141,741,probeert,21388,verb,proberen,try attempt endeavor
142,142,742,vliegtuig,21378,noun,vliegtuig,airplane plane aircraft
143,143,743,let,21267,noun,Let,Latvian
144,144,744,slim,21263,adjective,slim,smart cunning astute
145,145,745,juiste,21213,adjective,juist,just correct right
146,146,746,langer,21206,adverb,langer,longer
147,147,747,slaap,21098,noun,slaap,sleep temple dormancy
148,148,748,lezen,20906,verb,lezen,read peruse cull
149,149,749,ongeveer,20864,adverb,ongeveer,about approximately circa
150,150,750,behalve,20764,preposition,behalve,except but unless
151,151,751,meid,20761,noun,meid,girl maid servant
152,152,752,oom,20690,noun,oom,uncle
153,153,753,gered,20648,verb,redden,save rescue salvage
154,154,754,bank,20625,noun,bank,bank bench banking
155,155,755,generaal,20580,noun,generaal,general
156,156,756,dienst,20545,noun,dienst,service employment duty
157,157,757,tenminste,20489,adverb,ten minste,at least leastwise leastways
158,158,758,lief,20484,adjective,lief,lovable nice dear
159,159,759,noem,20459,verb,noemen,call mention name
160,160,760,gedood,20440,verb,doden,kill slay jugulate
161,161,761,vraagt,20434,verb,vragen,ask question request
162,162,762,boos,20412,adjective,boos,angry mad evil
163,163,763,spullen,20372,verb,spullen,stuff
164,164,764,volgen,20356,verb,volgen,follow track attend
165,165,765,sturen,20355,verb,sturen,send steer forward
166,166,766,hemel,20341,noun,hemel,sky heaven welkin
167,167,767,makkelijk,20338,adjective,makkelijk,easy facile toilless
168,168,768,ter,20291,preposition,ter,to in at
169,169,769,genomen,20285,verb,nemen,take reach seize
170,170,770,grootste,20192,adjective,grootste,main major primary
171,171,771,gebeurde,20138,verb,gebeuren,happen be occur
172,172,772,kwamen,20022,verb,komen,come get come to
173,173,773,excuseer,19977,verb,excuseren,excuse
174,174,774,meter,19974,noun,meter,meter measurer gauger
175,175,775,weinig,19956,adjective,weinig,little small wee
176,176,776,iedere,19953,adjective,iedere,every
177,177,777,moordenaar,19937,noun,moordenaar,killer murderer assassin
178,178,778,luisteren,19909,verb,luisteren,listen hear hearken
179,179,779,begrijpt,19866,verb,begrijpen,understand grasp comprehend
180,180,780,gevaar,19844,noun,gevaar,danger risk jeopardy
181,181,781,ieder,19830,pronoun,ieder,each any everyone
182,182,782,sommige,19823,adjective,sommige,some
183,183,783,via,19779,preposition,via,via through by the way of
184,184,784,succes,19777,noun,succes,success luck hit
185,185,785,vertrekken,19747,verb,vertrekken,leave depart go
186,186,786,muziek,19732,noun,muziek,music
187,187,787,gestolen,19720,adjective,gestolen,stolen furtive
188,188,788,meest,19707,adjective,meest,most
189,189,789,hoef,19691,noun,hoef,hoof
190,190,790,advocaat,19685,noun,advocaat,lawyer advocate counsel
191,191,791,kijkt,19657,verb,kijken,look see glance
192,192,792,helpt,19490,verb,helpen,help assist aid
193,193,793,afspraak,19419,noun,afspraak,appointment agreement arrangement
194,194,794,maand,19362,noun,maand,month moon
195,195,795,zwarte,19353,adjective,zwart,black dark Negro
196,196,796,seconden,19303,noun,seconde,second
197,197,797,sterk,19286,adjective,sterk,strong high powerful
198,198,798,foto's,19273,noun,foto,photo photograph
199,199,799,lijken,19214,verb,lijken,seem appear look
