,PerfFront,PerfBack
35,Jij (heeft) : *Eten*,Jij hebt gegeten
36,Zij (heeft) : *Lijken*,Zij hebben geleken
37,Zij (is) : *Beginnen*,Zij zijn begonnen
38,Jij (heeft) : *Drinken*,Jij hebt gedronken
39,Zij (heeft) : *Praten*,Zij hebben gepraat
40,Zij (heeft) : *Zetten*,Zij hebben gezet
41,Ik (heeft) : *Lopen*,Ik heb gelopen
42,Jij (heeft) : *Halen*,Jij hebt gehaald
43,Jij (heeft) : *Spelen*,Jij hebt gespeeld
44,Zij (is) : *Vallen*,Zij zijn gevallen
45,Jij (is) : *Gebeuren*,Jij bent gebeurd
46,Hij (heeft) : *Betreffen*,Hij heeft betroffen
47,Zij (heeft) : *Horen*,Zij hebben gehoord
48,Jij (heeft) : *Kennen*,Jij hebt gekend
49,Ik (heeft) : *Brengen*,Ik heb gebracht
50,Ik (heeft) : *Leren*,Ik heb geleerd
51,Hij (heeft) : *Voorstellen*,Hij heeft voorgesteld
52,Ik (heeft) : *Spreken*,Ik heb gesproken
53,Zij (heeft) : *Vertellen*,Zij hebben verteld
54,Zij (heeft) : *Slapen*,Zij hebben geslapen
55,Hij (heeft) : *Stellen*,Hij heeft gesteld
56,Ik (heeft) : *Groeien*,Ik heb gegroeid
57,Ik (heeft) : *Gebruiken*,Ik heb gebruikt
58,Hij (heeft) : *Verwachten*,Hij heeft verwacht
59,Hij (heeft) : *Betekenen*,Hij heeft betekend
60,Ik (heeft) : *Betalen*,Ik heb betaald
61,Hij (heeft) : *Vormen*,Hij heeft gevormd
62,Hij (heeft) : *Kopen*,Hij heeft gekocht
63,Hij (heeft) : *Tellen*,Hij heeft geteld
64,Ik (heeft) : *Zorgen*,Ik heb gezorgd
65,Zij (heeft) : *Bieden*,Zij hebben geboden
66,Zij (heeft) : *Verkopen*,Zij hebben verkocht
67,Jij (heeft) : *Volgen*,Jij hebt gevolgd
68,Zij (heeft) : *Trekken*,Zij hebben getrokken
69,Ik (heeft) : *Bepalen*,Ik heb bepaald
70,Hij (heeft) : *Zoeken*,Hij heeft gezocht
71,Jij (heeft) : *Leggen*,Jij hebt gelegd
72,Jij (heeft) : *Schrijven*,Jij hebt geschreven
73,Hij (heeft) : *Beperken*,Hij heeft beperkt
74,Ik (heeft) : *Gelden*,Ik heb gegolden
75,Jij (heeft) : *Leiden*,Jij hebt geleid
76,Ik (heeft) : *Bedragen*,Ik heb bedragen
77,Hij (heeft) : *Wachten*,Hij heeft gewacht
78,Hij (heeft) : *Plaatsen*,Hij heeft geplaatst
79,Hij (heeft) : *Plannen*,Hij heeft gepland
80,Jij (is) : *Starten*,Jij bent gestart
81,Zij (heeft) : *Proberen*,Zij hebben geprobeerd
82,Zij (heeft) : *Voeren*,Zij hebben gevoerd
83,Jij (heeft) : *Bouwen*,Jij hebt gebouwd
84,Zij (heeft) : *Kiezen*,Zij hebben gekozen
85,Hij (heeft) : *Voorzien*,Hij heeft voorzien
86,Ik (heeft) : *betrekken*,Ik heb betrokken
87,Zij (heeft) : *Helpen*,Zij hebben geholpen
88,Jij (heeft) : *Bezoeken*,Jij hebt bezocht
89,Zij (heeft) : *Leveren*,Zij hebben geleverd
90,Ik (heeft) : *Antwoorden*,Ik heb geantwoord
91,Zij (is) : *Noemen*,Zij zijn genoemd
92,Ik (heeft) : *Heten*,Ik heb geheten
93,Jij (is) : *Veranderen*,Jij bent veranderd
94,Jij (heeft) : *Vertrouwen*,Jij hebt vertrouwd
95,Zij (is) : *Ontstaan*,Zij zijn ontstaan
96,Zij (is) : *Stijgen*,Zij zijn gestegen
97,Jij (heeft) : *Bezitten*,Jij hebt bezeten
98,Ik (heeft) : *Voelen*,Ik heb gevoeld
