,Dutch,Quizlet
29,verder,"*further*
adjective: further, farther, additional
adverb: further, more, on
Verder heb ik nog geen plannen gemaakt. - Further, I haven't made any plans yet."


30,zat,"*fed up*
adjective: drunk, intoxicated, satiate
Ik zat in de trein. - I was sitting on the train."


31,soms,"*sometimes*
adverb: sometimes, sometime, now and then
Soms heb ik zin in een ijsje. - Sometimes I feel like having an ice cream."


32,werken,"*to work*
verb: work, operate, function
noun: works
Ik werk in een kantoor. - I work in an office."


33,bel,"*bell*
noun: bubble, bell
Bel me als je vragen hebt. - Call me if you have any questions."


34,voel,"*feel*
verb: feel, sense, emote
Ik voel me goed. - I feel good."


35,kind,"*child*
noun: child, kid, baby
Mijn kind heeft een nieuwe fiets gekregen. - My child has received a new bike."


36,probeer,"*try*
verb: try, attempt, endeavor
Probeer een nieuwe taal te leren.
Try to learn a new language."


37,ding,"*thing*
noun: thing, object, matter
""Het is een raar ding."" - It is a strange thing."


38,minuten,"*minutes*
noun: minute
Ik heb twintig minuten geleden gegeten. - I ate twenty minutes ago."


39,krijgt,"*gets*
verb: get, receive, have
Ze krijgt een cadeau van haar ouders. - She is getting a gift from her parents."


40,zet,"*sets*
noun: move, stroke, score
Ik zet mijn schoenen aan. - I put on my shoes."


41,vijf,"*five*
noun: five, pentad
: five
""Vijf mensen kwamen op het feest."" - Five people came to the party."


42,gehad,"*had*
verb: have, possess, own
Ik heb gehad een geweldige dag. - I've had a great day."


43,haal,"*get*
noun: pull, stroke, haul
Ik haal het boek van de plank. - I'm taking the book off the shelf."


44,gemaakt,"*made*
adjective: artificial, forced, minikin
De taart is gemaakt. - The cake is made."


45,hè,"*Hey*
interjection: Hey!, He!, Eh!
Hè, wat een verrassing! - Wow, what a surprise!"


46,manier,"*way*
noun: way, manner, fashion
De manier waarop hij het deed, was verrassend. - The way he did it was surprising."


47,dagen,"*to dawn*
verb: dawn, summon
Ik heb de laatste dagen veel gereisd. - I have been travelling a lot these last days."


48,zoek,"*search*
adjective: lost, mislaid
Ik zoek een boek - I'm looking for a book."


49,heet,"*is called*
adjective: hot, warm, spicy
adverb: fervidly
Het heet 'Good Morning' in het Engels. = It's called 'Good Morning' in English."


50,volgende,"*next one*
adjective: next, following, subsequent
De volgende dag gingen we naar de stad. - The next day we went to the city."


51,daarom,"*therefore*
conjunction: therefore, that is why, wherefore
adverb: hence, wherefore
Daarom kiezen we ervoor om deze route te nemen. - Therefore, we choose to take this route."


52,gehoord,"*heard*
verb: hear, belong, learn
Ik heb gehoord dat je verhuisd bent. - I heard that you moved."


53,pas,"*pass*
adverb: only
noun: pass, pas, step
conjunction: if only
Ik ben pas gisteravond thuisgekomen. - I only came home last night."


54,werkt,"*works*
verb: work, operate, function
Het werkt goed. - It works well."


55,vanavond,"*this evening*
adverb: tonight
Vanavond gaan we naar de film. - Tonight we are going to the movies."


56,volgens,"*according to*
adverb: according to, by agreement
preposition: according to, by, under
adjective: accordant
Volgens mij gaat het regenen. - According to me, it is going to rain."


57,best,"*best*
adjective: best, optimum, high
adverb: best
""Het beste is om het rustig aan te doen."" - The best thing is to take it easy."


58,pijn,"*pain*
noun: pain, hurt, pine
Ik heb veel pijn in mijn rug. - I have a lot of pain in my back."


59,kans,"*opportunity*
noun: chance, opportunity, hazard
De kans is klein dat het gaat gebeuren. - The chance is small that it will happen."


60,eruit,"*out*
adverb: out, outward
Eruit halen wat erin zit - To get out what is inside"


61,help,"*Help*
interjection: Help!
Help alsjeblieft! - Please help!"


62,plaats,"*place*
noun: place, location, site
De plaats van de vergadering was in het park. - The place of the meeting was in the park."


63,hoeveel,"*how many*
adverb: how much, how many
conjunction: what, whilst, while
Hoeveel kost het? - How much does it cost?"


64,vroeg,"*early*
adjective: early
adverb: early, soon, in waking hours
Ik ben vroeg thuis gekomen. - I came home early."


65,oude,"*old*
noun: ancient
De oude man wandelde langzaam. - The old man walked slowly."


66,stad,"*city*
noun: city, town, borough
De stad is erg druk vandaag. - The city is very busy today."


67,zoeken,"*to search*
verb: search, seek, quest
Ik zoek naar mijn huis sleutel. - I am searching for my house key."


68,ogen,"*eyes*
noun: lights, lamps
Ik heb mooie blauwe ogen. - I have beautiful blue eyes."


69,jezelf,"*yourself*
pronoun: yourself
Jezelf verzorgen is belangrijk. - Taking care of yourself is important."


70,geloven,"*to believe*
verb: believe, think, trust
Ik geloof dat het waar is. - I believe that it is true."


71,moment,"*moment*
noun: moment, instant, momentum
""Het is een kort moment geweest"" - It has been a short moment."


72,kamer,"*room*
noun: room, chamber, den
De kamer was klein, maar gezellig. - The room was small, but cozy."


73,schiet,"*shoot*
verb: shoot, fire, gun
Ik schiet de bal in het doel. - I shoot the ball into the goal."


74,vier,"*four*
noun: four, gauds, four-oar
Ik heb vier boeken gekocht. - I bought four books."


75,vindt,"*finds*
verb: find, think of, hit upon
Ik vindt het leuk. - I like it."


76,word,"*become*
verb: be, become, get
Deze zin heeft het woord 'word' erin. - This sentence has the word 'word' in it."


77,agent,"*agent*
noun: agent, policeman, broker
De agent hielp de oudere man. - The agent helped the elderly man."


78,slecht,"*bad*
adjective: bad, evil, ill
adverb: badly, perversely
Het eten was slecht. - The food was bad."


79,verteld,"*told*
verb: tell, relate, narrate
Hij vertelde me een verhaal. - He told me a story."


80,brengen,"*to take*
verb: bring, apply, carry
Ik breng je thuis. - I will take you home."


81,blij,"*pleased*
adjective: happy, glad, joyous
adverb: gladly
Ik ben blij dat je hier bent. - I'm happy that you are here."


82,hulp,"*staff*
noun: help, assistance, aid
""Ik heb hulp nodig."" - ""I need help."""


83,welke,"*which*
adjective: which, what
conjunction: which
pronoun: which, what, that
Welke boeken heb je al gelezen? - Which books have you already read?"


84,blijft,"*stays*
verb: remain, stay, keep
""Het blijft een mysterie."" - It remains a mystery."


85,ligt,"*is*
verb: lie, be, sit
Het boek ligt op tafel. - The book is on the table."


86,broer,"*brother*
noun: brother, sibling
Mijn broer is mijn beste vriend. - My brother is my best friend."


87,school,"*school*
noun: school, shoal
De school is gesloten. - The school is closed."


88,tussen,"*between*
preposition: between, among, amongst
Ik loop tussen de bomen. - I'm walking between the trees."


89,deur,"*door*
noun: door, gate, portal
De deur stond open. - The door was open."


90,spreken,"*speak*
verb: speak, talk, see
Ik spreek Nederlands. - I speak Dutch."


91,plan,"*plan*
noun: plan, scheme, intention
Het plan is om de tuin te veranderen. - The plan is to change the garden."


92,dollar,"*dollars*
noun: dollar, plunk
""Ik heb een dollar gespendeerd."" - I spent a dollar."


93,handen,"*hands*
adjective: manual
De kinderen hadden hun handen vol met snoep. - The children had their hands full with candy."


94,ergens,"*somewhere*
adverb: somewhere, anywhere
pronoun: someplace
Ik heb ergens iets verloren. - I lost something somewhere."


95,dr.,"*dr.*

De dr. heeft me gezegd dat ik gezond moet eten. - The doctor told me to eat healthily."


96,klopt,"*Correct*
verb: knock, beat, hit
""Het klopt."" - It is correct."


97,breng,"*bring*
verb: bring, apply, carry
Ik breng de krant naar de deur. - I bring the newspaper to the door."


98,dokter,"*doctor*
noun: doctor, physician, doc
De dokter heeft mij medicijnen voorgeschreven. - The doctor prescribed me medicine."


99,juist,"*correct*
adjective: just, correct, right
adverb: just, right, precisely
prefix: ortho-
""Ik heb het juist gedaan."" - ""I did it correctly."""


