,Unnamed: 0,Dutch,Sentence
79,79,meeste,De meeste mensen zijn vriendelijk. - Most people are friendly.
80,80,koud,Het water is koud. - The water is cold.
81,81,jammer,Jammer dat je niet kon komen. - It's a shame that you couldn't come.
82,82,wegwezen,Wegwezen! - Get out of here!
83,83,macht,"""De macht van het geld is groot."" - ""The power of money is great."""
84,84,drugs,Drugs zijn verboden in Nederland. - Drugs are forbidden in the Netherlands.
85,85,geboren,Ik ben in Amsterdam geboren. - I was born in Amsterdam.
86,86,dragen,Ik draag een jas - I am wearing a jacket.
87,87,keuze,Mijn keuze is gemaakt. - My choice has been made.
88,88,gefeliciteerd,Gefeliciteerd! Congratulations!
89,89,situatie,De situatie is veranderd. - The situation has changed.
90,90,missen,Ik mis mijn familie. - I miss my family.
91,91,honger,Ik heb honger - I am hungry.
92,92,betaald,Ik heb al betaald. - I have already paid.
93,93,liefje,"""Liefje, ik hou van je"" - ""Sweetheart, I love you"""
94,94,duurt,Het duurt twee uur. - It takes two hours.
95,95,schelen,Het scheelt me niet veel. - It doesn't make much difference to me.
96,96,kaart,Ik heb een kaart van Europa gekocht. - I bought a map of Europe.
97,97,rij,Ik rij met de auto naar mijn werk. - I drive to work in the car.
98,98,bal,De jongen gooide de bal naar zijn vriend. - The boy threw the ball to his friend.
99,99,werkte,"Hij werkte hard om zijn doelen te bereiken.
He worked hard to achieve his goals."
