,Dutch,Quizlet,Sentence,English,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives
9,komen,"*come*
verb: come, get, come to
""Ze komen morgen aan."" - They will arrive tomorrow.","""Ze komen morgen aan."" - They will arrive tomorrow.",*come*,"[['come', 'get', 'come to', 'fly into']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=komen,"verb: come, get, come to"


10,mensen,"*people*
noun: people, men, persons
Mensen zijn op zoek naar manieren om het milieu te beschermen.

People are looking for ways to protect the environment.","Mensen zijn op zoek naar manieren om het milieu te beschermen.

People are looking for ways to protect the environment.",*people*,"[['people', 'men', 'persons', 'folk']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=mensen,"noun: people, men, persons"


11,onze,"*our*
pronoun: our
Onze familie is groot. - Our family is big.",Onze familie is groot. - Our family is big.,*our*,[['our']],pronoun,pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=onze,pronoun: our


12,nodig,"*necessary*
adjective: necessary, required, needful
Ik heb je hulp nodig. - I need your help.",Ik heb je hulp nodig. - I need your help.,*necessary*,"[['necessary', 'required', 'needful', 'requisite']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=nodig,"adjective: necessary, required, needful"


13,tot,"*until*
preposition: to, until, for
conjunction: until
Ik ben tot morgen hier. - I'll be here till tomorrow.",Ik ben tot morgen hier. - I'll be here till tomorrow.,*until*,"[['to', 'until', 'for', 'into', 'till', 'unto', 'at', 'towards', 'pending', 'while'], ['until']]",preposition conjunction,preposition conjunction,https://www.linguee.com/english-dutch/search?source=auto&query=tot,"preposition: to, until, for
conjunction: until"


14,worden,"*become*
verb: be, become, get
De veranderingen zullen worden aangekondigd. - The changes will be announced.",De veranderingen zullen worden aangekondigd. - The changes will be announced.,*become*,"[['be', 'become', 'get', 'take', 'grow', 'come', 'force upon', 'flake off', 'go']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=worden,"verb: be, become, get"


15,veel,"*a lot of*
adverb: much, many, heaps of
Veel plezier! = Have fun!",Veel plezier! = Have fun!,*a lot of*,"[['much', 'many', 'heaps of', 'not a few', 'in any quantity']]",adverb,adverb,https://www.linguee.com/english-dutch/search?source=auto&query=veel,"adverb: much, many, heaps of"


16,weten,"*know*
verb: know, wit, wot
Ik weet het niet. - I don't know.",Ik weet het niet. - I don't know.,*know*,"[['know', 'wit', 'wot']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=weten,"verb: know, wit, wot"


17,leven,"*to live*
noun: life, living, animation
verb: live, exist
Het leven is kort, maar de herinneringen zijn eeuwig. - Life is short, but the memories are eternal.","Het leven is kort, maar de herinneringen zijn eeuwig. - Life is short, but the memories are eternal.",*to live*,"[['life', 'living', 'animation', 'noise', 'ado', 'din'], ['live', 'exist']]",noun verb,noun verb,https://www.linguee.com/english-dutch/search?source=auto&query=leven,"noun: life, living, animation
verb: live, exist"


18,wij,"*We*
pronoun: we
Wij gaan naar het park. - We are going to the park.",Wij gaan naar het park. - We are going to the park.,*We*,[['we']],pronoun,pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=wij,pronoun: we


19,weer,"*weather*
noun: weather, defense, weir
adverb: again, fro
""Het weer is vandaag mooi."" - ""The weather is nice today.""","""Het weer is vandaag mooi."" - ""The weather is nice today.""",*weather*,"[['weather', 'defense', 'weir', 'defence'], ['again', 'fro']]",noun adverb,noun adverb,https://www.linguee.com/english-dutch/search?source=auto&query=weer,"noun: weather, defense, weir
adverb: again, fro"


20,gewoon,"*Ordinary*
adverb: just, plainly, habitually
adjective: ordinary, plain, common
phrase: common or garden
Gewoon even rustig aan doen. - Just take it easy.",Gewoon even rustig aan doen. - Just take it easy.,*Ordinary*,"[['just', 'plainly', 'habitually'], ['ordinary', 'plain', 'common', 'normal', 'usual', 'simple', 'accustomed', 'commonplace', 'natural', 'everyday', 'general', 'habitual', 'customary', 'homely', 'wonted', 'vulgar', 'lowbrow', 'unartful', 'earthbound', 'popular'], ['common or garden']]",adverb adjective phrase,adverb adjective phrase,https://www.linguee.com/english-dutch/search?source=auto&query=gewoon,"adverb: just, plainly, habitually
adjective: ordinary, plain, common
phrase: common or garden"


21,kijk,"*look*
noun: outlook
Kijk eens naar de zon! - Look at the sun!",Kijk eens naar de zon! - Look at the sun!,*look*,[['outlook']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=kijk,noun: outlook


22,zeggen,"*say*
verb: say, tell, put
""Ik zeg dat ik je zal helpen."" - I say that I will help you.","""Ik zeg dat ik je zal helpen."" - I say that I will help you.",*say*,"[['say', 'tell', 'put', 'pronounce', 'predicate']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=zeggen,"verb: say, tell, put"


23,tijd,"*time*
noun: time, period, season
De tijd vliegt! - Time flies!",De tijd vliegt! - Time flies!,*time*,"[['time', 'period', 'season', 'tense']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=tijd,"noun: time, period, season"


24,zeg,"*say*
interjection: Hey!
""Zeg me wat je denkt."" - Tell me what you think.","""Zeg me wat je denkt."" - Tell me what you think.",*say*,[['Hey!']],interjection,interjection,https://www.linguee.com/english-dutch/search?source=auto&query=zeg,interjection: Hey!


25,twee,"*two*
noun: two, twain, deuce
: two
Twee mensen stonden samen op het podium. - Two people stood together on the stage.",Twee mensen stonden samen op het podium. - Two people stood together on the stage.,*two*,"[['two', 'twain', 'deuce'], ['two']]",noun ,noun ,https://www.linguee.com/english-dutch/search?source=auto&query=twee,"noun: two, twain, deuce
: two"


26,toen,"*when*
conjunction: when, as
adverb: then, at that time, next
Toen gingen we naar huis. - Then we went home.",Toen gingen we naar huis. - Then we went home.,*when*,"[['when', 'as'], ['then', 'at that time', 'next']]",conjunction adverb,conjunction adverb,https://www.linguee.com/english-dutch/search?source=auto&query=toen,"conjunction: when, as
adverb: then, at that time, next"


27,tegen,"*in return for*
preposition: against, at, to
adverb: counter, contrary
noun: con
De kat liep tegen de muur aan. - The cat ran into the wall.",De kat liep tegen de muur aan. - The cat ran into the wall.,*in return for*,"[['against', 'at', 'to', 'by', 'towards', 'versus', 'contra'], ['counter', 'contrary'], ['con']]",preposition adverb noun,preposition adverb noun,https://www.linguee.com/english-dutch/search?source=auto&query=tegen,"preposition: against, at, to
adverb: counter, contrary
noun: con"


28,zit,"*sit*
noun: seat
Ik zit in de auto. - I am sitting in the car.",Ik zit in de auto. - I am sitting in the car.,*sit*,[['seat']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=zit,noun: seat


29,net,"*just*
adverb: just, just so, nicely
noun: net, network, grid
adjective: spruce, tidy, elegant
Ik heb net een kopje koffie gedronken. - I just drank a cup of coffee.",Ik heb net een kopje koffie gedronken. - I just drank a cup of coffee.,*just*,"[['just', 'just so', 'nicely', 'beautifully', 'elegantly'], ['net', 'network', 'grid', 'mesh', 'web', 'string bag'], ['spruce', 'tidy', 'elegant', 'trim', 'fine', 'trig', 'handsome']]",adverb noun adjective,adverb noun adjective,https://www.linguee.com/english-dutch/search?source=auto&query=net,"adverb: just, just so, nicely
noun: net, network, grid
adjective: spruce, tidy, elegant"


30,dood,"*dead*
noun: death, dissolution, expiration
adjective: dead, lifeless
adverb: dead
""Hij was dood moe."" - He was dead tired.","""Hij was dood moe."" - He was dead tired.",*dead*,"[['death', 'dissolution', 'expiration', 'exit'], ['dead', 'lifeless'], ['dead']]",noun adjective adverb,noun adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=dood,"noun: death, dissolution, expiration
adjective: dead, lifeless
adverb: dead"


31,uw,"*your*
pronoun: your, thy, thine
Uw huis is mooi. - Your house is beautiful.",Uw huis is mooi. - Your house is beautiful.,*your*,"[['your', 'thy', 'thine', 'yours']]",pronoun,pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=uw,"pronoun: your, thy, thine"


32,wordt,"*is becoming*
verb: be, become, get
De kat wordt vermist. - The cat is missing.",De kat wordt vermist. - The cat is missing.,*is becoming*,"[['be', 'become', 'get', 'take', 'grow', 'come', 'force upon', 'flake off', 'go']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=wordt,"verb: be, become, get"


33,hé,"*Hey*
interjection: Hey!, He!, Eh!
Hé, wat doe je hier? - Hey, what are you doing here?","Hé, wat doe je hier? - Hey, what are you doing here?",*Hey*,"[['Hey!', 'He!', 'Eh!', 'Phew!', 'Holloa!', 'Hollo!', 'Ha!', 'Oh!']]",interjection,interjection,https://www.linguee.com/english-dutch/search?source=auto&query=hé,"interjection: Hey!, He!, Eh!"


34,maken,"*to make*
verb: make, do, build
Ik maak een taart, I am making a cake.","Ik maak een taart, I am making a cake.",*to make*,"[['make', 'do', 'build', 'manufacture', 'realize', 'develop', 'cause', 'fabricate', 'shape', 'frame']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=maken,"verb: make, do, build"


35,mag,"*allowed*
noun: maw
Ik mag naar huis gaan - I may go home.",Ik mag naar huis gaan - I may go home.,*allowed*,[['maw']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=mag,noun: maw


36,één,"*An*
noun: ace
Ik heb één appel gegeten - I ate one apple.",Ik heb één appel gegeten - I ate one apple.,*An*,[['ace']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=één,noun: ace


37,z'n,"*his*

Hij heeft z'n boeken meegenomen. - He has taken his books.",Hij heeft z'n boeken meegenomen. - He has taken his books.,*his*,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=z'n,


38,omdat,"*because*
conjunction: because, for, just because
Omdat ik het leuk vind, ga ik naar het strand. - Because I like it, I'm going to the beach.","Omdat ik het leuk vind, ga ik naar het strand. - Because I like it, I'm going to the beach.",*because*,"[['because', 'for', 'just because']]",conjunction,conjunction,https://www.linguee.com/english-dutch/search?source=auto&query=omdat,"conjunction: because, for, just because"


39,gedaan,"*done*
adjective: done
Ik heb het gedaan. - I have done it.",Ik heb het gedaan. - I have done it.,*done*,[['done']],adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=gedaan,adjective: done


40,heel,"*all*
adjective: very, whole, all
adverb: very, quite, all
noun: integer
Ik heb heel veel energie. - I have a lot of energy.",Ik heb heel veel energie. - I have a lot of energy.,*all*,"[['very', 'whole', 'all', 'entire'], ['very', 'quite', 'all', 'completely', 'entirely', 'wholly', 'fully', 'not', 'ever-so'], ['integer']]",adjective adverb noun,adjective adverb noun,https://www.linguee.com/english-dutch/search?source=auto&query=heel,"adjective: very, whole, all
adverb: very, quite, all
noun: integer"


41,af,"*off*
adverb: off, down, out
suffix: on
adjective: ready
De kat is van de tafel af gesprongen. - The cat jumped off the table.",De kat is van de tafel af gesprongen. - The cat jumped off the table.,*off*,"[['off', 'down', 'out'], ['on'], ['ready']]",adverb suffix adjective,adverb suffix adjective,https://www.linguee.com/english-dutch/search?source=auto&query=af,"adverb: off, down, out
suffix: on
adjective: ready"


42,altijd,"*always*
adverb: always, ever, evermore
Altijd ben ik je vriend. - Always I am your friend.",Altijd ben ik je vriend. - Always I am your friend.,*always*,"[['always', 'ever', 'evermore']]",adverb,adverb,https://www.linguee.com/english-dutch/search?source=auto&query=altijd,"adverb: always, ever, evermore"


43,jouw,"*your*
pronoun: your
noun: yours
Jouw ogen zijn zo mooi. - Your eyes are so beautiful.",Jouw ogen zijn zo mooi. - Your eyes are so beautiful.,*your*,"[['your'], ['yours']]",pronoun noun,pronoun noun,https://www.linguee.com/english-dutch/search?source=auto&query=jouw,"pronoun: your
noun: yours"


44,zeker,"*Certainly*
adjective: sure, certain, confident
adverb: sure, certainly, surely
""Zeker, ik zal het doen."" - ""Certainly, I will do it.""","""Zeker, ik zal het doen."" - ""Certainly, I will do it.""",*Certainly*,"[['sure', 'certain', 'confident', 'assured', 'secure', 'safe', 'positive', 'foolproof', 'undoubted', 'infallible', 'cocksure', 'unfailing', 'surefooted', 'dependable', 'umpteen', 'anchored'], ['sure', 'certainly', 'surely', 'undoubtedly', 'no doubt', 'assuredly', 'securely', 'sure thing', 'by all means', 'must needs', 'right enough']]",adjective adverb,adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=zeker,"adjective: sure, certain, confident
adverb: sure, certainly, surely"


45,geef,"*give*
verb: give, deliver, impart
Geef me een kus! - Give me a kiss!",Geef me een kus! - Give me a kiss!,*give*,"[['give', 'deliver', 'impart', 'lend', 'render', 'afford', 'deal']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=geef,"verb: give, deliver, impart"


46,zie,"*see *
interjection: Lo!
Ik zie je morgen - I'll see you tomorrow.",Ik zie je morgen - I'll see you tomorrow.,*see *,[['Lo!']],interjection,interjection,https://www.linguee.com/english-dutch/search?source=auto&query=zie,interjection: Lo!


47,wacht,"*guard*
noun: guard, watch, sentry
""Ik wacht op je antwoord."" - I'm waiting for your answer.","""Ik wacht op je antwoord."" - I'm waiting for your answer.",*guard*,"[['guard', 'watch', 'sentry', 'ward', 'cue', 'sentry-go']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=wacht,"noun: guard, watch, sentry"


48,allemaal,"*all*
pronoun: everything, everybody, altogether
Allemaal hebben we een goede tijd gehad. - We all had a good time.",Allemaal hebben we een goede tijd gehad. - We all had a good time.,*all*,"[['everything', 'everybody', 'altogether']]",pronoun,pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=allemaal,"pronoun: everything, everybody, altogether"


49,jaar,"*year*
noun: year, annum, twelvemonth
Het jaar is bijna voorbij. - The year is nearly over.",Het jaar is bijna voorbij. - The year is nearly over.,*year*,"[['year', 'annum', 'twelvemonth']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=jaar,"noun: year, annum, twelvemonth"


50,doet,"*do*
verb: do, make, perform
Het doet me goed om je te zien. - It's good to see you.",Het doet me goed om je te zien. - It's good to see you.,*do*,"[['do', 'make', 'perform', 'put', 'cause', 'act', 'bloat']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=doet,"verb: do, make, perform"


51,dag,"*day*
noun: day, daytime
Dag iedereen! - Hello everyone!",Dag iedereen! - Hello everyone!,*day*,"[['day', 'daytime']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=dag,"noun: day, daytime"


52,zij,"*she*
pronoun: they, it, she
noun: side, way, flank
Zij zijn de koningen van het feest. - They are the kings of the party.",Zij zijn de koningen van het feest. - They are the kings of the party.,*she*,"[['they', 'it', 'she', 'those', 'such'], ['side', 'way', 'flank', 'silk', 'hand', 'aspect', 'faille']]",pronoun noun,pronoun noun,https://www.linguee.com/english-dutch/search?source=auto&query=zij,"pronoun: they, it, she
noun: side, way, flank"


53,hun,"*their*
pronoun: their, them
Hun kat is zwart. - Their cat is black.",Hun kat is zwart. - Their cat is black.,*their*,"[['their', 'them']]",pronoun,pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=hun,"pronoun: their, them"


54,huis,"*house*
noun: house, home, place
""Ik heb een mooi huis."" - ""I have a beautiful house.""","""Ik heb een mooi huis."" - ""I have a beautiful house.""",*house*,"[['house', 'home', 'place', 'family', 'premises']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=huis,"noun: house, home, place"


55,vader,"*father*
noun: father, parent, old man
Mijn vader is de beste, My father is the best.","Mijn vader is de beste, My father is the best.",*father*,"[['father', 'parent', 'old man', 'pa']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=vader,"noun: father, parent, old man"


56,dank,"*thanks*
noun: thanks, acknowledgement
Ik wil je danken voor je hulp. - I want to thank you for your help.",Ik wil je danken voor je hulp. - I want to thank you for your help.,*thanks*,"[['thanks', 'acknowledgement']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=dank,"noun: thanks, acknowledgement"


57,dacht,"*thought*
verb: think, think of, conceive
Ik dacht dat ik het al wist. - I thought I already knew.",Ik dacht dat ik het al wist. - I thought I already knew.,*thought*,"[['think', 'think of', 'conceive', 'intend', 'reckon', 'guess', 'fancy', 'cogitate', 'ween', 'trow']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=dacht,"verb: think, think of, conceive"


58,kunt,"*can*
verb: can, may, be able
U kunt mij helpen, You can help me.","U kunt mij helpen, You can help me.",*can*,"[['can', 'may', 'be able']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=kunt,"verb: can, may, be able"


59,zoals,"*as*
adverb: as, such as
conjunction: as, like, just as
adjective: such as, like, of same gender
preposition: like
""Ik hou van het leven zoals het is,"" which translates to ""I love life as it is.""","""Ik hou van het leven zoals het is,"" which translates to ""I love life as it is.""",*as*,"[['as', 'such as'], ['as', 'like', 'just as', 'so as', 'how'], ['such as', 'like', 'of same gender'], ['like']]",adverb conjunction adjective preposition,adverb conjunction adjective preposition,https://www.linguee.com/english-dutch/search?source=auto&query=zoals,"adverb: as, such as
conjunction: as, like, just as
adjective: such as, like, of same gender
preposition: like"


60,vrouw,"*woman*
noun: woman, wife, female
De vrouw ging naar de winkel, The woman went to the store.","De vrouw ging naar de winkel, The woman went to the store.",*woman*,"[['woman', 'wife', 'female', 'lady', 'queen', 'missus', 'missis', 'petticoat', 'dona']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=vrouw,"noun: woman, wife, female"


61,keer,"*time*
noun: time, occasion, volution
Ik heb het al drie keer geprobeerd. - I have tried it three times.",Ik heb het al drie keer geprobeerd. - I have tried it three times.,*time*,"[['time', 'occasion', 'volution', 'about-turn', 'about-face']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=keer,"noun: time, occasion, volution"


62,anders,"*otherwise*
adverb: otherwise, else, other
adjective: other, unlike, alien
pronoun: other
""Het is anders dan ik had verwacht"" - ""It is different than I had expected"".","""Het is anders dan ik had verwacht"" - ""It is different than I had expected"".",*otherwise*,"[['otherwise', 'else', 'other', 'differently', 'or else', 'anew'], ['other', 'unlike', 'alien'], ['other']]",adverb adjective pronoun,adverb adjective pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=anders,"adverb: otherwise, else, other
adjective: other, unlike, alien
pronoun: other"


63,andere,"*Others*
adjective: other, another, else
Andere mensen hebben andere ideeën. - Other people have different ideas.",Andere mensen hebben andere ideeën. - Other people have different ideas.,*Others*,"[['other', 'another', 'else', 'second', 'opposite', 'variant']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=andere,"adjective: other, another, else"


64,willen,"*want*
verb: want, like, will
Ik wil naar het strand gaan. - I want to go to the beach.",Ik wil naar het strand gaan. - I want to go to the beach.,*want*,"[['want', 'like', 'will', 'mean']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=willen,"verb: want, like, will"


65,erg,"*terribly*
adverb: very, extremely, quite
noun: erg
adjective: serious
Erg moe, I'm very tired.","Erg moe, I'm very tired.",*terribly*,"[['very', 'extremely', 'quite', 'much', 'terribly', 'seriously', 'mightily', 'heartily', 'ever-so'], ['erg'], ['serious']]",adverb noun adjective,adverb noun adjective,https://www.linguee.com/english-dutch/search?source=auto&query=erg,"adverb: very, extremely, quite
noun: erg
adjective: serious"


66,spijt,"*sorry*
noun: regret, repentance, compunction
Ik heb spijt van mijn beslissing. - I regret my decision.",Ik heb spijt van mijn beslissing. - I regret my decision.,*sorry*,"[['regret', 'repentance', 'compunction']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=spijt,"noun: regret, repentance, compunction"


67,bedankt,"*Thank you*
interjection: Thanks!, Thankee!
Bedankt voor je hulp! - Thank you for your help!",Bedankt voor je hulp! - Thank you for your help!,*Thank you*,"[['Thanks!', 'Thankee!']]",interjection,interjection,https://www.linguee.com/english-dutch/search?source=auto&query=bedankt,"interjection: Thanks!, Thankee!"


68,niemand,"*no one*
noun: nobody, nix
pronoun: nobody, no one, none
adjective: none
Niemand weet wat er gaat gebeuren. - No one knows what is going to happen.",Niemand weet wat er gaat gebeuren. - No one knows what is going to happen.,*no one*,"[['nobody', 'nix'], ['nobody', 'no one', 'none'], ['none']]",noun pronoun adjective,noun pronoun adjective,https://www.linguee.com/english-dutch/search?source=auto&query=niemand,"noun: nobody, nix
pronoun: nobody, no one, none
adjective: none"


69,wilt,"*want*
verb: want, like, will
Wil je mee naar de bioscoop gaan? - Do you want to go to the movies?",Wil je mee naar de bioscoop gaan? - Do you want to go to the movies?,*want*,"[['want', 'like', 'will', 'mean']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=wilt,"verb: want, like, will"


70,geld,"*money*
noun: money, cash, dough
abbreviation: L.S.D.
""Hij heeft veel geld verdiend."" - He has earned a lot of money.","""Hij heeft veel geld verdiend."" - He has earned a lot of money.",*money*,"[['money', 'cash', 'dough', 'tin', 'shiners', 'brass', 'pile', 'shekels', 'moolah', 'lollipops', 'lollipop', 'ocher', 'oof', 'pelf', 'stiff', 'gilt', 'gingerbread', 'siller', 'rhino', 'golden key', 'ochre'], ['L.S.D.']]",noun abbreviation,noun abbreviation,https://www.linguee.com/english-dutch/search?source=auto&query=geld,"noun: money, cash, dough
abbreviation: L.S.D."


71,zitten,"*to sit*
verb: sit, be seated, set
Ik zit in de klas. - I am sitting in the classroom.",Ik zit in de klas. - I am sitting in the classroom.,*to sit*,"[['sit', 'be seated', 'set']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=zitten,"verb: sit, be seated, set"


72,niks,"*nothing*
pronoun: nothing
adverb: none
noun: nix
Ik heb niks gezegd. - I didn't say anything.",Ik heb niks gezegd. - I didn't say anything.,*nothing*,"[['nothing'], ['none'], ['nix']]",pronoun adverb noun,pronoun adverb noun,https://www.linguee.com/english-dutch/search?source=auto&query=niks,"pronoun: nothing
adverb: none
noun: nix"


73,iedereen,"*everyone*
pronoun: everyone, anyone, every
noun: all the world
phrase: every mother's son
Iedereen heeft recht op geluk. - Everyone has a right to happiness.",Iedereen heeft recht op geluk. - Everyone has a right to happiness.,*everyone*,"[['everyone', 'anyone', 'every', 'each'], ['all the world'], [""every mother's son""]]",pronoun noun phrase,pronoun noun phrase,https://www.linguee.com/english-dutch/search?source=auto&query=iedereen,"pronoun: everyone, anyone, every
noun: all the world
phrase: every mother's son"


74,binnen,"*inside*
adverb: within, in, inside
preposition: within, inside, into
adjective: inlying
""De kat loopt binnen."" - The cat is walking inside.","""De kat loopt binnen."" - The cat is walking inside.",*inside*,"[['within', 'in', 'inside'], ['within', 'inside', 'into', 'per', 'until'], ['inlying']]",adverb preposition adjective,adverb preposition adjective,https://www.linguee.com/english-dutch/search?source=auto&query=binnen,"adverb: within, in, inside
preposition: within, inside, into
adjective: inlying"


75,staat,"*stands*
noun: state, condition, status
""De staat heeft veel geld geïnvesteerd in de infrastructuur."" - ""The state has invested a lot of money in the infrastructure.""","""De staat heeft veel geld geïnvesteerd in de infrastructuur."" - ""The state has invested a lot of money in the infrastructure.""",*stands*,"[['state', 'condition', 'status', 'estate', 'polity', 'plight', 'posture', 'insolvency', 'fig']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=staat,"noun: state, condition, status"


76,wilde,"*wild*
noun: savage, freelance, extremist
Ik wilde een ijsje. - I wanted an ice cream.",Ik wilde een ijsje. - I wanted an ice cream.,*wild*,"[['savage', 'freelance', 'extremist']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=wilde,"noun: savage, freelance, extremist"


77,zich,"*himself*
pronoun: himself, itself, themselves
Zij verzachtte zich. - She softened herself.",Zij verzachtte zich. - She softened herself.,*himself*,"[['himself', 'itself', 'themselves', 'herself', 'them', 'oneself']]",pronoun,pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=zich,"pronoun: himself, itself, themselves"


78,beter,"*better*
adverb: better, superiorly
adjective: superior
noun: bettor
prefix: out-
'Het kan beter.' - It could be better.",'Het kan beter.' - It could be better.,*better*,"[['better', 'superiorly'], ['superior'], ['bettor'], ['out-']]",adverb adjective noun prefix,adverb adjective noun prefix,https://www.linguee.com/english-dutch/search?source=auto&query=beter,"adverb: better, superiorly
adjective: superior
noun: bettor
prefix: out-"


