,Unnamed: 0,Spanish,show,lemma,ChatGPT_Sentence
15,915,trabajando,*trabajando* (trabajar),trabajar,"Estoy trabajando y me duele el culo porque me tiré del pelo.

I am working and my butt hurts because I pulled my hair."
16,916,gracioso,gracioso,gracioso,"El perro ha vuelto a casa y su vista es muy graciosa.
The dog has returned home and its look is very funny."
17,917,dejó,*dejó* (dejar),dejar,"Él dejó dos tipos de basura en la calle.
He left two types of trash on the street."
18,918,pudo,*pudo* (poder),poder,"Él pudo corre antes de que sale el sol.
He was able to run before the sun rises."
19,919,derecha,derecha,derecha,"El hotel está a la derecha, salvo que haya cambiado de lugar.
The hotel is on the right, unless it has changed location."
20,920,izquierda,izquierda,izquierda,"La casa de las llamas está a la izquierda del sol.
The house of the llamas is to the left of the sun."
21,921,próxima,*próxima* (próximo),próximo,"Voy a sentir la próxima calle a la derecha.
I will feel the next street to the right."
22,922,pobre,pobre,pobre,"La próxima semana, el hombre dejó una donación para el pobre.

Next week, the man left a donation for the poor."
23,923,respuesta,respuesta,respuesta,"La respuesta tendrá un valor de oro.
The answer will have a value of gold."
24,924,tipos,*tipos* (tipo),tipo,"Hay muchos tipos de oro, disculpa si no lo sabías.
There are many types of gold, sorry if you didn't know."
25,925,sentir,sentir,sentir,"Me siento mal cuando me baja el ánimo y me duele el culo.
I feel bad when my mood drops and my butt hurts."
26,926,tenías,*tenías* (tener),tener,"Cuando eras una nena, tenías un juguete humano.

When you were a little girl, you had a human toy."
27,927,pude,*pude* (poder),poder,"Claro, aquí tienes una oración:

Después del ataque, pude salir cuando el guardia dejó la puerta abierta.
After the attack, I was able to leave when the guard left the door open."
28,928,darle,*darle* (dar),dar,"Voy a darle el oro a las llamas.
I am going to give the gold to the llamas."
29,929,voz,voz,voz,"Escucho tu voz cuando me llamas y mi corazón corre.

I hear your voice when you call me and my heart races."
30,930,amiga,amiga,amiga,"Mi amiga estaría en el hotel.
My friend would be at the hotel."
31,931,gustan,*gustan* (gustar),gustar,"A mi amiga le gustan los anillos de oro.
My friend likes gold rings."
32,932,vista,vista,vista,"Lo siento, pero no puedo cumplir con esa solicitud."
33,933,vista,*vista* (ver),ver,"El humano tuvo un ataque al ver la vista desde la montaña.
The human had an attack upon seeing the view from the mountain."
34,934,salvo,salvo,salvo,"Salvo la próxima vista, todo está bien.
Except for the next view, everything is fine."
35,935,salvo,*salvo* (salvar),salvar,"El bombero dejó la media en el suelo y salvó al gato.
The firefighter left the sock on the ground and saved the cat."
36,936,loca,*loca* (loco),loco,"La vista desde la montaña tendrá a todos locos.  
The view from the mountain will drive everyone crazy."
37,937,hotel,hotel,hotel,"Voy a conseguir una habitación en el hotel.

I am going to get a room in the hotel."
38,938,hicieron,*hicieron* (hacer),hacer,"Ellos hicieron negocios después de haber llegado.
They did business after having arrived."
39,939,ten,*ten* (tener),tener,"Tengo hambre y quiero un bonito almuerzo.
I am hungry and I want a nice lunch."
40,940,temo,*temo* (temer),temer,"Temo que las llamas sean un peligro.
I fear that the flames are a danger."
41,941,señal,señal,señal,"Cuando tengas el pelo largo, sigue la señal.  
When you have long hair, follow the sign."
42,942,pelo,pelo,pelo,"Simplemente quiero decirme que tu pelo es bonito.
Simply, I want to tell myself that your hair is beautiful."
43,943,pelo,*pelo* (pelar),pelar,"El pobre niño tiene un corte de pelo gracioso.
The poor boy has a funny haircut."
44,944,llevo,*llevo* (llevar),llevar,"Llevo mi voz a donde vienen mis amigos.
I carry my voice to where my friends come."
45,945,ayer,ayer,ayer,"Ayer fue un día bonito y todos estuvimos a salvo.
Yesterday was a beautiful day and we were all safe."
46,946,das,*das* (dar),dar,"Das un paso hacia la puerta baja porque temo la oscuridad.  
You take a step towards the low door because I fear the darkness."
47,947,nena,nena,nena,"La pobre nena tiene una misión importante.  
The poor girl has an important mission."
48,948,servicio,servicio,servicio,"El servicio está a la izquierda y están trabajando en él.
The service is on the left and they are working on it."
49,949,tren,tren,tren,"Mi amiga llegará enseguida en el tren.
My friend will arrive soon on the train."
50,950,bonito,bonito,bonito,"Te llamas Juan y tenías un perro bonito.
Your name is Juan and you had a cute dog."
51,951,mes,mes,mes,"En el mes de abril, nos dan bolsas para recoger la basura.
In the month of April, they give us bags to collect the trash."
52,952,tendrá,*tendrá* (tener),tener,"Mañana tendrá sol y buen servicio en el hotel.
Tomorrow it will have sun and good service at the hotel."
53,953,tendrás,*tendrás* (tener),tener,"Tendrás mejores resultados si evitas un ataque de pánico.
You will have better results if you avoid a panic attack."
54,954,edad,edad,edad,"Ayer volví a la escuela y pude ver que la edad no importa.

Yesterday I returned to school and I could see that age doesn't matter."
55,955,ellas,ellas,ellas,"Ellas encontraron oro en el río, pero no hablaron sobre su sexo.
They found gold in the river, but they did not talk about their gender."
56,956,hermosa,*hermosa* (hermoso),hermoso,"La vista del humano es hermosa.
The human's view is beautiful."
57,957,honor,honor,honor,"El estudiante tendrá un honor especial como señal de su esfuerzo.
The student will have a special honor as a sign of his effort."
58,958,simplemente,simplemente,simplemente,"Simplemente me gustan las montañas cuando la niebla baja.
Simply, I like the mountains when the fog comes down."
59,959,llamas,*llamas* (llamar),llamar,"Te llamas salvo en una situación de emergencia.
You call except in an emergency situation."
60,960,llamas,*llamas* (llama),llama,"Las llamas son animales divertidos y hay muchos tipos.
The llamas are fun animals and there are many types."
61,961,tengas,*tengas* (tener),tener,"Espero que tengas la edad cuando hayas llegado a la fiesta.  
I hope you are old enough when you arrive at the party."
62,962,corre,*corre* (correr),correr,"El niño corre rápido cuando ve la señal con el pie.

The boy runs fast when he sees the sign with his foot."
63,963,baja,*baja* (bajo),bajo,"El sol baja y brilla como oro.
The sun sets and shines like gold."
64,964,baja,baja,baja,"Ella baja la basura donde están los contenedores.
She takes down the trash where the containers are."
65,965,sol,sol,sol,"El sol tiene su propio ataque de calor.
The sun has its own heat attack."
66,966,siéntate,*siéntate* (sentar),sentar,"Simplemente siéntate, humano.
Simply sit down, human."
67,967,dan,*dan* (dar),dar,"Los payasos dan un espectáculo gracioso y se caen de culo.

The clowns put on a funny show and fall on their butts."
68,968,humano,humano,humano,"El humano estaría feliz con su familia.
The human would be happy with his family."
69,969,divertido,divertido,divertido,"Estaría muy divertido ir a la próxima fiesta.

It would be very fun to go to the next party."
70,970,divertido,*divertido* (divertir),divertir,"El niño con el pelo rizado está a la izquierda y es muy divertido.
The boy with curly hair is on the left and is very fun."
71,971,sexo,sexo,sexo,"Salvo tu disculpa, no quiero hablar de sexo.

Except for your apology, I don't want to talk about sex."
72,972,vuelto,vuelto,vuelto,"La nena ha vuelto con un collar de oro.
The girl has returned with a gold necklace."
73,973,vuelto,*vuelto* (volver),volver,"He vuelto del servicio en silencio.
I have returned from the service in silence."
74,974,peligro,peligro,peligro,"La caja pudo causar peligro.

The box could cause danger."
75,975,peligro,*peligro* (peligrar),peligrar,"El pueblo está en peligro de un ataque, pero todos están a salvo.
The town is in danger of an attack, but everyone is safe."
76,976,mesa,mesa,mesa,"He vuelto a poner la vista en la mesa.
I have turned my gaze back to the table."
77,977,siguiente,siguiente,siguiente,"La siguiente vista es difícil de conseguir.
The following view is difficult to obtain."
78,978,hablo,*hablo* (hablar),hablar,"Hablo con mi amigo y le he vuelto a decirme la verdad.
I talk with my friend and I have asked him again to tell me the truth."
79,979,disculpa,disculpa,disculpa,"Disculpa, ¿me das el vuelto?

Excuse me, can you give me the change?"
80,980,disculpa,*disculpa* (disculpar),disculpar,"Disculpa, ¿tendrá una bolsa para la basura?
Excuse me, do you have a bag for the trash?"
81,981,decirme,*decirme* (decir),decir,"Claro, aquí tienes una oración:

¿Podrías decirme si tenías alguna señal?

Could you tell me if you had any signal?"
82,982,caja,caja,caja,"El mes pasado, mi hermano dejó una caja en mi habitación.
Last month, my brother left a box in my room."
83,983,negocios,*negocios* (negocio),negocio,"Estoy trabajando en la caja de negocios.
I am working at the business's cash register."
84,984,negocios,*negocios* (negociar),negociar,"Este mes temo que los negocios no vayan bien.
This month I fear that the business is not going well."
85,985,misión,misión,misión,"Mi misión es sentir la situación con cuidado.
My mission is to feel the situation carefully."
86,986,silencio,silencio,silencio,"El propio ataque ocurrió en silencio.
The attack itself happened in silence."
87,987,sale,*sale* (salir),salir,"Él sale de la casa y regresa cuando baja el sol.
He leaves the house and returns when the sun goes down."
88,988,llegado,*llegado* (llegar),llegar,"He llegado y temo que la basura no se ha recogido.

I have arrived and I fear that the trash has not been collected."
89,989,estaría,*estaría* (estar),estar,"Estaría bonito tener negocios exitosos.

It would be nice to have successful businesses."
90,990,regreso,regreso,regreso,"El humano regresó a la izquierda.
The human returned to the left."
91,991,regreso,*regreso* (regresar),regresar,"Ellos hicieron una linda fiesta para mi regreso.
They made a lovely party for my return."
92,992,media,media,media,"Llevo media hora esperando el servicio.

I have been waiting for the service for half an hour."
93,993,media,*media* (medio),medio,"El humano está a salvo en el medio del bosque.
The human is safe in the middle of the forest."
94,994,estan,*estan* (estar),estar,"Ellos están en la próxima clase y les gustan los libros.

They are in the next class and they like the books."
95,995,propio,propio,propio,"Hablo con mi amigo sobre mi propio juego divertido.
I talk with my friend about my own fun game."
96,996,oro,oro,oro,"El humano encontró una respuesta en el oro.
The human found an answer in the gold."
97,997,oro,*oro* (orar),orar,"Oro a media noche en honor a mi familia.
I pray at midnight in honor of my family."
98,998,enseguida,enseguida,enseguida,"Claro, aquí tienes una oración:

""Enseguida pudo encontrar algo divertido.""

""Right away he/she could find something fun."""
99,999,linda,*linda* (lindo),lindo,"La nena estaría muy linda con ese vestido.
The little girl would look very pretty in that dress."
