,word,English
2153,búsqueda,search
2154,helado,frozen
2155,fútbol,football
2156,sexual,sexual
2157,polvo,dust
2158,aseguro,I assure
2159,rostro,face
2160,robado,Stolen
2161,policia,police
2162,empresa,business
2163,escuchas,do you listen
2164,pones,you put
2165,lárgate,go away
2166,interés,interest
2167,discúlpeme,excuse me
2168,dejaron,They left
2169,tengamos,let's have
2170,firma,signature
2171,llevaba,wore
2172,llegas,you arrive
2173,cristo,Christ
2174,tercer,third
2175,senador,senator
2176,continúa,keep going
2177,gracia,Grace
2178,cien,one hundred
2179,des,des
2180,tratado,treaty
2181,razones,reasons
2182,caminando,walking
2183,urgencias,emergencies
2184,u,or
2185,esperan,are waiting
2186,muñeca,wrist
2187,firme,sign
2188,duerme,sleep
2189,ambulancia,ambulance
2190,limpia,clean
2191,habéis,you have
2192,flota,fleet
2193,leyenda,legend
2194,encuentre,find
2195,fué,it was
2196,romper,break
2197,muriendo,dying
2198,encontrarlo,find him
2199,rescate,bailing out
2200,quedado,left
2201,enfrente,in front
2202,comienzo,beginning
2203,árboles,trees
2204,queso,cheese
2205,favorito,Favourite
2206,haberme,have me
2207,frontera,border
2208,creemos,we believe
2209,colega,colleague
2210,jueves,Thursday
2211,alemanes,germans
2212,sábado,Saturday
2213,limpiar,clean up
2214,puto,fucking
2215,poquito,a little
2216,cientos,hundreds
2217,muero,I die
2218,irak,Iraq
2219,inteligencia,intelligence
2220,funcionar,function
2221,felicitaciones,Congratulations
2222,escapó,escaped
2223,criatura,creature
2224,milagro,miracle
2225,deprisa,hurry
2226,especiales,specials
2227,campamento,camp
2228,responde,reply
2229,escuchaste,you listened
2230,debiste,you should have
2231,adios,goodbye
2232,viven,they live
2233,recoger,pick up
2234,preguntarte,ask you
2235,compras,shopping
2236,cansada,tired
2237,elegir,to choose
2238,cáncer,cancer
2239,servir,serve
2240,pata,paw
2241,huir,run away
2242,útil,Useful
2243,grados,degrees
2244,atacar,attack
2245,recién,newly
2246,querría,I would want
2247,guapo,Handsome
2248,alcance,scope
2249,dejame,let me
2250,quedamos,we stay
2251,llegará,reach
2252,seremos,we will be
2253,desierto,desert
2254,licencia,license
2255,trató,deal
2256,proceso,process
2257,llevado,led
2258,durmiendo,sleeping
2259,tensión,strain
2260,martes,Tuesday
2261,kilómetros,kilometres
2262,cartera,purse
2263,tráfico,traffic
2264,guarda,guard
2265,impresionante,Awesome
2266,víctimas,victims
2267,ricos,rich
2268,primeros,first
2269,dejamos,we leave
2270,tomen,take
2271,iguales,same
2272,domingo,Sunday
2273,crear,to create
2274,quedará,will remain
2275,pérdida,loss
2276,extra,extra
2277,fuese,were
2278,confío,I trust
2279,sabido,known
2280,análisis,analysis
2281,llegaste,you arrived
2282,fría,cold
2283,violencia,violence
2284,mate,mate
2285,lobo,wolf
2286,discurso,speech
2287,actor,actor
2288,orgullo,pride
2289,odia,hates
2290,libras,pounds
2291,alli,there
2292,agencia,agency
2293,vuelvan,come back
2294,necesidad,need
2295,naves,ships
2296,descubrir,discover
2297,tira,strip
2298,resolver,solve
2299,pondré,I will put
2300,volando,flying
2301,pensamos,we think
2302,míos,mine
2303,errores,mistakes
2304,celular,cell phone
2305,cuantas,how many
2306,verlos,see them
2307,ayudarle,help you
2308,meter,to put
2309,hablaré,I'll talk
2310,ésto,this
2311,buscas,you are looking for
2312,equivocada,wrong
2313,dejan,leave
2314,vacío,empty
2315,trabajaba,worked
2316,salón,living room
2317,motor,engine
2318,conducir,ride
2319,compré,I bought
2320,quizas,maybe
2321,den,give
2322,cerrada,closed
2323,cortar,cut
2324,crea,creates
2325,sera,it will be
2326,mueva,move
2327,hazme,make me
2328,bravo,Bravo
2329,pregunté,I asked for
2330,promesa,promise
2331,espejo,mirror
2332,dígale,tell him
2333,sienta,sit down
2334,médicos,doctors
2335,cero,zero
2336,escribió,wrote
2337,volveremos,we will be back
2338,unidades,units
2339,cheque,check
2340,consigue,get
2341,antiguo,ancient
2342,regla,rule
2343,pesadilla,nightmare
2344,enviar,Send
2345,podías,you could
2346,llevarte,take you
2347,entrenador,coach
2348,cuida,takes care
2349,paciencia,patience
2350,dilo,say it
2351,levanta,Raise
2352,complicado,complicated
2353,superior,higher
2354,sugiero,I suggest
2355,familias,families
2356,dirá,will tell
2357,pienses,think
2358,temporada,season
2359,suelta,loose
2360,corran,run
2361,propios,own
2362,feo,ugly
2363,dispuesto,ready
2364,ayúdenme,help me
2365,teoría,theory
2366,salvaje,wild
2367,negativo,negative
2368,íbamos,we were going
2369,hubieran,they would have
2370,tripulación,crew
2371,taza,Bowl
2372,perdida,loss
2373,vinieron,they came
2374,ponen,put
2375,pasamos,we passed
2376,parecido,similar
2377,acepto,I agree
2378,gay,gay
2379,señoras,ladies
2380,quedaré,I will stay
2381,parada,stop
2382,niñas,girls
2383,conseguí,got
2384,acabamos,we finish
2385,normalmente,usually
2386,muchísimo,very much
2387,bruja,witch
2388,vegas,vegas
2389,tuvieron,they had
2390,traigo,I bring
2391,matará,will kill
2392,funeral,funeral
2393,conseguiste,you got
2394,teatro,theater
2395,medianoche,midnight
2396,biblioteca,library
2397,estemos,we are
2398,túnel,tunnel
2399,encargo,charge
2400,aparece,appear
2401,testigos,witnesses
2402,pensó,thought
2403,fueran,were
2404,fantasmas,ghosts
2405,correo,mail
2406,vuestro,your
2407,piscina,swimming pool
2408,paquete,package
2409,copia,copy
2410,suicidio,suicide
2411,crédito,credit
2412,consigo,with him
2413,vuestra,your
2414,rara,weird
2415,legal,legal
2416,hablaremos,we will talk
2417,cambió,change
2418,solas,alone
2419,salimos,we went out
2420,ganador,winner
2421,estudiantes,students
2422,despierto,awake
2423,pare,stop
2424,invitado,guest
2425,guía,guide
2426,oso,bear
2427,leí,I read
2428,explosión,burst
2429,dejarme,leave me
2430,chino,Chinese
2431,sorprende,surprise
2432,sistemas,systems
2433,nación,nation
2434,entienden,they understand
2435,arena,sand
2436,mentiroso,liar
2437,hablaba,she spoke
2438,veas,go to S
2439,pura,pure
2440,asesinado,murdered
2441,mintiendo,lying
2442,casos,cases
2443,vehículo,vehicle
2444,rata,rat
2445,importancia,importance
2446,distinto,distinct
2447,pintura,paint
2448,intenté,i tried
2449,conciencia,awareness
2450,miras,you look
2451,máquinas,machines
2452,traeré,I'll bring
2453,revisar,check
2454,veinte,twenty
2455,seres,beings
2456,hablarle,talk to him
2457,disco,disk
2458,transporte,transportation
2459,mina,mine
2460,labios,lips
2461,señoría,lordship
2462,llamamos,we call
2463,doce,twelve o'clock
2464,cuídate,take care of yourself
2465,pasillo,hallway
2466,tele,TV
2467,podria,could
2468,completa,complete
2469,rápida,fast
2470,precisamente,precisely
2471,llamaste,called
2472,cumplir,comply
2473,servicios,services
2474,señales,signs
2475,acaban,they finished
2476,suéltame,Let go
2477,hablarte,talk to you
2478,traté,i tried
2479,pescado,fish
2480,huesos,bones
2481,daría,would give
2482,compra,purchase
2483,trajiste,you brought
2484,templo,temple
2485,placa,license plate
2486,posibilidades,odds
2487,ira,gonna
2488,vengas,come on
2489,siguiendo,Following
2490,podrán,will be able
2491,llamarme,call me
2492,cierta,true
2493,permitir,allow
2494,condiciones,conditions
2495,atrapar,catch
2496,temperatura,temperature
2497,explicación,Explanation
2498,enviado,send
2499,contado,counted
2500,asistente,attendee
2501,imperio,empire
2502,pidiendo,asking
2503,notas,grades
2504,curioso,curious
2505,operaciones,operations
2506,mantén,keep
2507,tierras,land
2508,creas,believe
2509,pez,fish
2510,morirá,will die
2511,visión,vision
2512,montañas,mountains
2513,comido,Eaten
2514,construir,build up
2515,comunidad,community
2516,verán,they will see
2517,pierde,misses
2518,piense,think
2519,felicidad,happiness
2520,diversión,fun
2521,salvó,except
2522,quita,remove
2523,museo,museum
2524,disparó,Shooting
2525,desearía,I would like
2526,misterio,mystery
2527,buscamos,we seek
2528,aviso,warning
2529,almirante,admiral
2530,solución,solution
2531,pequeñas,little
2532,faltan,missing
2533,existen,exist
2534,combustible,gas
2535,leído,read
2536,tirar,throw
2537,responder,answer
2538,esfuerzo,effort
2539,vuelves,you come back
2540,pájaro,bird
2541,hermanas,sisters
2542,guerrero,Warrior
2543,esposas,wives
2544,coma,eat
2545,abra,open
2546,traes,you bring
2547,sientas,feel
2548,olvide,I forgot
2549,bolsillo,pocket
2550,heridas,wounds
2551,saco,coat
2552,gasolina,gasoline
2553,conexión,Connection
2554,correcta,correct
2555,pedazos,pieces
2556,líneas,lines
2557,estarías,would you be
2558,convierte,converts
2559,ayudará,help to
2560,rumbo,course
2561,rompió,broke
2562,muera,die
2563,mia,mine
2564,material,material
2565,diamantes,diamonds
2566,rápidamente,quickly
2567,mírate,look to you
2568,fecha,date
2569,escritorio,desk
2570,digan,say
2571,registro,Registration
2572,maten,kill
2573,incendio,fire
2574,deme,give me
2575,sois,you are
2576,pensamientos,thoughts
2577,dímelo,tell me
2578,comiendo,eating
2579,aparte,besides
2580,asesinatos,murders
2581,lección,lesson
2582,algun,some
2583,abrigo,coat
2584,tratamiento,treatment
2585,julio,July
2586,pene,penis
2587,conejo,rabbit
2588,suceder,happen
2589,ruta,route
2590,ciego,blind
2591,asqueroso,nasty
2592,súper,super
2593,prisionero,prisoner
2594,odie,hate
2595,ocupada,busy
2596,llevarlo,carry it
2597,empezamos,we started
2598,estuvimos,we were
2599,decírselo,tell him
2600,honesto,honest
2601,entrevista,interview
2602,antigua,ancient
2603,amante,lover
2604,humo,smoke
2605,gustas,you like
2606,condado,county
2607,conseguido,achieved
2608,viajar,to travel
2609,sombra,shade
2610,sabrá,will know
2611,refiere,refers
2612,lío,mess
2613,estáis,you are
2614,entrega,delivery
2615,drácula,dracula
2616,compartir,to share
2617,volvamos,let's go back
2618,sonrisa,smile
2619,sencillo,easy
2620,atrapado,caught
2621,aburrido,bored
2622,pocas,few
2623,pensaste,Thought
2624,dragón,dragon
2625,volví,I returned
2626,planta,plant
2627,clima,climate
2628,adoro,I like
2629,suave,smooth
2630,ruso,Russian
2631,rodillas,knees
2632,marina,Marine
2633,bolso,handbag
2634,alarma,alarm
2635,vivía,she lived
2636,quédese,stay
2637,recompensa,reward
2638,juega,play
2639,cigarrillo,cigarette
2640,autoridad,authority
2641,amigas,friends
2642,agujero,hole
2643,acabe,finish
2644,sacaste,you took out
2645,orgullosa,proud
2646,entendí,understood
2647,dijera,would say
2648,sótano,basement
2649,paredes,walls
2650,guapa,beautiful
2651,iría,would go
2652,imaginar,To imagine
2653,fiebre,fever
2654,déjala,leave her
2655,botón,button
2656,preguntarle,ask him
2657,leyendo,Reading
2658,darles,give them
2659,uniforme,uniform
2660,dulces,sweet
2661,vaso,glass
2662,documentos,documents
2663,ruego,I beg
2664,maneras,ways
2665,invitados,guests
2666,cómodo,comfortable
2667,ayudarnos,help us
2668,visitar,visit
2669,vigilancia,surveillance
2670,nadar,to swim
2671,altura,height
2672,todavia,yet
2673,preparados,prepared
2674,cuáles,which
2675,mover,move
2676,jugador,player
2677,izquierdo,left
2678,tecnología,technology
2679,raza,race
2680,conocerlo,know him
2681,conde,count
2682,social,Social
2683,gobernador,governor
2684,coge,take
2685,cubierta,deck
2686,chiste,joke
2687,celda,cell
2688,agarra,grab
2689,secreta,secret
2690,personalmente,personally
2691,amistad,friendship
2692,amaba,loved
2693,nació,was born
2694,interesado,interested
2695,intentado,tried
2696,educación,education
2697,curiosidad,curiosity
2698,buscan,looking for
2699,repito,I repeat
2700,pecado,sin
2701,mortal,mortal
2702,manda,send
2703,claramente,clearly
2704,vía,via
2705,juntas,boards
2706,identificación,ID
2707,dirige,directs
2708,declaración,statement
2709,alemán,German
2710,tontos,Fools
2711,mantiene,maintains
2712,bestia,beast
2713,veneno,poison
2714,vecinos,neighbours
2715,supiera,knew
2716,quieran,want
2717,salgo,I go out
2718,propias,own
2719,privada,private
2720,jurado,jury
2721,golpes,hits
2722,usan,they use
2723,metas,goals
2724,garganta,throat
2725,invierno,winter
2726,fila,row
2727,miel,honey
2728,traigan,bring
2729,sucedido,happened
2730,tranquilos,quiet
2731,madera,wood
2732,burro,donkey
2733,artista,artist
2734,pobres,poor
2735,impresión,Print
2736,ganó,won
2737,cruzar,Cross
2738,cigarrillos,cigarettes
2739,ó,either
2740,llevarme,take me
2741,grial,grail
2742,chaqueta,jacket
2743,alcalde,mayor
2744,vueltas,laps
2745,usado,used
2746,reputación,reputation
2747,pongas,put
2748,oxígeno,oxygen
2749,cajas,boxes
2750,preocupada,worried
2751,matan,they kill
2752,empezando,starting
2753,cabezas,heads
2754,ponerme,put myself
2755,experto,expert
2756,océano,ocean
2757,maestra,teacher
2758,pieza,part
2759,cargos,charges
2760,bombas,bombs
2761,alcohol,alcohol
2762,trataba,tried
2763,salen,come out
2764,pizza,Pizza
2765,recibí,I received
2766,junta,meeting
2767,criaturas,creatures
2768,apareció,showed up
2769,actitud,attitude
2770,gira,tour
2771,cristal,crystal
2772,encuentran,find
2773,dejarte,leave you
2774,caído,fallen
2775,ultima,last
2776,sensación,sensation
2777,seguido,Following
2778,puro,pure
2779,whisky,whiskey
2780,vernos,see us
2781,pantalla,screen
2782,bebida,beverage
2783,estudiar,to study
2784,ducha,shower
2785,despedido,fired
2786,consiguió,got
2787,venía,came
2788,pagan,they pay
2789,discúlpame,forgive me
2790,artículo,Article
2791,aparentemente,apparently
2792,ambas,both
2793,trauma,trauma
2794,pusieron,they put
2795,fiestas,parties
2796,contesta,answers
2797,contenta,happy
2798,ambiente,ambient
2799,prometí,I promised
2800,llegando,arriving
2801,mostraré,I'll show
2802,deba,must
2803,berlín,berlin
2804,nerviosa,nervous
2805,hallar,find
2806,dudas,Doubts
2807,llegan,they arrive
2808,instrucciones,instructions
2809,baje,get off
2810,vinimos,we came
2811,ritmo,swing
2812,quédense,stay
2813,suponía,supposed
2814,pistas,tracks
2815,palacio,palace
2816,encontraré,I'll find
2817,venta,sale
2818,urgente,urgent
2819,tomamos,we take
2820,salí,I left
2821,cuerda,string
2822,vendría,would come
2823,pasaba,passed
2824,instante,instant
2825,almas,souls
2826,suficientes,enough
2827,secundaria,secondary
2828,saltar,skip
2829,queria,wanted
2830,quedarnos,stay
2831,molesto,upset
2832,colina,hill
2833,porquería,filth
2834,sienten,feel
2835,pondrá,will put
2836,terroristas,terrorists
2837,empecé,I started
2838,pongan,put
2839,moto,motorcycle
2840,opinas,do you think
2841,habilidad,ability
2842,entren,enter
2843,descubierto,discovered
2844,convertido,converted
2845,asegúrate,make sure
2846,quedé,I stayed
2847,kilos,kilos
2848,florida,Florida
2849,tomará,it will take
2850,sufrir,suffer
2851,mental,mental
2852,lograr,achieve
2853,instituto,Institute
2854,serlo,be
2855,rapido,Quick
2856,plato,dish
2857,llorando,crying
2858,vd,you
2859,váyase,Go away
2860,sucediendo,happening
2861,robaron,they stole
2862,alemania,Germany
2863,bolas,balls
2864,pasaría,would happen
2865,ocurra,happen
2866,ilegal,illegal
2867,fresco,cool
2868,falso,fake
2869,abogados,lawyers
2870,tómalo,take it
2871,mandó,I send
2872,cuán,how
2873,cuales,which
2874,botas,boots
2875,tiburones,sharks
2876,grado,degree
2877,deseas,you want
2878,archivos,records
2879,adivina,guess
2880,cruz,cross
2881,campaña,campaign
2882,asustada,scared
2883,centavos,pennies
2884,vivimos,we live
2885,galletas,biscuits
2886,frecuencia,frequency
2887,daños,damage
2888,minas,mines
2889,emociones,emotions
2890,dejará,will leave
2891,regresó,Return
2892,ratas,rats
2893,pasión,passion
2894,hacerse,to be made
2895,comportamiento,behaviour
2896,pense,I thought
2897,conocimiento,knowledge
2898,sales,you go out
2899,fiscal,fiscal
2900,decisiones,decisions
2901,criminales,criminals
2902,cámaras,cameras
2903,amanecer,sunrise
2904,convirtió,converted
2905,aldea,village
2906,abandonar,Leave
2907,obvio,obvious
2908,habíamos,we had
2909,apesta,stinks
2910,abandonado,abandoned
2911,volverás,you will come back
2912,preocuparse,to worry
2913,favorita,favorite
2914,lanzamiento,launch
2915,difíciles,difficult
2916,vivido,vivid
2917,roca,stone
2918,peces,fishes
2919,maravilla,Wonderful
2920,espacial,space
2921,conductor,driver
2922,camarada,comrade
2923,trabajado,worked up
2924,caramba,Caramba
2925,sopa,Soup
2926,numero,number
2927,gritar,shout
2928,envía,send
2929,casino,casino
2930,alteza,high King
2931,identidad,identity
2932,cambios,changes
2933,guardar,save
2934,gatos,cats
2935,gané,I win
2936,arresto,arrest
2937,éstas,these
2938,preguntó,I ask
2939,éstos,these
2940,probable,probable
2941,seamos,let's be
2942,importaría,mind to
2943,firmar,sign
2944,federal,federal
2945,caras,faces
2946,trabajos,jobs
2947,hagámoslo,let's do it
2948,expediente,proceedings
2949,tigre,tiger
2950,intentó,tried
2951,harto,Fed up
2952,decidir,to decide
2953,periódicos,newspapers
2954,casarse,get marry
2955,lento,slow
2956,hecha,done
2957,daba,gave
2958,ponerte,put on
2959,pelotas,balls
2960,monstruos,monsters
2961,cruel,cruel
2962,señoritas,ladies
2963,gigante,giant
2964,siglos,centuries
2965,escalera,ladder
2966,incidente,incident
2967,escenario,scenery
2968,dirás,will you say
2969,ciertas,certain
2970,casar,marry
2971,llamen,call
2972,biblia,Bible
2973,reporte,report
2974,moda,fashion
2975,casada,married
2976,reacción,reaction
2977,falla,failure
2978,castigo,punishment
2979,fácilmente,easily
2980,caza,hunt
2981,magnífico,magnificent
2982,decidí,I decided
2983,camina,walk
2984,superficie,surface
2985,procedimiento,process
2986,condición,condition
2987,asalto,assault
2988,virgen,virgin
2989,verle,see him
2990,conocimos,we met
2991,quitar,put off
2992,tratas,you try
2993,noble,noble
2994,hierba,herb
2995,excelencia,excellence
2996,asco,disgust
2997,título,title
2998,regresaré,I'll be back
2999,ejercicio,exercise
3000,pasaporte,passport
3001,extraños,strangers
3002,ciento,hundred
3003,afortunado,lucky
3004,sacó,coat
3005,irán,Iran
3006,sacerdote,priest
3007,pedirle,ask him
3008,impuestos,taxes
3009,crisis,crisis
3010,aventura,adventure
3011,puestos,stalls
3012,pánico,panic
3013,llames,call
3014,ladrones,burglars
3015,enseñó,I teach
3016,logramos,we achieved
3017,estuvieron,they were
3018,últimas,latest
3019,página,page
3020,metro,meter
3021,alla,there
3022,pudieron,could
3023,mostrar,to show
3024,escribe,write
3025,ventaja,advantage
3026,enamorada,in love
3027,gorda,fat woman
3028,vendrán,they will come
3029,paren,stop
3030,piedras,stones
3031,pesado,heavy
3032,despertar,wake up
3033,pierdes,you lose
3034,jesucristo,Jesus Christ
3035,damos,we give
3036,treinta,thirty
3037,recuerde,remember
3038,capacidad,ability
3039,soportar,put up with
3040,senado,senate
3041,decidió,He decided
3042,prepárense,get ready
3043,asusta,scares
3044,aquello,that
3045,aguantar,endure
3046,aprendí,I learned
3047,tenéis,you have
3048,parezca,seem
3049,alegría,happiness
3050,territorio,territory
3051,física,physical
3052,escape,exhaust
3053,tomes,take
3054,excusa,excuse
3055,estudios,studies
3056,septiembre,September
3057,personaje,character
3058,fábrica,factory
3059,elegido,chosen one
3060,cole,Cole
3061,tanque,tank
3062,salta,jump
3063,hablaste,you spoke
3064,conferencia,conference
3065,compromiso,commitment
3066,ayudaré,I'll help
3067,salieron,They left
3068,rusos,russians
3069,parezco,I look like
3070,llevando,wearing
3071,exterior,Exterior
3072,punta,tip
3073,ponerse,to put on
3074,pasen,pass
3075,puerto,port
3076,decírtelo,tell you
3077,caro,expensive
3078,asombroso,amazing
3079,pasara,it will happen
3080,matarán,they will kill
3081,maleta,bag
3082,competencia,competition
3083,canciones,songs
3084,cinturón,belt
3085,papas,potatoes
3086,marco,framework
3087,destrucción,destruction
3088,paraíso,paradise
3089,meta,goal
3090,alternativa,alternative
3091,socios,partners
3092,alas,at
3093,ocasión,chance
3094,casarme,get married
3095,salsa,sauce
3096,romano,Roman
3097,prisioneros,prisoners
3098,encantan,they love
3099,encantadora,lovely
3100,comercial,commercial
3101,primavera,spring
3102,metió,put
3103,volvemos,we return
3104,mandar,send
3105,luce,shine
3106,sagrado,sacred
3107,nacido,born
3108,fabuloso,fabulous
3109,echo,threw out
3110,desaparecer,vanish
3111,potencia,power
3112,adn,dna
3113,traiga,bring
3114,permítame,let me
3115,mayores,greater
3116,regalos,gifts
3117,pusiste,you put
3118,peligrosa,dangerous
3119,militares,military
3120,jodida,fucked up
3121,coincidencia,coincidence
3122,bandera,flag
3123,adivinar,guess
3124,tubo,tube
3125,partida,departure
3126,opciones,options
3127,llamaron,they called
3128,hombro,shoulder
3129,vampiros,vampires
3130,sabían,they knew
3131,recibió,He received
3132,jugadores,players
3133,celebrar,celebrate
3134,armario,wardrobe
3135,tetas,tits
3136,paliza,beating
3137,sabor,taste
3138,míralo,Look
3139,lata,can
3140,héroes,heroes
3141,serpiente,snake
3142,escribí,I wrote
3143,comité,committee
3144,bendiga,bless
3145,terminé,I finished
3146,oyó,or me
3147,imaginación,imagination
3148,funcionó,it worked
3149,bello,beautiful
3150,hígado,liver
3151,cierre,closing
3152,cabina,cabin
3153,queríamos,we wanted
3154,pasas,raisins
3155,mantente,stay
3156,japón,Japan
3157,deseos,wishes
3158,cuéntame,Tell me
3159,rastro,trace
3160,compró,I buy
3161,anterior,previous
3162,acero,steel
3163,desnudo,naked
3164,comisario,commissar
3165,refuerzos,reinforcement
3166,preparar,set up
3167,perdidos,lost
3168,pagaré,I will pay
3169,huevo,egg
3170,entrando,entering
3171,armada,navy
3172,trate,try
3173,supo,he knew
3174,bromeas,you joke
3175,verdaderamente,truly
3176,miro,I look
3177,límite,limit
3178,esperemos,let's hope
3179,sacado,taken out
3180,diamante,Diamond
3181,secuestro,kidnapping
3182,casco,helmet
3183,ayudó,helped
3184,nene,baby
3185,marcas,brands
3186,pudieras,could you
3187,poca,little
3188,jugo,juice
3189,heridos,wounded
3190,congreso,congress
3191,cementerio,graveyard
3192,prostituta,prostitute
3193,desaparece,disappear
3194,consecuencias,impact
3195,terreno,land
3196,salvado,saved
3197,mueren,die
3198,igualmente,you too
3199,ganamos,we won
3200,circunstancias,circumstances
3201,trabajamos,we work
3202,amén,Amen
3203,funcionando,working
3204,personalidad,personality
3205,muro,Wall
3206,contestar,answer
3207,razon,reason
3208,peores,worst
3209,particular,particular
3210,llévame,ride me
3211,gimnasio,Gym
3212,emocionante,exciting
3213,desgracia,misfortune
3214,científico,scientific
3215,buscado,wanted
3216,terapia,therapy
3217,prepara,prepare
3218,patrulla,patrol
3219,globo,balloon
3220,despejado,clear
3221,creado,created
3222,aprendido,learned
3223,nací,i was born
3224,embajador,ambassador
3225,barcos,boats
3226,posiblemente,possibly
3227,malvado,evil
3228,dormitorio,bedroom
3229,despacho,office
3230,desagradable,unpleasant
3231,viniendo,coming
3232,recibo,receipt
3233,nuclear,nuclear
3234,mensajes,messages
3235,mantengan,keep
3236,ultimo,latest
3237,autoridades,authorities
3238,quedes,stay
3239,pasaron,they passed
3240,gano,won
3241,ayudo,helped
3242,aprecio,appreciation
3243,sentimiento,feeling
3244,popular,popular
3245,extrañas,foreign
3246,detenerlo,stop it
3247,civiles,civilians
3248,tontería,nuisance
3249,reyes,Kings
3250,americana,american
3251,vuelven,they come back
3252,ventanas,windows
3253,tiburón,shark
3254,peleas,fights
3255,organización,organization
3256,ayudarla,help her
3257,tuvieras,you had
3258,querrás,you will want
3259,querrá,will want
3260,infección,infection
3261,decente,decent
3262,logrado,accomplished
3263,jersey,sweater
3264,amar,to love
3265,equipos,equipment
3266,canta,sings
3267,bebés,you drink
3268,pozo,well
3269,india,India
3270,esperado,expected
3271,enseñar,to teach
3272,darnos,give us
3273,tomaste,do you drink tea
3274,internet,Internet
3275,habilidades,skills
3276,encanto,charm
3277,dispararon,they shot
3278,comprendes,do you understand
3279,áfrica,Africa
3280,adorable,adorable
3281,rica,delicious
3282,llegaremos,we will arrive
3283,reales,real
3284,mismas,same
3285,medios,media
3286,marihuana,dope
3287,traidor,traitor
3288,funcione,work
3289,clínica,clinic
3290,preferiría,I'd prefer
3291,podían,they could
3292,olvidó,I forget
3293,entramos,we enter
3294,ejercito,army
3295,división,division
3296,sector,sector
3297,perdedor,loser
3298,patrón,Pattern
3299,encontrará,will find
3300,crema,cream
3301,planeado,planned
3302,mantenga,keep up
3303,juguete,toy
3304,técnica,technique
3305,nacimiento,birth
3306,esperaré,i will wait
3307,termino,term
3308,matas,you kill
3309,entrado,entered
3310,destruido,destroyed
3311,daremos,we will give
3312,circo,circus
3313,ascensor,lift
3314,aca,here
3315,investigar,research
3316,encuentren,find
3317,archivo,"File, Archive"
3318,salve,Hail
3319,presentar,introduce
3320,logro,achievement
3321,intentas,you try
3322,encargaré,I will order
3323,armado,armed
