,Unnamed: 0,Number,Romanian,English,Sentence
67,67,68,adăuga,add,"

Eu adaug un ingredient la rețetă. - I'm adding an ingredient to the recipe."
68,68,69,chiar,even,"

Chiar acum sunt în drum spre casă. - I am on my way home right now."
69,69,70,teren,land,"

Terenul este acoperit cu zăpadă. - The ground is covered with snow."
70,70,71,aici,here,"

Aici este frumos. - It is beautiful here."
71,71,72,must,must,"

Trebuie să facem acest lucru. - We must do this."
72,72,73,mare,big,"

Ea are o casă mare. She has a big house."
73,73,74,mare,high,"

Marea este mare. - The sea is big."
74,74,75,astfel de,such,"

Astfel de lucruri nu sunt permise. Such things are not allowed."
75,75,76,urma,follow,"

Eu urmez să mă întorc acasă. - I am going to return home."
76,76,77,act,act,"

Actul meu a fost bine primit. - My act was well received."
77,77,78,de ce,why,"

De ce ai plecat? - Why did you leave?"
78,78,79,cere,ask,"

El a cerut ajutor. - He asked for help."
79,79,80,bărbați,men,"

Bărbații sunt puternici. - Men are strong."
80,80,81,schimbare,change,"

Schimbarea este inevitabilă. - Change is inevitable."
81,81,82,a mers,went,"

""A mers bine."" - It went well."
82,82,83,lumina,light,"

Lumina soarelui este foarte calda. - The light of the sun is very warm."
83,83,84,fel,kind,"

Suntem fericiți să fim aici, împreună. We are happy to be here together."
84,84,85,de pe,off,"

De pe acoperiș se vede orașul.
From the roof you can see the city."
85,85,86,nevoie,need,"

Am nevoie de ajutor. - I need help."
86,86,87,casă,house,"

Ea are o casă mare. - She has a big house."
87,87,88,imagine,picture,"

Imaginea este frumoasă. - The picture is beautiful."
88,88,89,încercați,try,"

Încercați să vă relaxați. - Try to relax."
89,89,90,ne,us,"

Ne îndreptăm acum spre casă.
We are now heading home."
90,90,91,din nou,again,"

M-am întors din nou acasă. - I have come back home again."
91,91,92,animal,animal,"

Animalul meu preferat este ursul, My favorite animal is the bear."
92,92,93,punct,point,"

Punctul de întâlnire este la magazin. - The meeting point is at the store."
93,93,94,mamă,mother,"

Mamă îmi lipsește. (Mom, I miss you.)"
94,94,95,lume,world,"

Lumea este frumoasă. - The world is beautiful."
95,95,96,în apropiere,near,"

Eu locuiesc în apropiere. - I live nearby."
96,96,97,construi,build,"

Eu construiesc o casă. - I am building a house."
97,97,98,auto,self,"

Auto-ul meu este roșu. - My car is red."
98,98,99,pământ,earth,"

Am văzut pământul de pe lună. - I saw the land from the moon."
99,99,100,tatal,father,"

Tatal meu este inginer. - My father is an engineer."
