,Dutch,Quizlet,Sentence,English,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives
8,opnieuw,"*again*
adverb: again, anew, over again
prefix: re-
Ik moet het opnieuw proberen. - I have to try it again.",Ik moet het opnieuw proberen. - I have to try it again.,*again*,"[['again', 'anew', 'over again', 'newly', 'afresh'], ['re-']]",adverb prefix,adverb prefix,https://www.linguee.com/english-dutch/search?source=auto&query=opnieuw,"adverb: again, anew, over again
prefix: re-"


9,val,"*fall*
noun: fall, trap, falling
Ik val van de trap. - I fall down the stairs.",Ik val van de trap. - I fall down the stairs.,*fall*,"[['fall', 'trap', 'falling', 'downfall', 'crash', 'overthrow', 'halyard', 'ruin', 'tumble', 'spill', 'death trap', 'noose', 'halliard', 'jaws', 'deadfall', 'valance', 'come-down']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=val,"noun: fall, trap, falling"


10,vuur,"*firework*
noun: fire, flame, fervor
Het vuur brandt heet. - The fire is burning hot.",Het vuur brandt heet. - The fire is burning hot.,*firework*,"[['fire', 'flame', 'fervor', 'ardor', 'passion', 'zeal', 'glow', 'warmth', 'rage', 'mettle', 'fervency', 'impetus', 'pep', 'go', 'dry-rot', 'ardour', 'fervour']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=vuur,"noun: fire, flame, fervor"


11,bewijs,"*evidence*
noun: proof, certificate, demonstration
""Het bewijs is duidelijk."" - The evidence is clear.","""Het bewijs is duidelijk."" - The evidence is clear.",*evidence*,"[['proof', 'certificate', 'demonstration', 'testimony', 'argument', 'token', 'substantiation', 'averment']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=bewijs,"noun: proof, certificate, demonstration"


12,controle,"*check*
noun: control, check, monitoring
De controle was niet goed. - The control was not good.",De controle was niet goed. - The control was not good.,*check*,"[['control', 'check', 'monitoring', 'supervision', 'revise']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=controle,"noun: control, check, monitoring"


13,stellen,"*set*
verb: set, put, adjust
Ik stel voor dat we het over een andere keer uitstellen. - I suggest that we postpone it for another time.",Ik stel voor dat we het over een andere keer uitstellen. - I suggest that we postpone it for another time.,*set*,"[['set', 'put', 'adjust', 'state', 'pose', 'place', 'point', 'suppose', 'repose', 'pitch', 'fit', 'sight']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=stellen,"verb: set, put, adjust"


14,tv,"*TV*
abbreviation: TV
De tv staat aan. - The TV is on.",De tv staat aan. - The TV is on.,*TV*,[['TV']],abbreviation,abbreviation,https://www.linguee.com/english-dutch/search?source=auto&query=tv,abbreviation: TV


15,loop,"*walk*
noun: walk, course, run
Ik heb een loop in het park gedaan. - I went for a walk in the park.",Ik heb een loop in het park gedaan. - I went for a walk in the park.,*walk*,"[['walk', 'course', 'run', 'barrel', 'race', 'gait', 'lapse', 'stream', 'heat', 'march', 'train', 'flux', 'set', 'current', 'currency', 'flight']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=loop,"noun: walk, course, run"


16,woorden,"*words*
noun: phrase
""Ik heb veel woorden geschreven in mijn essay."" - ""I have written many words in my essay.""","""Ik heb veel woorden geschreven in mijn essay."" - ""I have written many words in my essay.""",*words*,[['phrase']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=woorden,noun: phrase


17,droom,"*dream*
noun: dream
Ik droom van een reis naar Australië. - I dream of a trip to Australia.",Ik droom van een reis naar Australië. - I dream of a trip to Australia.,*dream*,[['dream']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=droom,noun: dream


18,begrijpen,"*to understand*
verb: understand, grasp, comprehend
Ik begrijp het niet. = I don't understand it.",Ik begrijp het niet. = I don't understand it.,*to understand*,"[['understand', 'grasp', 'comprehend', 'know', 'appreciate', 'see', 'realize', 'sense', 'get', 'conceive', 'apprehend', 'figure out', 'take', 'seize', 'make out', 'take in', 'savvy', 'get the message', 'twig', 'latch on to', 'include', 'contain']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=begrijpen,"verb: understand, grasp, comprehend"


19,eet,"*eat*
adjective: cooking, table
Ik eet appels. - I eat apples.",Ik eet appels. - I eat apples.,*eat*,"[['cooking', 'table']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=eet,"adjective: cooking, table"


20,bedoelt,"*mean*
verb: mean, intend, design
""Hij bedoelt dat het niet zo makkelijk is."" - He means that it is not so easy.","""Hij bedoelt dat het niet zo makkelijk is."" - He means that it is not so easy.",*mean*,"[['mean', 'intend', 'design']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=bedoelt,"verb: mean, intend, design"


21,onzin,"*nonsense*
noun: nonsense, rubbish, shit
""Het is onzin om zo'n lange weg te lopen."" - It is nonsense to walk such a long way.","""Het is onzin om zo'n lange weg te lopen."" - It is nonsense to walk such a long way.",*nonsense*,"[['nonsense', 'rubbish', 'shit', 'baloney', 'fudge', 'balderdash', 'bosh', 'humbug', 'buncombe', 'poppycock', 'boloney', 'flimflam', 'drool', 'piffle', 'bunkum', 'tosh', 'moonshine', 'ballyhoo', 'inanity', 'flummery', 'blah', 'footle', 'haver', 'gammon', 'abracadabra', 'galimatias', 'heresy', 'hog wash', 'flubdub', 'applesauce', 'peanuts', 'blah-blah', 'mumbo-jumbo', 'skimble-skamble']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=onzin,"noun: nonsense, rubbish, shit"


22,serieus,"*serious*
adjective: serious, earnest
Serieus, ik ben het volkomen met je eens. - Seriously, I completely agree with you.","Serieus, ik ben het volkomen met je eens. - Seriously, I completely agree with you.",*serious*,"[['serious', 'earnest']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=serieus,"adjective: serious, earnest"


23,konden,"*could*
verb: can, may, be able
""We konden de klus niet klaren."" - ""We couldn't finish the job.""","""We konden de klus niet klaren."" - ""We couldn't finish the job.""",*could*,"[['can', 'may', 'be able']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=konden,"verb: can, may, be able"


24,nietwaar,"*not true*

""Het is mooi weer vandaag, nietwaar?"" - ""It is nice weather today, isn't it?""","""Het is mooi weer vandaag, nietwaar?"" - ""It is nice weather today, isn't it?""",*not true*,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=nietwaar,


25,verlaten,"*to leave*
verb: leave, abandon, quit
adjective: abandoned, desolate, derelict
Ik heb het verlaten stadje verlaten. - I left the abandoned town.",Ik heb het verlaten stadje verlaten. - I left the abandoned town.,*to leave*,"[['leave', 'abandon', 'quit', 'forsake', 'vacate', 'pass out', 'fall away'], ['abandoned', 'desolate', 'derelict', 'desert', 'lonely', 'forlorn', 'alone', 'solitary', 'leaved', 'lonesome', 'lone', 'godforsaken', 'lorn']]",verb adjective,verb adjective,https://www.linguee.com/english-dutch/search?source=auto&query=verlaten,"verb: leave, abandon, quit
adjective: abandoned, desolate, derelict"


26,pistool,"*gun*
noun: pistol, pistole, Mauser
""Hij had een pistool in zijn hand."" - He had a gun in his hand.","""Hij had een pistool in zijn hand."" - He had a gun in his hand.",*gun*,"[['pistol', 'pistole', 'Mauser', 'pop', 'equalizer']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=pistool,"noun: pistol, pistole, Mauser"


27,gekregen,"*got*
verb: get, receive, have
Ik heb een cadeau gekregen. - I received a gift.",Ik heb een cadeau gekregen. - I received a gift.,*got*,"[['get', 'receive', 'have', 'gain', 'take', 'pick up']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=gekregen,"verb: get, receive, have"


28,men,"*man*
pronoun: one, they
noun: people
Mensen komen hier vaak om te winkelen. - People often come here to shop.",Mensen komen hier vaak om te winkelen. - People often come here to shop.,*man*,"[['one', 'they'], ['people']]",pronoun noun,pronoun noun,https://www.linguee.com/english-dutch/search?source=auto&query=men,"pronoun: one, they
noun: people"


29,brengt,"*brings*
verb: bring, apply, carry
Hij brengt de boodschappen naar huis. - He brings the groceries home.",Hij brengt de boodschappen naar huis. - He brings the groceries home.,*brings*,"[['bring', 'apply', 'carry', 'reduce', 'fetch', 'freshen up', 'show']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=brengt,"verb: bring, apply, carry"


30,fantastisch,"*fantastic*
adjective: fantastic, fantastical, whimsical
""Het is echt fantastisch!"" - It is really fantastic!","""Het is echt fantastisch!"" - It is really fantastic!",*fantastic*,"[['fantastic', 'fantastical', 'whimsical', 'wild', 'mythical', 'screaming', 'phantasmal', 'wizard']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=fantastisch,"adjective: fantastic, fantastical, whimsical"


31,trots,"*pride*
noun: pride, spite, defiance
adjective: proud, haughty, lofty
preposition: in spite of, despite, despite of
adverb: haughtily, with a high hand
Ik ben trots op mijn prestaties. - I am proud of my achievements.",Ik ben trots op mijn prestaties. - I am proud of my achievements.,*pride*,"[['pride', 'spite', 'defiance', 'arrogance', 'high-hat'], ['proud', 'haughty', 'lofty', 'highbrow', 'donnish', 'proud-hearted'], ['in spite of', 'despite', 'despite of'], ['haughtily', 'with a high hand']]",noun adjective preposition adverb,noun adjective preposition adverb,https://www.linguee.com/english-dutch/search?source=auto&query=trots,"noun: pride, spite, defiance
adjective: proud, haughty, lofty
preposition: in spite of, despite, despite of
adverb: haughtily, with a high hand"


32,ziens,"*goodbye*

""Ziens je later!"" - See you later!","""Ziens je later!"" - See you later!",*goodbye*,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=ziens,


33,ongeluk,"*accident*
noun: accident, misfortune, bad luck
adjective: ill-luck
""Hij had een ongeluk met zijn fiets."" - He had an accident with his bike.","""Hij had een ongeluk met zijn fiets."" - He had an accident with his bike.",*accident*,"[['accident', 'misfortune', 'bad luck', 'mishap', 'disaster', 'evil', 'casualty', 'infelicity', 'ills', 'ambs-ace'], ['ill-luck']]",noun adjective,noun adjective,https://www.linguee.com/english-dutch/search?source=auto&query=ongeluk,"noun: accident, misfortune, bad luck
adjective: ill-luck"


34,geheim,"*secret*
adjective: secret, confidential, occult
noun: secret, secrecy, mystery
adverb: clandestinely, deeply
Het geheim is nog steeds onbekend. - The secret is still unknown.",Het geheim is nog steeds onbekend. - The secret is still unknown.,*secret*,"[['secret', 'confidential', 'occult', 'undercover', 'covert', 'unlisted', 'clandestine', 'privy', 'arcane', 'closet', 'esoteric', 'phantom', 'hole-and-corner'], ['secret', 'secrecy', 'mystery', 'enigma', 'arcanum'], ['clandestinely', 'deeply']]",adjective noun adverb,adjective noun adverb,https://www.linguee.com/english-dutch/search?source=auto&query=geheim,"adjective: secret, confidential, occult
noun: secret, secrecy, mystery
adverb: clandestinely, deeply"


35,vroeger,"*earlier*
adverb: earlier, formerly, previously
adjective: former, old, early
prefix: ex-
Vroeger was ik heel bang voor spinnen. - Before, I was very scared of spiders.","Vroeger was ik heel bang voor spinnen. - Before, I was very scared of spiders.",*earlier*,"[['earlier', 'formerly', 'previously', 'prior', 'in former times', 'at one time', 'of yore', 'aforetime', 'beforetime', 'erst', 'anteriorly', 'erenow'], ['former', 'old', 'early', 'previous', 'prior', 'late', 'anterior', 'onetime', 'precedent', 'sometime', 'pristine'], ['ex-']]",adverb adjective prefix,adverb adjective prefix,https://www.linguee.com/english-dutch/search?source=auto&query=vroeger,"adverb: earlier, formerly, previously
adjective: former, old, early
prefix: ex-"


36,veranderd,"*changed*
adjective: change
De situatie is veranderd. - The situation has changed.",De situatie is veranderd. - The situation has changed.,*changed*,[['change']],adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=veranderd,adjective: change


37,eentje,"*one*

""Ik wil eentje koffie, alstublieft."" - ""I'd like one coffee, please.""","""Ik wil eentje koffie, alstublieft."" - ""I'd like one coffee, please.""",*one*,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=eentje,


38,werden,"*became*
verb: be, become, get
De kinderen werden uitgeput na het spelen in de tuin. - The children became exhausted after playing in the garden.",De kinderen werden uitgeput na het spelen in de tuin. - The children became exhausted after playing in the garden.,*became*,"[['be', 'become', 'get', 'take', 'grow', 'come', 'force upon', 'flake off', 'go']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=werden,"verb: be, become, get"


39,begon,"*began*
verb: start, begin, commence
Het begon te regenen. - It started to rain.",Het begon te regenen. - It started to rain.,*began*,"[['start', 'begin', 'commence', 'start off', 'initiate', 'start out', 'do', 'set up', 'engage in', 'set out', 'set off', 'set about', 'enter upon', 'set to', 'lead off', 'launch forth', 'give a start', 'fall to', 'fall on', 'hansel', 'lead out', 'get about']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=begon,"verb: start, begin, commence"


40,verliezen,"*to lose*
noun: losses, losings
verb: lose, forfeit, shed
Ik heb mijn sleutels verloren. - I lost my keys.",Ik heb mijn sleutels verloren. - I lost my keys.,*to lose*,"[['losses', 'losings'], ['lose', 'forfeit', 'shed', 'drop', 'derogate', 'quail']]",noun verb,noun verb,https://www.linguee.com/english-dutch/search?source=auto&query=verliezen,"noun: losses, losings
verb: lose, forfeit, shed"


41,probeert,"*tries*
verb: try, attempt, endeavor
Hij probeert de deur te openen. - He is trying to open the door.",Hij probeert de deur te openen. - He is trying to open the door.,*tries*,"[['try', 'attempt', 'endeavor', 'test', 'sample', 'give it a try', 'prove', 'endeavour']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=probeert,"verb: try, attempt, endeavor"


42,vliegtuig,"*aeroplane*
noun: airplane, plane, aircraft
Het vliegtuig vliegt naar Parijs. - The plane is flying to Paris.",Het vliegtuig vliegt naar Parijs. - The plane is flying to Paris.,*aeroplane*,"[['airplane', 'plane', 'aircraft', 'machine', 'flying machine', 'aeroplane']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=vliegtuig,"noun: airplane, plane, aircraft"


43,let,"*please note*
noun: Latvian
adjective: satanic
Laat het me weten - Let me know",Laat het me weten - Let me know,*please note*,"[['Latvian'], ['satanic']]",noun adjective,noun adjective,https://www.linguee.com/english-dutch/search?source=auto&query=let,"noun: Latvian
adjective: satanic"


44,slim,"*smart*
adjective: smart, cunning, astute
""Hij is erg slim!"" - He is very smart!","""Hij is erg slim!"" - He is very smart!",*smart*,"[['smart', 'cunning', 'astute', 'sly', 'sharp', 'knowledgeable', 'politic', 'dodgy', 'pawky', 'difficult', 'inconvenient', 'needle-shaped']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=slim,"adjective: smart, cunning, astute"


45,juiste,"*right one*
adjective: just, correct, right
De juiste antwoorden zijn gegeven. - The correct answers have been given.",De juiste antwoorden zijn gegeven. - The correct answers have been given.,*right one*,"[['just', 'correct', 'right', 'true', 'exact', 'precise', 'apt', 'striking', 'surefire', 'fair and square', 'well-directed']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=juiste,"adjective: just, correct, right"


46,langer,"*longer*
adverb: longer
Ik ben langer dan mijn broer. - I am taller than my brother.",Ik ben langer dan mijn broer. - I am taller than my brother.,*longer*,[['longer']],adverb,adverb,https://www.linguee.com/english-dutch/search?source=auto&query=langer,adverb: longer


47,slaap,"*sleep*
noun: sleep, temple, dormancy
Ik heb vannacht slecht geslapen. - I slept badly last night.",Ik heb vannacht slecht geslapen. - I slept badly last night.,*sleep*,"[['sleep', 'temple', 'dormancy', 'repose']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=slaap,"noun: sleep, temple, dormancy"


48,lezen,"*read*
verb: read, peruse, cull
Ik lees graag boeken. - I enjoy reading books.",Ik lees graag boeken. - I enjoy reading books.,*read*,"[['read', 'peruse', 'cull']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=lezen,"verb: read, peruse, cull"


49,ongeveer,"*about*
adverb: about, approximately, circa
preposition: about
adjective: some, nth
Ongeveer twee uur geleden was ik hier. - Approximately two hours ago I was here.",Ongeveer twee uur geleden was ik hier. - Approximately two hours ago I was here.,*about*,"[['about', 'approximately', 'circa', 'say'], ['about'], ['some', 'nth']]",adverb preposition adjective,adverb preposition adjective,https://www.linguee.com/english-dutch/search?source=auto&query=ongeveer,"adverb: about, approximately, circa
preposition: about
adjective: some, nth"


50,behalve,"*except*
preposition: except, but, unless
adverb: alongside, over and above
Behalve mijn ouders, heb ik nog twee broers.

Except for my parents, I have two more brothers.","Behalve mijn ouders, heb ik nog twee broers.

Except for my parents, I have two more brothers.",*except*,"[['except', 'but', 'unless', 'save', 'besides', 'beyond', 'beside', 'outside', 'aside from', 'barring', 'saving', 'bating'], ['alongside', 'over and above']]",preposition adverb,preposition adverb,https://www.linguee.com/english-dutch/search?source=auto&query=behalve,"preposition: except, but, unless
adverb: alongside, over and above"


51,meid,"*girl*
noun: girl, maid, servant
De meid komt om de hoek kijken. - The girl is coming around the corner to look.",De meid komt om de hoek kijken. - The girl is coming around the corner to look.,*girl*,"[['girl', 'maid', 'servant', 'lass', 'wench', 'lassie', 'girlie', 'skirt', 'Judy', 'number']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=meid,"noun: girl, maid, servant"


52,oom,"*uncle*
noun: uncle
Mijn oom is een leraar. - My uncle is a teacher.",Mijn oom is een leraar. - My uncle is a teacher.,*uncle*,[['uncle']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=oom,noun: uncle


53,gered,"*rescued*
verb: save, rescue, salvage
Ik heb de kat gered. - I saved the cat.",Ik heb de kat gered. - I saved the cat.,*rescued*,"[['save', 'rescue', 'salvage', 'redeem', 'bring off', ""save one's face""]]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=gered,"verb: save, rescue, salvage"


54,bank,"*Bank*
noun: bank, bench, banking
De bank staat in de woonkamer. - The bank is in the living room.",De bank staat in de woonkamer. - The bank is in the living room.,*Bank*,"[['bank', 'bench', 'banking', 'seat', 'settee', 'banking house', 'data base', 'trestle', 'easel', 'data set']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=bank,"noun: bank, bench, banking"


55,generaal,"*general*
noun: general
De generaal was de leider van het leger. - The general was the leader of the army.",De generaal was de leider van het leger. - The general was the leader of the army.,*general*,[['general']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=generaal,noun: general


56,dienst,"*employ*
noun: service, employment, duty
De dienst was uitstekend, The service was excellent.","De dienst was uitstekend, The service was excellent.",*employ*,"[['service', 'employment', 'duty', 'employ', 'office']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=dienst,"noun: service, employment, duty"


57,tenminste,"*at least*
adverb: at least, leastwise, leastways
preposition: no less than
""Tenminste, we hebben al onze vrienden gezien."" - At least, we have seen all of our friends.","""Tenminste, we hebben al onze vrienden gezien."" - At least, we have seen all of our friends.",*at least*,"[['at least', 'leastwise', 'leastways'], ['no less than']]",adverb preposition,adverb preposition,https://www.linguee.com/english-dutch/search?source=auto&query=tenminste,"adverb: at least, leastwise, leastways
preposition: no less than"


58,lief,"*sweet*
adjective: lovable, nice, dear
adverb: lief, nicely
noun: sweetheart
Mijn lief is de liefste persoon in de wereld.
My love is the sweetest person in the world.","Mijn lief is de liefste persoon in de wereld.
My love is the sweetest person in the world.",*sweet*,"[['lovable', 'nice', 'dear', 'pretty', 'friendly', 'darling', 'affable', 'bonny', 'expensive'], ['lief', 'nicely'], ['sweetheart']]",adjective adverb noun,adjective adverb noun,https://www.linguee.com/english-dutch/search?source=auto&query=lief,"adjective: lovable, nice, dear
adverb: lief, nicely
noun: sweetheart"


59,noem,"*name*
verb: call, mention, name
Ik noem het 'de beste dag ooit'. - I call it 'the best day ever'.",Ik noem het 'de beste dag ooit'. - I call it 'the best day ever'.,*name*,"[['call', 'mention', 'name', 'cite', 'term', 'quote', 'title', 'nominate', 'make mention', 'denominate', 'tag', 'designate']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=noem,"verb: call, mention, name"


60,gedood,"*killed*
verb: kill, slay, jugulate
Hij werd gedood door de kogel. - He was killed by the bullet.",Hij werd gedood door de kogel. - He was killed by the bullet.,*killed*,"[['kill', 'slay', 'jugulate', 'nip', 'account for']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=gedood,"verb: kill, slay, jugulate"


61,vraagt,"*asks*
verb: ask, question, request
Hij vraagt waarom je zo laat bent. - He asks why you are so late.",Hij vraagt waarom je zo laat bent. - He asks why you are so late.,*asks*,"[['ask', 'question', 'request', 'demand', 'inquire', 'query', 'invite', 'solicit', 'interrogate', 'crave', 'enquire']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=vraagt,"verb: ask, question, request"


62,boos,"*angry*
adjective: angry, mad, evil
adverb: angrily, venomously
""Hij was boos op mij."" - He was angry at me.","""Hij was boos op mij."" - He was angry at me.",*angry*,"[['angry', 'mad', 'evil', 'cross', 'ill', 'malicious', 'malignant', 'livid', 'pelting', 'venomous', 'evil-minded', 'ill-conditioned'], ['angrily', 'venomously']]",adjective adverb,adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=boos,"adjective: angry, mad, evil
adverb: angrily, venomously"


63,spullen,"*stuff*
verb: stuff
noun: things, paraphernalia, traps
Mijn spullen staan in de kast. - My things are in the closet.",Mijn spullen staan in de kast. - My things are in the closet.,*stuff*,"[['stuff'], ['things', 'paraphernalia', 'traps']]",verb noun,verb noun,https://www.linguee.com/english-dutch/search?source=auto&query=spullen,"verb: stuff
noun: things, paraphernalia, traps"


64,volgen,"*to follow*
verb: follow, track, attend
Ik volg de lessen. - I am following the lessons.",Ik volg de lessen. - I am following the lessons.,*to follow*,"[['follow', 'track', 'attend', 'pursue', 'watch', 'ensue', 'stick to', 'go along', 'go with', 'string along', 'tread on heels', 'tail']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=volgen,"verb: follow, track, attend"


65,sturen,"*to steer*
verb: send, steer, forward
noun: steerage
Ik stuur je een bericht. - I'm sending you a message.",Ik stuur je een bericht. - I'm sending you a message.,*to steer*,"[['send', 'steer', 'forward', 'pilot', 'handle', 'helm', 'navigate'], ['steerage']]",verb noun,verb noun,https://www.linguee.com/english-dutch/search?source=auto&query=sturen,"verb: send, steer, forward
noun: steerage"


66,hemel,"*heaven*
noun: sky, heaven, welkin
De hemel is prachtig vandaag - The sky is beautiful today.",De hemel is prachtig vandaag - The sky is beautiful today.,*heaven*,"[['sky', 'heaven', 'welkin']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=hemel,"noun: sky, heaven, welkin"


67,makkelijk,"*comfortable*
adjective: easy, facile, toilless
adverb: easy, easily
Het is makkelijk om Nederlands te leren.
It is easy to learn Dutch.","Het is makkelijk om Nederlands te leren.
It is easy to learn Dutch.",*comfortable*,"[['easy', 'facile', 'toilless'], ['easy', 'easily']]",adjective adverb,adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=makkelijk,"adjective: easy, facile, toilless
adverb: easy, easily"


68,ter,"*ter*
preposition: to, in, at
Ik heb het gevoel dat ik terug moet gaan. - I feel like I need to go back.",Ik heb het gevoel dat ik terug moet gaan. - I feel like I need to go back.,*ter*,"[['to', 'in', 'at']]",preposition,preposition,https://www.linguee.com/english-dutch/search?source=auto&query=ter,"preposition: to, in, at"


69,genomen,"*taken*
verb: take, reach, seize
Ik heb de beslissing genomen. - I have taken the decision.",Ik heb de beslissing genomen. - I have taken the decision.,*taken*,"[['take', 'reach', 'seize', 'understand']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=genomen,"verb: take, reach, seize"


70,grootste,"*largest*
adjective: main, major, primary
noun: prince
De grootste stad van Nederland is Amsterdam.

The biggest city in the Netherlands is Amsterdam.","De grootste stad van Nederland is Amsterdam.

The biggest city in the Netherlands is Amsterdam.",*largest*,"[['main', 'major', 'primary'], ['prince']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=grootste,"adjective: main, major, primary
noun: prince"


71,gebeurde,"*happened*
verb: happen, be, occur
Het gebeurde vlug. It happened quickly.",Het gebeurde vlug. It happened quickly.,*happened*,"[['happen', 'be', 'occur', 'take place', 'come about', 'befall', 'hap', 'grow', 'fortune']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=gebeurde,"verb: happen, be, occur"


