,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives
11,*muros* (muro),"*walls*
noun: wall",*walls*,muro,[['wall']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=muros,noun: wall


12,*limpias* (limpio),"*clean*
noun: cleaning, cleanup",*clean*,limpio,"[['cleaning', 'cleanup']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=limpias,"noun: cleaning, cleanup"


13,*espectacular*,"*spectacular*
adjective: spectacular, scenic, scenical",*spectacular*,espectacular,"[['spectacular', 'scenic', 'scenical']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=espectacular,"adjective: spectacular, scenic, scenical"


14,*empiecen* (empezar),"*start*
verb: start, begin, get",*start*,empezar,"[['start', 'begin', 'get', 'start off', 'commence', 'initiate', 'launch', 'kick off', 'open', 'take up', 'open up', 'lead off', 'set in', 'come on', 'enter on', 'inchoate', 'institute']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=empiecen,"verb: start, begin, get"


15,*cortina*,"*curtain*
noun: curtain, screen, sheet",*curtain*,cortina,"[['curtain', 'screen', 'sheet', 'pall', 'umbrella', 'blower', 'coulisse']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=cortina,"noun: curtain, screen, sheet"


16,*construido* (construido construir),"*built*
adjective: built, constructed",*built*,construido construir,"[['built', 'constructed']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=construido,"adjective: built, constructed"


17,*comerciales* (comercial),"*commercial*
adjective: commercial, trade, trading",*commercial*,comercial,"[['commercial', 'trade', 'trading']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=comerciales,"adjective: commercial, trade, trading"


18,*chaval*,"*kid*
noun: kid, lad, boy",*kid*,chaval,"[['kid', 'lad', 'boy', 'youngster', 'laddie', 'shaveling']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=chaval,"noun: kid, lad, boy"


19,*cadenas* (cadena),"*chains*
noun: chain, string, network",*chains*,cadena,"[['chain', 'string', 'network', 'link', 'catena', 'bond', 'cuff', 'pull', 'catenation']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=cadenas,"noun: chain, string, network"


20,*botones* (botón),"*buttons*
noun: buttons, bellhop, bellboy",*buttons*,botón,"[['buttons', 'bellhop', 'bellboy', 'page', 'call-boy']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=botones,"noun: buttons, bellhop, bellboy"


21,*arrogante*,"*arrogant*
adjective: arrogant, haughty, cavalier",*arrogant*,arrogante,"[['arrogant', 'haughty', 'cavalier', 'supercilious', 'overweening', 'imperious', 'prideful', 'lordly']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=arrogante,"adjective: arrogant, haughty, cavalier"


22,*vendo* (vender vendar),"*I sell*
verb: sell, market, trade",*I sell*,vender vendar,"[['sell', 'market', 'trade', 'vend', 'hive off', 'trade up']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=vendo,"verb: sell, market, trade"


23,*tuviéramos* (tener),"*we had*
verb: have, keep, own",*we had*,tener,"[['have', 'keep', 'own', 'bear', 'hold', 'possess', 'experience', 'wear']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=tuviéramos,"verb: have, keep, own"


24,*tocaba* (tocar),"*touched*
verb: touch, play, perform",*touched*,tocar,"[['touch', 'play', 'perform', 'contact', 'ring', 'feel', 'sound', 'handle', 'blow', 'press', 'finger', 'fall upon', 'bow', 'knock at the door', 'fall on']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=tocaba,"verb: touch, play, perform"


25,*situaciones* (situación),"*situations*
noun: situation, location, position",*situations*,situación,"[['situation', 'location', 'position', 'plight', 'state of affairs', 'picture', 'posture', 'setup', 'site', 'station']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=situaciones,"noun: situation, location, position"


26,*semental*,"*stallion*
noun: stallion, stud, sire",*stallion*,semental,"[['stallion', 'stud', 'sire']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=semental,"noun: stallion, stud, sire"


27,*responsables* (responsable),"*responsible*
adjective: responsible, liable, answerable",*responsible*,responsable,"[['responsible', 'liable', 'answerable', 'amenable']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=responsables,"adjective: responsible, liable, answerable"


28,*reportes* (reporte),"*reports*
noun: account",*reports*,reporte,[['account']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=reportes,noun: account


29,*muestran* (mostrar),"*show*
verb: show, display, exhibit",*show*,mostrar,"[['show', 'display', 'exhibit', 'present', 'indicate', 'manifest', 'evince', 'hold up', 'put forth']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=muestran,"verb: show, display, exhibit"


30,*facultad*,"*faculty*
noun: faculty, power, school",*faculty*,facultad,"[['faculty', 'power', 'school', 'capacity']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=facultad,"noun: faculty, power, school"


31,*envidia* (envidia envidiar),"*envy*
noun: envy, jealousy",*envy*,envidia envidiar,"[['envy', 'jealousy']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=envidia,"noun: envy, jealousy"


32,*emocionado* (emocionar),"*excited*
adjective: excited, moved, emotional",*excited*,emocionar,"[['excited', 'moved', 'emotional', 'agog', 'rousing']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=emocionado,"adjective: excited, moved, emotional"


33,*disposición*,"*provision*
noun: provision, disposal, disposition",*provision*,disposición,"[['provision', 'disposal', 'disposition', 'layout', 'setup', 'order', 'decree', 'deposition']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=disposición,"noun: provision, disposal, disposition"


34,*diremos* (decir),"*we will say*
verb: say, tell, speak",*we will say*,decir,"[['say', 'tell', 'speak', 'mention', 'call', 'word', 'recite', 'voice']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=diremos,"verb: say, tell, speak"


35,*dejarnos* (dejar),"*leave us*
",*leave us*,dejar,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=dejarnos,


36,*deberiamos* (deber),"*we should*
verb: must, owe, job",*we should*,deber,"[['must', 'owe', 'job', 'suppose']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=deberiamos,"verb: must, owe, job"


37,*conquistar*,"*conquer*
verb: conquer, gain, take",*conquer*,conquistar,"[['conquer', 'gain', 'take', 'capture', 'win over', 'carry', 'win round']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=conquistar,"verb: conquer, gain, take"


38,*bonitos* (bonito),"*pretty*
adjective: nice, beautiful, pretty",*pretty*,bonito,"[['nice', 'beautiful', 'pretty', 'beauteous', 'lustrous']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=bonitos,"adjective: nice, beautiful, pretty"


39,*averigua* (averiguar),"*find out*
verb: find out, ascertain, inquire",*find out*,averiguar,"[['find out', 'ascertain', 'inquire', 'look up', 'trace back']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=averigua,"verb: find out, ascertain, inquire"


40,*almohada*,"*pillow*
noun: pillow",*pillow*,almohada,[['pillow']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=almohada,noun: pillow


41,*activo* (activo activar),"*asset*
adjective: active, alive, bustling
noun: assets",*asset*,activo activar,"[['active', 'alive', 'bustling', 'brisk', 'spry', 'alert', 'humming', 'abuzz', 'bouncy', 'deedful', 'up and doing'], ['assets']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=activo,"adjective: active, alive, bustling
noun: assets"


42,*abuelita* (abuelita abuela),"*granny*
noun: granny, grandma, grannie",*granny*,abuelita abuela,"[['granny', 'grandma', 'grannie', 'grandmamma']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=abuelita,"noun: granny, grandma, grannie"


43,*vitales* (vital),"*vital*
adjective: vital, life",*vital*,vital,"[['vital', 'life']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=vitales,"adjective: vital, life"


44,*verse* (ver),"*see each other*
verb: show, meet, get together",*see each other*,ver,"[['show', 'meet', 'get together', 'rendezvous']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=verse,"verb: show, meet, get together"


45,*traicionado* (traicionado traicionar),"*betrayed*
verb: betray, sell out, play false",*betrayed*,traicionado traicionar,"[['betray', 'sell out', 'play false']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=traicionado,"verb: betray, sell out, play false"


46,*teresa* (teresa Teresa),"*Teresa*
",*Teresa*,teresa Teresa,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=teresa,


47,*soñé* (soñar),"*i dreamed*
verb: dream",*i dreamed*,soñar,[['dream']],verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=soñé,verb: dream


48,*roba* (robar),"*steals*
verb: steal, rob, draw",*steals*,robar,"[['steal', 'rob', 'draw', 'thieve', 'pinch', 'remove', 'walk off', 'walk away']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=roba,"verb: steal, rob, draw"


49,*moderno*,"*modern*
adjective: modern, hip, up-to-date
noun: modern, trendy",*modern*,moderno,"[['modern', 'hip', 'up-to-date', 'up-to-now', 'latter-day'], ['modern', 'trendy']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=moderno,"adjective: modern, hip, up-to-date
noun: modern, trendy"


50,*manta*,"*blanket*
noun: blanket, rug, shawl",*blanket*,manta,"[['blanket', 'rug', 'shawl', 'devilfish']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=manta,"noun: blanket, rug, shawl"


51,*lidiar*,"*cope*
verb: fight, fight bulls",*cope*,lidiar,"[['fight', 'fight bulls']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=lidiar,"verb: fight, fight bulls"


52,*joda* (joder),"*fuck*
noun: pain in the ass",*fuck*,joder,[['pain in the ass']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=joda,noun: pain in the ass


53,*despejen* (despejar),"*clear*
verb: clear, free",*clear*,despejar,"[['clear', 'free']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=despejen,"verb: clear, free"


54,*comunista*,"*communist*
adjective: communist
noun: communist",*communist*,comunista,"[['communist'], ['communist']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=comunista,"adjective: communist
noun: communist"


55,*aprendiendo* (aprender),"*learning*
verb: learn, pick up, acquire",*learning*,aprender,"[['learn', 'pick up', 'acquire']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=aprendiendo,"verb: learn, pick up, acquire"


56,*tirando* (tirar),"*pulling*
verb: pull, throw, shoot",*pulling*,tirar,"[['pull', 'throw', 'shoot', 'throw away', 'throw out', 'discard', 'cast', 'dispose of', 'pitch', 'lay', 'toss away', 'heave', 'throw about', 'throw aside', 'toss over', 'sling away', 'turn out']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=tirando,"verb: pull, throw, shoot"


57,*suiza* (Suiza suizo),"*Swiss*
noun: Switzerland",*Swiss*,Suiza suizo,[['Switzerland']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=suiza,noun: Switzerland


58,*pita*,"*whistle*
noun: pitta, agave",*whistle*,pita,"[['pitta', 'agave']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=pita,"noun: pitta, agave"


59,*pensaron* (pensar),"*they thought*
verb: think, reflect, ponder",*they thought*,pensar,"[['think', 'reflect', 'ponder', 'contemplate', 'think out', 'guess', 'think over', 'cogitate', 'see about']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=pensaron,"verb: think, reflect, ponder"


60,*nudos* (nudo),"*knots*
noun: knot, joint, bend",*knots*,nudo,"[['knot', 'joint', 'bend', 'gnarl', 'French knot']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=nudos,"noun: knot, joint, bend"


61,*muestre* (mostrar),"*show*
verb: show, display, exhibit",*show*,mostrar,"[['show', 'display', 'exhibit', 'present', 'indicate', 'manifest', 'evince', 'hold up', 'put forth']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=muestre,"verb: show, display, exhibit"


62,*molestado* (molestado molestar),"*troubled*
adjective: troubled",*troubled*,molestado molestar,[['troubled']],adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=molestado,adjective: troubled


63,*llora* (llorar),"*cries*
verb: mourn, cry, weep",*cries*,llorar,"[['mourn', 'cry', 'weep', 'wail', 'shed tears', 'bewail', 'lament', 'cry over', 'bemoan', 'water', ""pipe one's eye""]]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=llora,"verb: mourn, cry, weep"


64,*hembra*,"*female*
adjective: female
noun: female, hen, doe",*female*,hembra,"[['female'], ['female', 'hen', 'doe', 'she', 'cow', 'nut']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=hembra,"adjective: female
noun: female, hen, doe"


65,*eternamente*,"*eternally*
adverb: eternally, evermore",*eternally*,eternamente,"[['eternally', 'evermore']]",adverb,adverb,https://www.linguee.com/english-dutch/search?source=auto&query=eternamente,"adverb: eternally, evermore"


66,*duermas* (dormir),"*sleep*
verb: sleep, slumber, doze",*sleep*,dormir,"[['sleep', 'slumber', 'doze', 'kip', 'doss', 'bunk down', 'live']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=duermas,"verb: sleep, slumber, doze"


67,*disparan* (disparar),"*shoot*
verb: shoot, fire, discharge",*shoot*,disparar,"[['shoot', 'fire', 'discharge', 'loose off']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=disparan,"verb: shoot, fire, discharge"


68,*creerá* (creer),"*will believe*
verb: believe, think, trust",*will believe*,creer,"[['believe', 'think', 'trust', 'suppose', 'hope', 'expect', 'credit', 'guess', 'deem', 'fancy', 'make', 'look at', 'think over', 'hold against', 'consider', 'depend']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=creerá,"verb: believe, think, trust"


69,*colgado* (colgado colgar),"*strung up*
adjective: hanging, dangling",*strung up*,colgado colgar,"[['hanging', 'dangling']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=colgado,"adjective: hanging, dangling"


70,*arrestaron* (arrestar),"*they arrested*
verb: arrest",*they arrested*,arrestar,[['arrest']],verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=arrestaron,verb: arrest


71,*acusación*,"*accusation*
noun: accusation, charge, indictment",*accusation*,acusación,"[['accusation', 'charge', 'indictment', 'prosecution', 'impeachment', 'arraignment', 'rap', 'accusal', 'delation']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=acusación,"noun: accusation, charge, indictment"


72,*viajando* (viajar),"*traveling*
verb: travel, go, ride",*traveling*,viajar,"[['travel', 'go', 'ride', 'drive', 'journey', 'tour', 'get around', 'wander']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=viajando,"verb: travel, go, ride"


73,*tremenda* (tremendo),"*tremendous*
adjective: tremendous, awful, terrific",*tremendous*,tremendo,"[['tremendous', 'awful', 'terrific', 'gross', 'thundering', 'deuced']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=tremenda,"adjective: tremendous, awful, terrific"


74,*simples* (simple),"*simple*
adjective: simple, single, mere
noun: simple",*simple*,simple,"[['simple', 'single', 'mere', 'plain', 'bare', 'artless'], ['simple']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=simples,"adjective: simple, single, mere
noun: simple"


75,*servirle* (servir),"*serve you*
",*serve you*,servir,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=servirle,


76,*planea* (planear),"*plan*
verb: plan, glide, design",*plan*,planear,"[['plan', 'glide', 'design', 'arrange', 'devise', 'plane', 'set up', 'project', 'program', 'mastermind', 'model', 'contrive', 'programme']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=planea,"verb: plan, glide, design"


77,*negar*,"*deny*
verb: deny, refuse, negate",*deny*,negar,"[['deny', 'refuse', 'negate', 'disclaim', 'negative', 'abnegate']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=negar,"verb: deny, refuse, negate"


78,*necesitabas* (necesitar),"*you needed*
verb: need, require, take",*you needed*,necesitar,"[['need', 'require', 'take', 'want', 'necessitate', 'lack']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=necesitabas,"verb: need, require, take"


79,*mordido* (mordido morder),"*bitten*
adjective: bitten",*bitten*,mordido morder,[['bitten']],adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=mordido,adjective: bitten


80,*lecciones* (lección),"*lessons*
noun: lesson, class, lection",*lessons*,lección,"[['lesson', 'class', 'lection']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=lecciones,"noun: lesson, class, lection"


81,*insectos* (insecto),"*insects*
noun: insect",*insects*,insecto,[['insect']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=insectos,noun: insect


82,*imaginado* (imaginado imaginar),"*imagined*
adjective: digested, fancied",*imagined*,imaginado imaginar,"[['digested', 'fancied']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=imaginado,"adjective: digested, fancied"


83,*habríamos* (haber),"*we would have*
verb: have",*we would have*,haber,[['have']],verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=habríamos,verb: have


84,*fallar*,"*fail*
verb: fail, miss, misfire",*fail*,fallar,"[['fail', 'miss', 'misfire', 'backfire', 'let down', 'make a hash of it']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=fallar,"verb: fail, miss, misfire"


85,*escudos* (escudo),"*shields*
noun: shield, escutcheon, buckler",*shields*,escudo,"[['shield', 'escutcheon', 'buckler', 'coat of arms', 'sheave', 'escudo', 'arms', 'scute', 'scutum']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=escudos,"noun: shield, escutcheon, buckler"


86,*diviértete* (divertir),"*have fun*
",*have fun*,divertir,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=diviértete,


87,*crece* (crecer),"*it grows*
verb: grow, grow up, increase",*it grows*,crecer,"[['grow', 'grow up', 'increase', 'rise', 'swell', 'wax', 'shoot up']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=crece,"verb: grow, grow up, increase"


88,*combatir*,"*fight*
verb: combat, fight, battle",*fight*,combatir,"[['combat', 'fight', 'battle', 'oppose']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=combatir,"verb: combat, fight, battle"


89,*canto* (canto cantar),"*singing*
noun: singing, song, edge",*singing*,canto cantar,"[['singing', 'song', 'edge', 'chant', 'canto', 'hymn', 'rim', 'crow', 'lay', 'cantus']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=canto,"noun: singing, song, edge"


90,*bichos* (bicho),"*bugs*
noun: vermin",*bugs*,bicho,[['vermin']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=bichos,noun: vermin


91,*atacando* (atacar),"*attacking*
verb: attack, strike, tackle",*attacking*,atacar,"[['attack', 'strike', 'tackle', 'assault', 'raid', 'engage', 'charge', 'assail', 'prey', 'bite', 'go for', 'slash', 'tamp', 'go in', 'get at', 'come at', 'stuff', 'tamp down', 'set on', 'arraign', 'pitch into', 'tamp in', 'walk in']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=atacando,"verb: attack, strike, tackle"


92,*apestoso*,"*stinky*
",*stinky*,apestoso,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=apestoso,


93,*visa*,"*visa*
noun: visa",*visa*,visa,[['visa']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=visa,noun: visa


94,*times* (timar),"*times*
verb: cheat, swindle, trick",*times*,timar,"[['cheat', 'swindle', 'trick', 'gull', 'chisel']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=times,"verb: cheat, swindle, trick"


95,*retirar*,"*withdraw*
verb: remove, withdraw, retire",*withdraw*,retirar,"[['remove', 'withdraw', 'retire', 'recall', 'drop', 'retract', 'draw back', 'pension off']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=retirar,"verb: remove, withdraw, retire"


96,*persigue* (perseguir),"*pursues*
verb: pursue, chase, persecute",*pursues*,perseguir,"[['pursue', 'chase', 'persecute', 'go after', 'hunt down', 'haunt', 'dog', 'harass', 'hound', 'trace', 'get after', 'dragoon', 'chivvy', 'set after', 'gun for', 'lock on']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=persigue,"verb: pursue, chase, persecute"


97,*ooh*,"*ooh*
",*ooh*,ooh,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=ooh,


98,*leerlo* (leer),"*reading it*
",*reading it*,leer,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=leerlo,


